ticker,alert,level,kind,precision,adr,note
DOCS,buy-stop,27.32,SETUP pivot,,3.8,contr 0.17 dryup 0.55 off52 -65%
NUE,buy-stop,268.47,SETUP pivot,,3.5,contr 0.42 dryup 0.72 off52 -5%
SMCI,buy-stop,41.53,SETUP pivot,,5.6,contr 0.48 dryup 0.74 off52 -31%
TEAM,buy-stop,198.6,SETUP pivot,YES,5.0,contr 0.27 dryup 0.61 off52 -3%
CRWD,broke-today,245.19,A breakout,YES,5.9,rvol 1.29 pos 0.73
DELL,broke-today,576.75,A breakout,YES,6.1,rvol 1.19 pos 0.80
DK,broke-today,80.15,A breakout,YES,6.1,rvol 1.29 pos 0.89
DT,broke-today,55.76,A breakout,,3.0,rvol 1.25 pos 0.71
NTRA,broke-today,357.14,A breakout,,3.3,rvol 1.60 pos 0.98
SMTC,broke-today,170.52,A breakout,,7.5,rvol 1.60 pos 0.68
VLO,broke-today,407.27,A breakout,,3.2,rvol 1.18 pos 0.95
WGS,broke-today,99.86,A breakout,,5.4,rvol 1.23 pos 0.96
FPS,catalyst,36.13,B catalyst (no validated edge),,6.2,gap 5.5% rvol 2.51
TEM,catalyst,71.89,B catalyst (no validated edge),,8.0,gap 4.0% rvol 2.70
VICR,catalyst,206.79,B catalyst (no validated edge),,6.5,gap 12.5% rvol 2.12
