date,level,group,lead,univ,lift,prec,setup,brk,trend,members
2026-09-17,SECTORS,Energy,43,74,3.42,4,0,2,42>56>51>43,FRO DINO* DK! DHT VLO! INSW MPC PSX STNG CRGY PARR* APA MUR PAA SM PR CVX SU CNQ COP PBF TTE DVN CHRD CVE MTDR PTEN* OXY EPD MPLX XOM VNOM KNTK SLB ET NOV EOG GLNG WMB OKE FANG FTI NESR*
2026-09-17,INDUSTRIES,Agricultural Inputs,3,5,3.53,1,0,0,0>2>2>3  GROWING,NTR CF* CTVA
2026-09-17,INDUSTRIES,Semiconductors,5,36,0.82,2,0,1,2>2>5>5  GROWING,SWKS* SMTC! QRVO* SLAB NVDA
2026-09-17,INDUSTRIES,Oil & Gas Refining & Marketing,7,7,5.89,2,0,2,6>7>7>7,DINO* DK! VLO! MPC PSX PARR* PBF
2026-09-17,INDUSTRIES,Electronics & Computer Distribution,4,4,5.89,0,0,0,3>1>4>4,NSIT SNX ARW AVT
2026-09-17,INDUSTRIES,Oil & Gas Integrated,5,6,4.91,0,0,0,5>6>5>5,CVX SU TTE CVE XOM
2026-09-17,INDUSTRIES,Oil & Gas Midstream,13,20,3.83,0,0,0,13>16>17>13,FRO DHT INSW STNG PAA EPD MPLX VNOM KNTK ET GLNG WMB OKE
2026-09-17,INDUSTRIES,Insurance - Life,6,10,3.53,0,0,0,8>2>5>6,UNM MFC MET JXN PRU LNC
2026-09-17,INDUSTRIES,Oil & Gas E&P,13,22,3.48,0,0,0,11>18>16>13,CRGY APA MUR SM PR CNQ COP DVN CHRD MTDR OXY EOG FANG
2026-09-17,INDUSTRIES,Banks - Diversified,5,10,2.94,0,0,0,9>2>6>5,BNS WFC C JPM BNY
2026-09-17,INDUSTRIES,Waste Management,3,6,2.94,0,0,0,2>3>3>3,GFL RSG CLH
2026-09-17,INDUSTRIES,Healthcare Plans,4,9,2.62,1,0,0,3>4>4>4,ELV CNC OSCR* HUM
2026-09-17,INDUSTRIES,Farm & Heavy Construction Machinery,3,7,2.52,2,0,0,2>3>3>3,CNH* AGCO* DE
2026-09-17,INDUSTRIES,Diagnostics & Research,10,25,2.36,2,0,3,15>17>12>10,ILMN*! RVTY CDNA NTRA! ADPT GH* IQV TMO WAT RDNT
2026-09-17,INDUSTRIES,Insurance - Property & Casualty,5,13,2.26,0,0,0,4>2>5>5,THG TRV AIZ AFG ALL
2026-09-17,INDUSTRIES,Software - Infrastructure,17,51,1.96,5,0,1,22>15>14>17,OKTA* GTLB CRWD*! DBX NET* VRSN GEN FTNT* ZETA* RBRK BOX NTNX MSFT S PANW CPAY NTAP
2026-09-17,INDUSTRIES,Oil & Gas Equipment & Services,4,12,1.96,1,0,0,6>7>5>4,SLB NOV FTI NESR*
2026-09-17,INDUSTRIES,Telecom Services,4,12,1.96,0,0,0,5>4>3>4,TIGO T VZ GSAT
2026-09-17,INDUSTRIES,Computer Hardware,4,13,1.81,1,1,1,5>2>3>4,DELL*! HPQ ANET P
2026-09-17,INDUSTRIES,Drug Manufacturers - General,3,10,1.77,0,0,0,8>9>6>3,GILD BIIB JNJ
2026-09-17,INDUSTRIES,Asset Management,8,28,1.68,0,0,0,16>11>12>8,EQH CRBG PFG ARCC WT AMP STT NTRS
