date,t,sym,kind,R,pb50,adhikary_setup,above_rising50_RS+
2026-08-13,09:40,CBRS,UR,0.29,False,False,False
2026-08-13,09:42,COHR,UR,-1.0,False,False,False
2026-08-13,09:45,ALAB,UR,0.06,False,False,False
2026-08-13,09:54,IREN,ORB9,-1.0,False,False,False
2026-08-13,10:04,DRAM,ORB9,-1.0,,,
2026-08-13,10:05,SMTC,UR,-1.0,False,False,False
2026-08-13,10:12,NTRA,UR,-1.0,False,False,True
2026-08-13,10:19,AAPL,BIR,-0.47,False,False,False
2026-08-13,10:19,AMD,BIR,0.77,False,False,False
2026-08-13,10:23,DE,UR,-1.0,False,True,True
2026-08-13,10:24,TGTX,BIR,0.16,False,False,False
2026-08-13,10:29,NBIS,ORB9,-1.0,False,False,False
2026-08-13,10:29,P,ORB9,-1.0,False,False,True
2026-08-13,10:39,ADBE,FBO,-1.0,False,False,True
2026-08-13,10:39,IREN,FBO,1.36,False,False,False
2026-08-13,10:44,IONQ,FBO,1.05,False,False,False
2026-08-13,10:49,AAPL,BIR,-0.35,False,False,False
2026-08-13,10:49,CRCL,FBO,-1.0,False,False,False
2026-08-13,10:49,IBIT,BIR,2.42,,,
2026-08-13,10:49,MSFT,FBO,0.08,False,False,True
2026-08-13,10:49,NVDA,FBO,-0.1,False,False,False
2026-08-13,10:49,PANW,FBO,-0.19,False,False,True
2026-08-13,10:49,QBTS,FBO,0.53,False,False,False
2026-08-13,10:49,RGTI,FBO,0.36,False,False,False
2026-08-13,10:59,AAOI,FBO,1.33,False,False,False
2026-08-13,11:04,ORCL,FBO,-0.03,False,False,False
2026-08-13,11:04,PLTR,FBO,-1.0,False,False,True
2026-08-13,11:14,RGTI,FBO,-0.06,False,False,False
2026-08-13,11:29,AAPL,FBO,-0.54,False,False,False
2026-08-13,11:29,NFLX,FBO,-1.0,False,False,False
2026-08-13,11:34,TSM,FBO,0.18,,,
2026-08-13,11:34,WDC,BIR,0.49,False,False,False
2026-08-13,11:39,IWM,FBO,-0.1,False,False,True
2026-08-13,11:49,IONQ,FBO,0.16,False,False,False
2026-08-13,11:54,QBTS,FBO,0.01,False,False,False
2026-08-13,12:14,AMD,FBO,0.93,False,False,False
2026-08-13,12:14,NBIS,FBO,0.01,False,False,False
2026-08-13,12:40,FTNT,UR,0.59,False,False,False
2026-08-13,12:53,ILMN,UR,0.33,False,False,True
2026-08-13,13:33,TXG,UR,-0.1,False,False,True
2026-08-14,09:40,ILMN,UR,-0.12,False,False,False
