date,t,symbol,kind,price,stop,stop_pct,tag,below_ema9,adr_vs_21,vol_pace,gap_adr,light_vol,spy_vs_vwap,qqq_vs_vwap,index_above,gated,close,max_up_pct,stopped,result_pct
2026-09-09,09:35,HNGE,UR,91.0,90.0,1.11,undercut PDL 90.08,True,0.5,0.5,0.24,,,,,,91.23,2.44,True,-1.1
2026-09-09,09:40,QBTS,UR,17.41,17.11,1.72,undercut PDL 17.47,False,-0.8,0.6,-0.19,,,,,,17.12,1.58,True,-1.72
2026-09-09,09:40,HALO,UR,107.44,106.83,0.57,opened below 9 EMA 108.23,True,1.2,0.1,-0.3,,,,,,107.36,1.26,True,-0.57
2026-09-09,09:42,TXG,UR,64.42,63.51,1.44,deep flush,False,1.2,0.2,-0.4,,,,,,67.28,4.97,False,4.44
2026-09-09,09:44,ILMN,UR,210.28,207.24,1.47,undercut PDL 210.15,True,0.0,0.4,0.0,,,,,,205.02,0.37,True,-1.45
2026-09-09,09:49,DELL,ORB9,559.25,554.06,0.94,,False,3.1,1.3,0.14,False,,,,,535.45,0.67,True,-0.93
2026-09-09,09:59,AMD,ORB9,524.09,522.17,0.37,,False,2.7,1.0,0.1,True,,,,,521.02,0.52,True,-0.37
2026-09-09,10:23,DINO,UR,107.58,106.3,1.2,undercut PDL 107.50,False,2.6,0.5,0.11,,,,,,108.11,0.85,False,0.49
2026-09-09,10:25,UNH,UR,385.54,378.08,1.97,undercut PDL 390.44,True,-1.8,1.5,0.55,,,,,,393.07,2.63,False,1.95
2026-09-09,10:26,CRCL,UR,96.2,94.27,2.05,undercut PDL 95.85,False,1.5,0.8,0.37,,,,,,92.95,0.65,True,-2.01
2026-09-09,10:26,NVDA,UR,224.94,223.55,0.62,undercut PDL 224.85,False,0.9,0.3,-0.08,,,,,,223.7,0.2,True,-0.62
2026-09-09,10:26,HOOD,UR,118.33,116.25,1.79,undercut PDL 117.08,False,1.9,0.7,0.51,,,,,,115.29,0.42,True,-1.76
2026-09-09,10:28,PLTR,UR,169.72,168.61,0.66,undercut PDL 170.00,True,-0.3,0.6,0.08,,,,,,169.51,1.26,False,-0.12
2026-09-09,10:35,MSFT,UR,492.74,489.8,0.6,undercut PDL 490.15,True,0.4,0.4,-0.1,,,,,,491.77,0.22,False,-0.2
2026-09-09,10:38,NOW,UR,133.36,132.13,0.93,undercut PDL 132.46,True,0.2,0.6,-0.07,,,,,,131.11,0.21,True,-0.92
2026-09-09,10:56,CRAK,UR,66.22,65.83,0.59,deep flush,False,6.3,2.1,1.57,,,,,,66.26,0.27,False,0.06
2026-09-09,11:03,ILMN,UR,206.7,203.84,1.4,undercut PDL 210.15,True,-0.4,1.2,0.0,,,,,,205.02,1.0,False,-0.81
2026-09-09,11:04,LITE,ORB9,1025.64,1018.5,0.7,,False,2.2,1.4,0.02,False,,,,,988.54,0.11,True,-0.7
2026-09-09,11:09,SNDK,ORB9,1783.13,1781.29,0.1,,False,2.2,1.0,0.1,True,,,,,1763.73,0.83,True,-0.1
2026-09-09,11:58,RVMD,UR,210.28,204.88,2.64,undercut PDL 206.30,False,0.4,0.9,-0.09,,,,,,207.65,0.13,False,-1.25
