date,t,symbol,kind,side,price,stop,stop_pct,stop_adr,tag,level,below_ema9,adr_vs_21,vol_pace,gap_adr,light_vol,spy_vs_vwap,qqq_vs_vwap,index_above,gated,rs_spy,rs_group,group,rs_leader,level_type,close,max_up_pct,stopped,result_pct
2026-09-10,09:31,GH,UR,long,157.89,156.32,1.01,,undercut PDL 159.94,,True,-0.6,0.1,-0.41,,-0.01,0.02,False,False,,,,,,159.04,3.98,False,0.73
2026-09-10,09:32,TSLA,UR,long,361.22,357.68,0.99,,undercut PDL 366.00,,False,0.5,0.1,-0.53,,-0.01,-0.09,False,False,,,,,,363.61,2.21,False,0.66
2026-09-10,09:32,QCOM,UR,long,174.2,172.0,1.28,,undercut PDL 173.32,,False,1.3,0.3,-0.75,,-0.03,-0.14,False,False,,,,,,176.89,4.71,True,-1.26
2026-09-10,09:32,DE,UR,long,679.0,671.4,1.13,,undercut PDL 672.62,,False,1.5,2.5,-0.11,,-0.03,-0.14,False,False,,,,,,677.85,0.44,False,-0.17
2026-09-10,09:33,MSFT,UR,long,488.16,486.22,0.4,,undercut PDL 489.80,,True,-0.2,0.2,-0.36,,0.01,0.03,True,False,,,,,,492.49,1.3,False,0.89
2026-09-10,09:33,IREN,UR,long,44.54,43.47,2.46,,undercut PDL 45.09,,False,1.0,0.1,-0.42,,0.01,0.03,True,False,,,,,,43.62,2.94,True,-2.4
2026-09-10,09:33,NBIS,UR,long,235.98,230.89,2.2,,undercut PDL 240.20,,False,1.0,0.3,-0.43,,0.01,0.03,True,False,,,,,,227.91,0.43,True,-2.16
2026-09-10,09:33,BE,UR,long,265.62,259.83,2.23,,undercut PDL 268.58,,False,2.1,0.4,-0.43,,0.01,0.03,True,False,,,,,,258.48,2.21,True,-2.18
2026-09-10,09:33,ANET,UR,long,189.1,188.07,0.55,,undercut PDL 192.05,,True,-0.4,0.3,-0.52,,0.03,0.06,True,False,,,,,,189.01,2.08,False,-0.05
2026-09-10,09:33,HALO,UR,long,106.99,106.36,0.59,,undercut PDL 106.62,,True,1.0,0.2,-0.17,,0.03,0.06,True,False,,,,,,107.02,0.9,False,0.03
2026-09-10,09:34,CBRS,UR,long,193.01,190.5,1.32,,undercut PDL 194.56,,True,-0.4,0.2,-0.34,,-0.01,0.04,False,False,,,,,,191.25,1.07,True,-1.3
2026-09-10,09:34,NTRA,UR,long,324.84,320.65,1.31,,undercut PDL 321.19,,True,0.5,0.5,-0.51,,-0.04,0.01,False,False,,,,,,326.37,1.95,False,0.47
2026-09-10,09:34,GLW,UR,long,165.09,163.5,0.97,,undercut PDL 167.36,,False,1.4,0.2,-0.55,,-0.04,-0.01,False,False,,,,,,163.08,2.06,True,-0.96
2026-09-10,09:34,COHR,UR,long,298.77,290.26,2.93,,undercut PDL 301.86,,False,0.3,0.2,-0.37,,-0.04,-0.0,False,False,,,,,,293.22,3.76,False,-1.86
2026-09-10,09:35,ORCL,UR,long,157.67,156.31,0.87,,undercut PDL 160.36,,False,1.3,0.3,-0.5,,0.01,0.05,True,False,,,,,,153.09,1.0,True,-0.86
2026-09-10,09:35,LRCX,UR,long,304.27,302.14,0.7,,undercut PDL 312.76,,True,-0.5,0.2,-1.09,,0.0,0.05,True,False,,,,,,297.87,0.44,True,-0.7
2026-09-10,09:35,HPE,UR,long,57.26,56.6,1.16,,deep flush,,False,1.2,0.1,-0.46,,0.0,0.05,True,False,,,,,,55.23,1.15,True,-1.15
2026-09-10,09:35,LITE,UR,long,964.13,951.13,1.37,,undercut PDL 978.11,,False,1.1,0.4,-0.39,,0.0,0.05,True,False,,,,,,935.54,3.15,True,-1.35
2026-09-10,09:35,CRCL,UR,long,90.41,89.55,0.96,,undercut PDL 92.81,,True,0.5,0.2,-0.46,,0.0,0.05,True,False,,,,,,90.39,2.82,False,-0.02
2026-09-10,09:35,AXTI,UR,long,66.44,64.73,2.64,,undercut PDL 68.18,,False,0.1,0.4,-0.42,,0.0,0.04,True,False,,,,,,64.7,4.33,True,-2.57
2026-09-10,09:36,HNGE,UR,long,88.21,86.78,1.65,,undercut PDL 89.07,,True,-0.2,0.5,-0.52,,0.03,0.1,True,False,,,,,,88.29,4.02,False,0.09
2026-09-10,09:36,TXG,UR,long,65.17,64.03,1.78,,deep flush,,False,1.2,0.4,-0.53,,0.06,0.11,True,False,,,,,,66.41,3.88,False,1.9
2026-09-10,09:36,IBIT,UR,long,43.62,43.42,0.45,,undercut PDL 44.16,,True,1.2,0.2,-0.68,,0.05,0.09,True,False,,,,,,43.66,0.63,False,0.1
2026-09-10,09:36,HOOD,UR,long,113.42,111.95,1.31,,undercut PDL 115.09,,False,1.0,0.3,-0.41,,0.05,0.09,True,False,,,,,,113.34,2.54,False,-0.07
2026-09-10,09:36,WDC,UR,long,461.46,457.11,0.95,,undercut PDL 471.72,,True,-0.3,0.3,-0.55,,0.05,0.09,True,False,,,,,,461.17,2.12,True,-0.94
2026-09-10,09:39,ASML,UR,long,1694.19,1681.58,0.75,,undercut PDL 1722.92,,True,-0.9,0.4,-1.05,,0.05,0.23,True,False,,,,,,1687.44,1.32,False,-0.4
2026-09-10,09:39,DELL,UR,long,524.02,517.33,1.29,,undercut PDL 532.39,,False,1.6,0.5,-0.38,,0.05,0.23,True,False,,,,,,506.44,0.62,True,-1.28
2026-09-10,09:39,DRAM,UR,long,59.51,58.84,1.14,,undercut PDL 60.71,,False,1.2,0.2,-0.88,,0.05,0.23,True,False,,,,,,58.48,0.5,True,-1.13
2026-09-10,09:39,TER,UR,long,370.54,366.31,1.16,,undercut PDL 368.48,,False,0.2,0.2,-0.6,,0.05,0.23,True,False,,,,,,370.19,1.2,True,-1.14
2026-09-10,09:39,AMD,UR,long,511.11,507.85,0.64,,deep flush,,False,1.7,0.4,-0.65,,0.05,0.23,True,False,,,,,,503.47,0.1,True,-0.64
2026-09-10,09:39,MRVL,UR,long,232.57,228.22,1.9,,deep flush,,False,0.8,0.3,-0.52,,0.05,0.23,True,False,,,,,,226.82,0.83,True,-1.87
2026-09-10,09:39,SNDK,UR,long,1706.78,1687.12,1.17,,undercut PDL 1728.02,,False,1.2,0.4,-0.32,,0.05,0.23,True,False,,,,,,1692.89,0.91,True,-1.15
2026-09-10,09:39,SKHY,UR,long,191.05,188.79,1.2,,deep flush,,False,3.2,0.5,-1.0,,0.05,0.23,True,False,,,,,,188.16,1.31,True,-1.18
2026-09-10,09:39,MU,UR,long,994.31,982.33,1.22,,undercut PDL 992.29,,False,0.9,0.3,-0.68,,0.05,0.23,True,False,,,,,,980.0,0.47,True,-1.2
2026-09-10,09:39,TSM,UR,long,427.63,425.31,0.55,,undercut PDL 431.87,,False,0.7,0.3,-1.02,,0.05,0.23,True,False,,,,,,428.24,1.15,True,-0.54
2026-09-10,09:39,INTC,UR,long,102.1,101.04,1.05,,undercut PDL 102.70,,False,1.5,0.2,-0.8,,0.05,0.23,True,False,,,,,,100.28,0.49,True,-1.04
2026-09-10,09:40,RVMD,UR,long,204.95,203.01,0.96,,undercut PDL 204.46,,True,-0.3,0.3,-0.23,,0.08,0.23,True,False,,,,,,203.52,1.41,True,-0.95
2026-09-10,09:40,CRM,UR,long,244.78,242.46,0.96,,undercut PDL 243.45,,True,1.6,0.2,0.09,,0.05,0.2,True,False,,,,,,243.09,1.52,True,-0.95
2026-09-10,09:40,ALAB,UR,long,286.34,282.06,1.52,,undercut PDL 286.11,,True,-0.6,1.3,-0.67,,0.05,0.23,True,False,,,,,,284.62,2.98,True,-1.49
2026-09-10,09:40,SMTC,UR,long,158.87,156.51,1.51,,undercut PDL 162.36,,False,1.9,0.2,-0.32,,0.05,0.21,True,False,,,,,,159.09,1.72,True,-1.49
