date,t,sym,kind,out_of_play,gated,px,stop,tags,spy,rs_spy,rs_grp,ext21,level_type,day_state_logged,stopped,t_stop,R,mfe_R,risk_pct
2026-08-13,09:40,CBRS,UR,False,False,228.59,218.67,undercut PDL,0.1,-13.3,-14.5,0.5,,,False,,0.29,1.0,4.34
2026-08-13,09:42,COHR,UR,False,False,347.6,338.11,undercut PDL,0.08,-2.7,-1.7,1.0,,,True,11:20,-1.0,1.05,2.73
2026-08-13,09:45,ALAB,UR,False,False,322.0,310.0,undercut PDL,0.08,0.5,0.5,-0.1,,,False,,0.06,0.91,3.73
2026-08-13,09:54,IREN,ORB9,False,False,48.41,47.63,,0.15,,,2.2,,,True,10:37,-1.0,0.99,1.61
2026-08-13,10:04,DRAM,ORB9,False,False,55.49,55.34,light vol,0.23,,,0.5,,,True,10:07,-1.0,0.17,0.27
2026-08-13,10:05,SMTC,UR,False,False,138.41,136.24,undercut PDL,0.22,-1.9,-3.1,0.9,,,True,11:49,-1.0,1.08,1.57
2026-08-13,10:12,NTRA,UR,False,False,314.54,311.62,undercut PDL,0.23,-1.2,-0.4,2.8,,,True,10:18,-1.0,0.0,0.93
2026-08-13,10:19,AAPL,BIR,False,True,304.53,306.18,STOP IN NOISE|[PRICE],0.22,-0.0,-1.1,-1.4,PRICE,,False,,-0.47,1.19,0.54
2026-08-13,10:19,AMD,BIR,False,True,490.18,499.5,STOP IN NOISE|[MA],0.22,0.7,-0.3,-0.1,MA,,False,,0.77,0.87,1.9
2026-08-13,10:23,DE,UR,False,False,617.81,612.98,tagged,0.27,-1.2,,0.5,,,True,11:25,-1.0,0.16,0.78
2026-08-13,10:24,TGTX,BIR,False,True,48.23,49.92,[VWAP],0.26,-3.4,-2.3,-1.4,VWAP,,False,,0.16,0.41,3.5
2026-08-13,10:29,NBIS,ORB9,False,False,273.2,267.7,,0.27,,,2.7,,,True,10:57,-1.0,0.5,2.01
2026-08-13,10:29,P,ORB9,False,False,116.56,116.5,light vol,0.27,,,6.4,,,True,10:33,-1.0,12.33,0.05
2026-08-13,10:39,ADBE,FBO,False,True,260.35,265.27,[PRICE],0.22,-0.2,-1.3,1.1,PRICE,,True,14:39,-1.0,0.91,1.89
2026-08-13,10:39,IREN,FBO,False,True,47.59,49.67,was an ORB9 long|STRONGEST IN GROUP|[PRICE],0.22,8.1,3.2,2.0,PRICE,,False,,1.36,1.73,4.37
2026-08-13,10:44,IONQ,FBO,False,True,46.66,48.27,[PRICE],0.14,2.4,0.3,2.1,PRICE,,False,,1.05,1.07,3.45
2026-08-13,10:49,AAPL,BIR,False,True,304.57,306.68,STOP IN NOISE|[PRICE],0.02,0.1,-0.8,-1.4,PRICE,,False,,-0.35,0.95,0.69
2026-08-13,10:49,CRCL,FBO,False,True,72.14,73.92,STOP IN NOISE|[PRICE],0.02,0.5,-0.7,1.3,PRICE,,True,15:02,-1.0,1.09,2.47
