date,fills,symbols,stock_round_trips,doubled,disc_entries,disc_good,disc_bad,too_soon,pct_good,score,grade,nav_pnl
2026-08-03,39,14,3,0,10,8,0,1,80.0,95,A,1752.0
2026-08-04,38,21,1,3,24,5,13,0,21.0,55,C,4996.0
2026-08-05,66,22,7,0,17,7,9,1,41.0,38,D,-3396.0
2026-08-06,41,18,7,1,13,6,4,1,46.0,38,D,-3632.0
2026-08-07,64,28,8,0,28,10,14,4,36.0,28,D,1824.0
2026-08-10,46,18,6,0,16,6,9,1,38.0,55,C,-497.0
2026-08-11,68,21,8,1,12,8,3,0,67.0,51,D,-893.0
2026-08-12,127,41,9,4,27,9,17,7,33.0,5,D,3175.0
2026-08-13,83,25,9,3,29,11,11,1,38.0,15,D,749.0
2026-08-14,113,39,14,4,31,7,23,1,23.0,10,D,330.0
2026-08-17,92,27,8,3,20,12,8,1,60.0,30,D,3588.0
2026-08-18,60,23,10,3,20,14,4,0,70.0,43,D,-6883.0
2026-08-19,33,14,3,0,6,3,2,1,50.0,80,B,2674.0
2026-08-20,79,28,7,3,23,13,8,0,57.0,43,D,1199.0
2026-08-21,58,25,5,1,23,12,10,2,52.0,51,D,2881.0
2026-08-24,58,29,2,1,21,15,4,0,71.0,71,B,-4284.0
2026-08-25,60,30,8,1,20,9,6,0,45.0,36,D,430.0
2026-08-26,43,21,5,2,10,4,5,1,40.0,48,D,-1257.0
2026-08-27,116,32,12,1,19,3,16,0,16.0,23,D,650.0
2026-08-28,94,33,10,3,20,11,8,0,55.0,35,D,-4124.0
2026-08-31,120,36,14,5,27,15,9,3,56.0,15,D,146.0
2026-09-01,104,32,12,2,32,20,7,0,62.0,38,D,-2593.0
2026-09-02,121,35,23,2,31,23,0,1,74.0,33,D,-378.0
2026-09-03,77,26,9,1,17,11,3,0,65.0,51,D,1446.0
2026-09-04,70,24,9,2,14,10,0,0,71.0,51,D,-1307.0
2026-09-08,80,20,10,0,6,5,1,3,83.0,58,C,1056.0
