sym,prev,pm_mid,gap_pct,gap_adr,spread_pct,buy_stop,hold_stop,flags,side
AAOI,107.93,103.63,-3.98,-0.47,0.22,,,,long
AAPL,315.34,317.19,0.59,0.27,0.06,,,,long
ADBE,254.86,249.85,-1.97,-0.57,0.12,,,,long
ALAB,300.54,288.24,-4.09,-0.64,0.53,,,,long
AMD,521.1,507.5,-2.61,-0.73,0.2,526.8,,,long
AMZN,252.4,250.62,-0.7,-0.36,0.06,,,,long
ANET,192.93,188.41,-2.35,-0.66,0.97,,,,long
ASML,1729.52,1681.12,-2.8,-1.25,0.04,1751.0,,GAP>1ADR,long
AXTI,68.91,65.58,-4.83,-0.47,0.67,,,,long
BE,269.28,259.31,-3.7,-0.5,0.23,,,,long
BMNR,24.21,23.44,-3.2,-0.5,0.13,,,,long
CBRS,196.2,190.53,-2.89,-0.37,0.48,,,,long
CF,138.11,140.42,1.67,0.44,1.3,,,,long
COHR,303.48,293.62,-3.25,-0.5,0.26,,,,long
CRAK,66.3,66.33,0.04,0.02,0.23,,,,short
CRCL,92.99,89.75,-3.49,-0.48,0.17,,,,long
CRM,244.16,243.06,-0.45,-0.11,0.57,,,,long
CRWD,207.8,204.15,-1.76,-0.33,0.15,,,,long
DE,677.21,674.94,-0.34,-0.11,1.21,,,,long
DELL,535.25,522.39,-2.4,-0.4,0.15,,,,long
DINO,108.14,109.61,1.35,0.37,1.09,,,,long
DRAM,61.58,59.27,-3.74,-1.01,0.05,,,GAP>1ADR,long
FTNT,157.22,155.5,-1.09,-0.27,0.64,,,,long
GH,162.78,160.84,-1.19,-0.25,2.31,,,,long
GLW,168.46,162.68,-3.43,-0.76,0.39,,158.5,,long
GOOGL,330.65,328.61,-0.62,-0.36,0.05,,,,long
HALO,107.39,105.16,-2.08,-0.8,5.19,,,,long
HNGE,91.31,90.5,-0.89,-0.18,1.11,,,,long
HOOD,115.28,112.48,-2.43,-0.42,0.23,,,,long
HPE,58.9,57.33,-2.67,-0.47,0.3,,,,long
IBIT,44.29,43.47,-1.85,-0.75,0.0,,,,long
ILMN,205.0,204.08,-0.45,-0.11,1.06,,,,long
INTC,106.24,101.94,-4.05,-0.91,0.05,106.75,,,long
IONQ,38.14,37.17,-2.53,-0.42,0.13,,,,short
IREN,45.37,43.51,-4.1,-0.56,0.18,,,,long
IWM,290.64,288.3,-0.81,-0.93,0.01,,,,short
LITE,988.98,961.0,-2.83,-0.37,0.21,,,,long
LRCX,315.84,303.77,-3.82,-0.96,0.57,,,,long
MRVL,235.01,225.56,-4.02,-0.73,0.09,,,,long
MSFT,491.65,488.6,-0.62,-0.33,0.04,,,,long
MU,1027.77,994.84,-3.2,-0.71,0.03,1042.5,,,long
NBIS,240.35,230.84,-3.96,-0.54,0.12,,,,long
NET,314.18,308.75,-1.73,-0.33,0.48,,305.0,,long
NFLX,76.03,75.7,-0.43,-0.16,0.12,,,,long
NOW,131.11,130.52,-0.45,-0.1,0.27,,,,long
NTRA,330.31,328.81,-0.46,-0.14,2.27,,,,long
NVDA,223.67,220.57,-1.38,-0.53,0.02,,,,long
OKTA,172.74,169.56,-1.84,-0.35,1.17,173.1,,,long
ORCL,161.63,158.5,-1.94,-0.48,0.09,,,,long
P,97.06,95.12,-1.99,-0.35,0.47,,,,long
PANW,335.1,330.22,-1.46,-0.31,1.01,,,,long
PLTR,169.53,166.33,-1.88,-0.46,0.1,172.0,,,long
QBTS,17.12,16.73,-2.25,-0.44,0.06,,,,long
QCOM,176.4,172.84,-2.02,-0.63,0.2,,,,long
QQQ,716.31,707.1,-1.29,-1.4,0.01,,,GAP>1ADR INDEX,long
RGTI,15.24,14.88,-2.4,-0.42,0.07,,,,short
RVMD,207.68,207.75,0.04,0.01,0.72,,,,long
SKHY,198.63,188.91,-4.89,-1.05,0.04,,194.5,STOP 194.50 gapped through GAP>1ADR,long
SMTC,163.94,159.51,-2.7,-0.36,2.52,,,,long
SNDK,1764.17,1711.85,-2.97,-0.43,0.16,1807.3,,,long
SPCX,147.55,144.95,-1.76,-0.35,0.06,,,,long
SPY,762.4,758.34,-0.53,-0.93,0.0,,,INDEX,long
TER,383.69,370.0,-3.57,-0.72,1.63,384.5,,,long
TGTX,54.65,54.59,-0.1,-0.02,2.2,,,,long
TSLA,367.81,361.48,-1.72,-0.46,0.04,,,,long
TSM,435.36,427.0,-1.92,-0.95,0.07,,,,long
TXG,67.29,66.34,-1.4,-0.24,1.32,,,,long
UNH,393.06,396.25,0.81,0.37,0.2,,,,long
WDC,482.28,464.0,-3.79,-0.65,0.35,,,,long
XHB,99.23,99.0,-0.23,-0.13,2.04,,,,short
