[2026-08-14 09:30] AMAT   GAP   day OUT -> SHORT: gap -6.6% (-1.2 ADR) -> trend-down: under falling 9/21 EMAs (-1.1 ADR) [gap-reclassified from OUT]
[2026-08-14 09:40] ILMN   UR    (gated) UR reclaim 191.27 > VWAP 190.30 | low 188.00@09:30 (-0.59 ADR, opened below 21 EMA 192.61) | higher low 189.58@09:37 | stop 188.00 (1.7%) | still below 9 EMA 193.86 | -0.2 ADR vs 21 EMA | vol pace 0.1x | RS vs SPY -0.7% | vs biotech +0.3% | SPY < VWAP (-0.01%) | day LONG: near the 21 EMA (+0.0 ADR), 0.5 ADR to the prior high 196.66 | grade C: UR in the first ten minutes (09:30-09:40) | industry: biotech: XBI -1.1% <VWAP (daily LONG), peers 0/7 green, avg -1.0%
[2026-08-14 09:42] CBRS   UR    UR reclaim 224.53 > VWAP 224.15 | low 220.10@09:30 (-0.40 ADR, opened below 9 EMA 228.43) | higher low 223.12@09:35 | stop 220.10 (2.0%) | still below 9 EMA 228.43 | +0.3 ADR vs 21 EMA | vol pace 3.2x | RS vs SPY -2.9% | vs hardware -2.6% | SPY > VWAP (+0.04%) | day LONG: near the rising 21 EMA (+0.6 ADR) | grade B: UR 09:41-12:00 on a day-LONG name | industry: hardware: peers 1/4 green, avg -0.2%
[2026-08-14 09:42] GH     UR    UR reclaim 158.76 > VWAP 158.35 | low 157.27@09:30 (-0.29 ADR, undercut PDL 158.93) | higher low 158.14@09:36 | stop 157.27 (0.9%) | still below 9 EMA 161.66 | +0.1 ADR vs 21 EMA | vol pace 0.2x | RS vs SPY -0.5% | vs biotech +0.4% | SPY > VWAP (+0.04%) | day LONG: near the rising 21 EMA (+0.2 ADR), 0.7 ADR to the prior high 164.98 | grade B: UR 09:41-12:00 on a day-LONG name | industry: biotech: XBI -1.0% <VWAP (daily LONG), peers 0/7 green, avg -0.9%
[2026-08-14 09:45] SNDK   LVL   LVL break 1626.06 > 15d pivot 1580.88 | recipe grade (ADR 11.2%, -35% vs 52wk high, stack 0d) | CATALYST-SIZE move (+6.4% on the day): B archetype, no validated edge | stop 1492.10 (9.0%, 0.5 ADR under the level; at the close reset to the entry bar's low, close basis) | +1.5 ADR vs 21 EMA | vol pace 1.4x | day range pos 0.74 | open +7.8% | 20-day SMA trail 1339.23 | RS vs SPY +6.3% | vs memory +3.5% (strongest in group) | SPY > VWAP (+0.05%) | day LONG: near the 21 EMA (+0.8 ADR) | grade B: LVL 09:41-12:00 on a day-LONG name | industry: memory: DRAM +1.6% >VWAP (daily LONG), peers 3/3 green, avg +3.4%
[2026-08-14 09:49] AAOI   ORB9  ORB9 5-min close 144.63 > OR high 143.66 | open 130.39 (+0.2%) held 9 EMA 127.03 | stop 140.58 (2.9%) | +1.5 ADR vs 21 EMA | vol pace 1.5x | 15d high 149.35 | SPY < VWAP but GROUP LEADING | SPY < VWAP (-0.02%) | day LONG: near the rising 21 EMA (+0.6 ADR) | grade B: ORB9 09:41-12:00 on a day-LONG name | industry: optical: peers 3/3 green, avg +4.3%
[2026-08-14 09:50] OSCR   LVL   LVL break 32.53 > 15d pivot 31.94 | recipe grade (ADR 5.7%, -7% vs 52wk high, stack 0d) | stop 31.03 (4.8%, 0.5 ADR under the level; at the close reset to the entry bar's low, close basis) | +1.9 ADR vs 21 EMA | vol pace 1.1x (light vol) | day range pos 0.89 | open -0.1% | 20-day SMA trail 29.53 | RS vs SPY +5.7% | vs health -3.1% | SPY < VWAP (-0.00%) | day OUT (no room) -> LONG: the break resolves it | day LONG: no room: 0.1 ADR under the prior high 31.00 (+0.8 ADR from the 21) | grade B: LVL 09:41-12:00 on a day-LONG name | industry: health: XLV -0.9% <VWAP (daily OUT), peers 2/3 green, avg +8.8%
[2026-08-14 09:51] KLAC   UR    UR reclaim 207.76 > VWAP 207.21 | low 205.58@09:34 (-0.34 ADR, undercut PDL 207.00) | higher low 207.47@09:50 | stop 205.58 (1.1%) | +0.4 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY -0.8% | SPY > VWAP (+0.04%) | day LONG: near the 21 EMA (+0.6 ADR) | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-14 09:54] LITE   ORB9  ORB9 5-min close 938.51 > OR high 930.00 | open 892.68 (+1.4%) held 9 EMA 842.46 | stop 928.45 (1.1%) | +1.6 ADR vs 21 EMA | vol pace 1.0x (light vol) | 15d high 966.60 | SPY > VWAP (+0.04%) | day LONG: near the rising 21 EMA (+0.9 ADR) | grade B: ORB9 09:41-12:00 on a day-LONG name | industry: optical: peers 3/3 green, avg +7.0%
[2026-08-14 09:54] TSLA   ORB9  ORB9 5-min close 349.40 > OR high 347.80 | open 342.39 (+0.7%) held 9 EMA 329.70 | stop 348.23 (0.3%) | +0.9 ADR vs 21 EMA | vol pace 1.1x (light vol) | 15d high 341.64 | SPY > VWAP (+0.04%) | day LONG: near the 21 EMA (+0.1 ADR), 6.0 ADR to the prior high 414.75 | grade B: ORB9 09:41-12:00 on a day-LONG name | industry: megacap: MGK +0.0% <VWAP (daily SHORT), peers 4/5 green, avg +0.2%
[2026-08-14 09:55] QBTS   UR    UR reclaim 21.05 > VWAP 21.03 | low 20.42@09:30 (-0.33 ADR, undercut PDL 20.45) | higher low 20.96@09:52 | stop 20.42 (3.1%) | +0.9 ADR vs 21 EMA | vol pace 0.7x | RS vs SPY +0.7% | vs quantum -1.5% | SPY > VWAP (+0.03%) | day LONG: near the rising 21 EMA (+0.8 ADR), 0.8 ADR to the prior high 22.00 | grade B: UR 09:41-12:00 on a day-LONG name | industry: quantum: QTUM +0.5% >VWAP (daily OUT), peers 2/2 green, avg +2.2%
