[2026-08-25 09:30] USO    GAP   day OUT -> LONG: gap -3.1% (-1.3 ADR) -> near the 21 EMA (+0.2 ADR), 0.9 ADR to the prior high 130.98 [gap-reclassified from OUT]
[2026-08-25 09:40] FTI    UR    (gated) UR reclaim 75.83 > VWAP 75.75 | low 75.00@09:31 (-0.31 ADR, tagged 21 EMA 74.93) | higher low 75.85@09:39 | stop 75.00 (1.1%) | still below 9 EMA 76.56 | +0.3 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY -0.4% | vs energy +0.3% | SPY > VWAP (+0.00%) | day LONG: near the rising 21 EMA (+0.3 ADR) | grade C: UR in the first ten minutes (09:30-09:40) | industry: energy: XLE -1.1% <VWAP (daily OUT), peers 2/6 green, avg -0.3%
[2026-08-25 09:49] BBY    UR    UR reclaim 86.89 > VWAP 86.66 | low 85.57@09:35 (-0.75 ADR, undercut PDL 86.72) | higher low 86.67@09:48 | stop 85.57 (1.5%) | +0.6 ADR vs 21 EMA | vol pace 0.9x | RS vs SPY -1.1% | SPY > VWAP (+0.01%) | day LONG: near the rising 21 EMA (+0.9 ADR) | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-25 10:18] PG     UR    UR reclaim 145.81 > VWAP 145.55 | low 144.95@09:52 (-0.60 ADR, undercut PDL 145.00) | higher low 145.44@10:12 | stop 144.95 (0.6%) | +0.1 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY -0.8% | SPY < VWAP (-0.06%) | day LONG: near the 21 EMA (+0.4 ADR), 0.7 ADR to the prior high 148.50 | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-25 10:34] BE     FBO   (gated) FBO short 209.50 < PDH 209.92 [PRICE] and VWAP 213.11 after high 217.50 (lower high since) | stop 219.71 (4.9%, 0.48 ADR) | -0.3 ADR vs 21 EMA | vol pace 1.0x | RS vs SPY +2.6% | SPY < VWAP (-0.16%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.6 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: power: GRID +0.7% <VWAP (daily OUT)
[2026-08-25 10:34] CSCO   FBO   (gated) FBO short 111.13 < PDH 111.22 [PRICE] and VWAP 111.76 after high 112.50 (lower high since) | stop 112.82 (1.5%, 0.53 ADR) | -1.0 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY +0.7% | SPY < VWAP (-0.16%) | day SHORT: trend-down: under falling 9/21 EMAs (-1.3 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C)
[2026-08-25 10:54] CDW    BIR   (gated) BIR short 136.60 < prior 5m low 136.72 | bounce 130.56->137.29@10:45 (0.99 ADR) into 21 EMA 137.41 [MA] | stop 138.01 (1.0%, 0.20 ADR, STOP IN NOISE -- size to it) | -0.1 ADR vs 21 EMA | vol pace 0.6x | RS vs SPY +2.9% | vs hardware +1.4% | SPY < VWAP (-0.09%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.7 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: hardware: peers 3/4 green, avg +1.7%
[2026-08-25 11:14] ADM    BIR   (gated) BIR short 77.33 < prior 5m low 77.56 | bounce 75.86->78.09@11:00 (0.92 ADR) into prior high 78.13 [SWING HIGH] | stop 78.34 (1.3%, 0.41 ADR) | -1.2 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY -1.2% | SPY < VWAP (-0.09%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.9 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C)
[2026-08-25 11:24] IBM    BIR   (gated) BIR short 232.73 < prior 5m low 232.99 | bounce 229.51->233.34@11:10 (0.59 ADR) into 9 EMA 233.58 [MA] | stop 234.00 (0.6%, 0.19 ADR, STOP IN NOISE -- size to it) | -0.2 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY +0.6% | SPY < VWAP (-0.06%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.5 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C)
[2026-08-25 11:34] NUE    BIR   (gated) BIR short 245.75 < prior 5m low 246.22 | bounce 243.10->247.79@10:35 (0.51 ADR) into 50 SMA 247.81 [MA] | stop 248.73 (1.2%, 0.32 ADR, STOP IN NOISE -- size to it) | -1.1 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY +0.2% | vs materials +0.4% | SPY < VWAP (-0.02%) | day SHORT: trend-down: under falling 9/21 EMAs (-1.2 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: materials: XLB -0.4% >VWAP (daily OUT), peers 2/4 green, avg +0.0%
[2026-08-25 15:59] C      BIR   (gated) BIR short 133.25 < prior 5m low 133.35 | bounce 131.50->133.68@15:40 (0.75 ADR) into 9 EMA 133.78 [MA] | stop 133.98 (0.5%, 0.25 ADR, STOP IN NOISE -- size to it) | -0.4 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY +0.9% | SPY > VWAP (+0.07%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.9 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C)
