[2026-08-31 09:30] CVX    GAP   day OUT -> SHORT: gap +2.1% (+1.2 ADR) -> exhaustion: +2.0 ADR over the 21 EMA into the prior high 208.98 [gap-reclassified from OUT]
[2026-08-31 09:47] IBM    UR    UR reclaim 233.14 > VWAP 232.90 | low 232.18@09:30 (-0.56 ADR, undercut PDL 235.09) | higher low 232.50@09:35 | stop 232.18 (0.4%) | still below 9 EMA 234.40 | -0.2 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -0.7% | SPY < VWAP (-0.01%) | day FLAT: on the 9/21 EMAs (+0.2 ADR from the 21, +0.2 from the 9): either side | daily: RS20 vs SPY +0.0pp | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-31 09:49] TSLA   ORB9  ORB9 5-min close 359.42 > OR high 355.94 | open 347.21 (-0.4%) held 9 EMA 347.92 | stop 355.71 (1.0%) | +1.2 ADR vs 21 EMA | vol pace 1.1x (light vol) | 15d high 366.50 | SPY < VWAP (gate off) | RS vs SPY +3.5% | vs megacap +4.1% (strongest in group) | SPY < VWAP (-0.06%) | day FLAT: on the 9/21 EMAs (+0.3 ADR from the 21, +0.1 from the 9): either side | daily: RS20 vs SPY +0.0pp | grade B: ORB9 09:41-12:00 on a day-LONG name | industry: megacap: MGK -0.4% <VWAP (daily OUT), peers 0/5 green, avg -1.1%
[2026-08-31 09:57] ORCL   UR    UR reclaim 149.03 > VWAP 148.79 | low 147.75@09:42 (-0.48 ADR, undercut PDL 149.71) | higher low 148.10@09:50 | stop 147.75 (0.9%) | +0.6 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -0.8% | vs software -1.2% | VWAP CHOP (5 crossings in 15 min, dip -0.13 ADR): not a decisive reclaim | SPY < VWAP (-0.01%) | day LONG: near the rising 21 EMA (+0.9 ADR) | daily: RS20 vs SPY +0.0pp | grade B: UR 09:41-12:00 on a day-LONG name | industry: software: IGV +0.0% <VWAP (daily OUT), peers 3/7 green, avg -0.0%
[2026-08-31 09:58] ABBV   UR    UR reclaim 254.23 > VWAP 253.97 | low 252.33@09:35 (-0.57 ADR, undercut PDL 255.08) | higher low 253.84@09:47 | stop 252.33 (0.8%) | still below 9 EMA 259.36 | -0.4 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -0.1% | SPY < VWAP (-0.04%) | day LONG: pullback into the rising 9/21 EMAs (-0.2 ADR), 1.0 ADR to the prior high 260.96 | daily: RS20 vs SPY +0.0pp | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-31 10:01] TGTX   UR    UR reclaim 53.27 > VWAP 53.20 | low 52.67@09:36 (-0.47 ADR, undercut PDL 53.83) | higher low 53.05@09:48 | stop 52.67 (1.1%) | still below 9 EMA 53.71 | +0.2 ADR vs 21 EMA | vol pace 0.2x | RS vs SPY -0.8% | vs biotech +1.4% | SPY < VWAP (-0.06%) | day LONG: near the rising 21 EMA (+0.5 ADR), 1.1 ADR to the prior high 56.74 | daily: RS20 vs SPY +0.0pp | grade B: UR 09:41-12:00 on a day-LONG name | industry: biotech: XBI -1.1% >VWAP (daily LONG), peers 0/7 green, avg -2.7%
[2026-08-31 10:08] GH     UR    UR reclaim 158.18 > VWAP 157.90 | low 155.62@09:52 (-0.85 ADR, undercut PDL 160.23) | higher low 156.17@09:56 | stop 155.62 (1.6%) | still below 9 EMA 165.21 | -0.6 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -1.6% | vs biotech +0.0% | SPY < VWAP (-0.09%) | day LONG: pullback into the rising 9/21 EMAs (-0.2 ADR), 0.5 ADR to the prior high 164.98 | daily: RS20 vs SPY +0.0pp | grade B: UR 09:41-12:00 on a day-LONG name | industry: biotech: XBI -1.0% >VWAP (daily LONG), peers 0/7 green, avg -2.1%
[2026-08-31 10:18] TXG    UR    UR reclaim 59.99 > VWAP 59.78 | low 58.70@10:03 (-0.67 ADR, undercut PDL 60.82) | higher low 59.20@10:08 | stop 58.70 (2.2%) | still below 9 EMA 62.25 | +0.5 ADR vs 21 EMA | vol pace 0.6x | RS vs SPY -2.0% | vs biotech -0.7% | SPY < VWAP (-0.07%) | day LONG: near the rising 21 EMA (+0.9 ADR) | daily: RS20 vs SPY +0.0pp | grade B: UR 09:41-12:00 on a day-LONG name | industry: biotech: XBI -1.1% >VWAP (daily LONG), peers 0/7 green, avg -1.8%
[2026-08-31 10:32] BKNG   UR    UR reclaim 201.65 > VWAP 201.38 | low 199.90@09:56 (-0.92 ADR, undercut PDL 203.06) | higher low 201.16@10:29 | stop 199.90 (0.9%) | still below 9 EMA 208.20 | -0.6 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY -1.4% | VWAP CHOP (2 crossings in 15 min, dip -0.02 ADR): not a decisive reclaim | SPY < VWAP (-0.16%) | day LONG: near the rising 21 EMA (+0.1 ADR) | daily: RS20 vs SPY +0.0pp | grade B: UR 09:41-12:00 on a day-LONG name
[2026-08-31 10:33] ILMN   UR    UR reclaim 211.53 > VWAP 211.06 | low 208.98@09:51 (-0.71 ADR, undercut PDL 214.61) | higher low 209.23@09:57 | stop 208.98 (1.2%) | still below 9 EMA 216.06 | +0.5 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -1.3% | vs biotech +0.3% | SPY < VWAP (-0.15%) | day LONG: near the rising 21 EMA (+1.0 ADR) | daily: RS20 vs SPY +0.0pp | grade B: UR 09:41-12:00 on a day-LONG name | industry: biotech: XBI -1.4% <VWAP (daily LONG), peers 0/7 green, avg -2.2%
[2026-08-31 10:40] HOOD   UR    UR reclaim 101.91 > VWAP 101.75 | low 100.68@09:52 (-0.66 ADR, undercut PDL 104.15) | higher low 101.37@10:06 | stop 100.68 (1.2%) | still below 9 EMA 104.21 | +0.2 ADR vs 21 EMA | vol pace 0.9x | RS vs SPY -1.8% | vs crypto -3.4% | SPY < VWAP (-0.05%) | day LONG: near the rising 21 EMA (+0.6 ADR), 1.5 ADR to the prior high 112.50 | daily: RS20 vs SPY +0.0pp | grade B: UR 09:41-12:00 on a day-LONG name | industry: crypto: IBIT +0.8% >VWAP (daily OUT), peers 2/2 green, avg +1.2%
