[2026-09-03 09:30] HOOD   GAP   day LONG -> SHORT: gap +6.4% (+1.3 ADR) -> exhaustion: +2.1 ADR over the 21 EMA into the prior high 112.45 [gap-reclassified from LONG]
[2026-09-03 09:41] RVMD   UR    UR reclaim 210.19 > VWAP 209.56 | low 207.04@09:30 (-0.26 ADR, tagged 21 EMA 206.56) | higher low 208.07@09:34 | stop 207.04 (1.5%) | still below 9 EMA 210.20 | +0.4 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY -0.1% | vs biotech +0.2% | SPY > VWAP (+0.11%) | day LONG: near the rising 21 EMA (+0.3 ADR) | grade B: UR 09:41-12:00 on a day-LONG name | industry: biotech: XBI -0.7% <VWAP (daily OUT), peers 4/7 green, avg +0.2%
[2026-09-03 09:42] JPM    UR    UR reclaim 359.13 > VWAP 358.49 | low 356.39@09:32 (-0.43 ADR, tagged 9 EMA 356.16) | higher low 358.40@09:39 | stop 356.39 (0.8%) | +0.7 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY +0.2% | SPY > VWAP (+0.09%) | day LONG: near the rising 21 EMA (+0.1 ADR), 0.6 ADR to the prior high 359.30 | grade B: UR 09:41-12:00 on a day-LONG name
[2026-09-03 09:42] UNH    UR    UR reclaim 398.38 > VWAP 397.71 | low 395.30@09:34 (-0.61 ADR, undercut PDL 396.51) | higher low 396.48@09:40 | stop 395.30 (0.8%) | -0.1 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY -0.9% | vs health -0.5% | SPY > VWAP (+0.09%) | day LONG: near the 21 EMA (+0.0 ADR), 0.9 ADR to the prior high 406.25 | grade B: UR 09:41-12:00 on a day-LONG name | industry: health: XLV -0.3% <VWAP (daily OUT), peers 2/3 green, avg +0.1%
[2026-09-03 09:45] SNDK   UR    UR reclaim 1526.40 > VWAP 1524.47 | low 1511.00@09:39 (-0.36 ADR, tagged 9 EMA 1529.08) | higher low 1522.02@09:44 | stop 1511.00 (1.0%) | still below 9 EMA 1529.08 | +0.2 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY -2.3% | vs memory +1.2% | SPY > VWAP (+0.10%) | day LONG: near the rising 21 EMA (+0.4 ADR), 1.2 ADR to the prior high 1696.37 | grade B: UR 09:41-12:00 on a day-LONG name | industry: memory: DRAM -2.2% >VWAP (daily LONG), peers 0/3 green, avg -3.2%
[2026-09-03 09:45] TSLA   LVL   LVL break 373.73 > 15d pivot 368.92 | recipe grade (ADR 3.5%, -28% vs 52wk high, stack 0d) | stop 362.47 (3.1%, 0.5 ADR under the level; at the close reset to the entry bar's low, close basis) | +2.0 ADR vs 21 EMA | vol pace 1.7x | day range pos 0.85 | open +2.5% | 20-day SMA trail 344.32 | RS vs SPY +4.1% | vs megacap +3.2% (strongest in group) | SPY > VWAP (+0.10%) | day LONG: near the rising 21 EMA (+0.7 ADR), 0.8 ADR to the prior high 366.50 | grade B: LVL 09:41-12:00 on a day-LONG name | industry: megacap: MGK +1.1% >VWAP (daily OUT), peers 5/5 green, avg +1.5%
[2026-09-03 09:48] SMTC   UR    UR reclaim 129.55 > VWAP 129.29 | low 127.14@09:33 (-0.64 ADR, undercut PDL 128.17) | higher low 128.30@09:43 | stop 127.14 (1.9%) | still below 9 EMA 133.01 | -0.3 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY -3.8% | vs semis -1.7% | SPY > VWAP (+0.08%) | day LONG: near the rising 21 EMA (+0.1 ADR), 0.6 ADR to the prior high 139.99 | grade B: UR 09:41-12:00 on a day-LONG name | industry: semis: SMH -0.8% >VWAP (daily SHORT), peers 2/11 green, avg -1.5%
[2026-09-03 09:49] CRWD   UR    UR reclaim 207.87 > VWAP 207.31 | low 203.76@09:33 (-0.41 ADR, tagged 21 EMA 206.89) | higher low 205.58@09:46 | stop 203.76 (2.0%) | still below 9 EMA 210.13 | +0.1 ADR vs 21 EMA | vol pace 1.0x | RS vs SPY +1.6% | vs cyber +2.2% (strongest in group) | SPY > VWAP (+0.05%) | day LONG: pullback into the rising 9/21 EMAs (-0.3 ADR), 0.6 ADR to the prior high 209.50 | grade B: UR 09:41-12:00 on a day-LONG name | industry: cyber: CIBR +0.1% <VWAP (daily LONG), peers 2/3 green, avg -0.0%
[2026-09-03 09:49] SKHY   UR    UR reclaim 159.75 > VWAP 159.50 | low 158.09@09:36 (-0.91 ADR, undercut PDL 158.67) | higher low 159.02@09:43 | stop 158.09 (1.1%) | still below 9 EMA 161.40 | +0.1 ADR vs 21 EMA | vol pace 0.7x | RS vs SPY -3.8% | vs memory -1.0% | SPY > VWAP (+0.05%) | day LONG: near the rising 21 EMA (+0.8 ADR) | grade B: UR 09:41-12:00 on a day-LONG name | industry: memory: DRAM -1.8% >VWAP (daily LONG), peers 0/3 green, avg -2.4%
[2026-09-03 09:49] TSLA   ORB9  ORB9 5-min close 377.43 > OR high 375.18 | open 365.88 (+2.5%) held 9 EMA 353.61 | stop 373.71 (1.0%) | +2.3 ADR vs 21 EMA | vol pace 1.9x | 15d high 368.92 | SPY > VWAP (+0.05%) | day LONG: near the rising 21 EMA (+0.7 ADR), 0.8 ADR to the prior high 366.50 | grade B: ORB9 09:41-12:00 on a day-LONG name | industry: megacap: MGK +1.1% >VWAP (daily OUT), peers 5/5 green, avg +1.4%
[2026-09-03 09:51] BAC    UR    UR reclaim 62.85 > VWAP 62.67 | low 62.32@09:40 (-0.46 ADR, tagged 9 EMA 62.30) | higher low 62.66@09:50 | stop 62.32 (0.9%) | +0.5 ADR vs 21 EMA | vol pace 0.8x | RS vs SPY -0.2% | SPY > VWAP (+0.10%) | day LONG: near the 21 EMA (+0.2 ADR) | grade B: UR 09:41-12:00 on a day-LONG name
[2026-09-03 09:54] SPCX   ORB9  ORB9 5-min close 148.46 > OR high 147.75 | open 141.39 (+0.5%) held 9 EMA 140.36 | stop 147.80 (0.4%) | +1.4 ADR vs 21 EMA | vol pace 1.1x (light vol) | 15d high 149.80 | SPY > VWAP (+0.04%) | day LONG: near the rising 21 EMA (+0.4 ADR), 1.1 ADR to the prior high 149.80 | grade B: ORB9 09:41-12:00 on a day-LONG name | industry: space: ARKX +1.7% >VWAP (daily OUT)
[2026-09-03 09:57] BE     UR    UR reclaim 219.50 > VWAP 218.72 | low 212.12@09:37 (-0.42 ADR, tagged 9 EMA 213.46) | higher low 219.48@09:56 | stop 212.12 (3.5%) | +0.2 ADR vs 21 EMA | vol pace 1.0x | RS vs SPY +0.5% | SPY < VWAP (-0.02%) | day LONG: near the 21 EMA (+0.1 ADR), 2.0 ADR to the prior high 249.45 | grade B: UR 09:41-12:00 on a day-LONG name | industry: power: GRID +0.4% >VWAP (daily OUT)
[2026-09-03 10:03] MU     UR    UR reclaim 938.79 > VWAP 936.53 | low 918.88@09:36 (-0.81 ADR, undercut PDL 927.16) | higher low 934.00@10:02 | stop 918.88 (2.2%) | still below 9 EMA 942.78 | +0.1 ADR vs 21 EMA | vol pace 1.1x | RS vs SPY -2.3% | vs memory +1.2% | SPY < VWAP (-0.08%) | day LONG: near the rising 21 EMA (+0.5 ADR), 0.7 ADR to the prior high 989.96 | grade B: UR 09:41-12:00 on a day-LONG name | industry: memory: DRAM -2.2% >VWAP (daily LONG), peers 0/3 green, avg -3.3%
[2026-09-03 10:05] DRAM   UR    UR reclaim 55.05 > VWAP 54.95 | low 54.28@09:36 (-0.84 ADR, undercut PDL 55.12) | higher low 54.90@10:01 | stop 54.28 (1.4%) | still below 9 EMA 56.03 | -0.3 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY -2.5% | vs memory +0.8% | SPY < VWAP (-0.12%) | day LONG: near the rising 21 EMA (+0.2 ADR) | grade B: UR 09:41-12:00 on a day-LONG name | industry: memory: peers 0/4 green, avg -2.8%
[2026-09-03 10:13] TIGO   UR    UR reclaim 95.00 > VWAP 94.82 | low 94.00@09:46 (-0.52 ADR, tagged 9 EMA 93.77) | higher low 94.56@10:11 | stop 94.00 (1.1%) | +0.4 ADR vs 21 EMA | vol pace 0.3x | RS vs SPY -0.7% | SPY < VWAP (-0.11%) | day LONG: near the 21 EMA (+0.4 ADR) | grade B: UR 09:41-12:00 on a day-LONG name
[2026-09-03 10:17] TSM    UR    UR reclaim 410.34 > VWAP 409.88 | low 407.81@09:36 (-0.88 ADR, undercut PDL 411.27) | higher low 409.90@09:53 | stop 407.81 (0.6%) | still below 9 EMA 416.99 | -0.8 ADR vs 21 EMA | vol pace 0.8x | RS vs SPY -1.7% | vs semis +0.7% | SPY < VWAP (-0.07%) | day LONG: pullback into the rising 9/21 EMAs (-0.2 ADR), 1.1 ADR to the prior high 425.40 | grade B: UR 09:41-12:00 on a day-LONG name | industry: semis: SMH -1.0% >VWAP (daily SHORT), peers 2/11 green, avg -1.9%
[2026-09-03 10:29] COIN   ORB9  ORB9 5-min close 190.01 > OR high 188.88 | open 181.44 (+3.7%) held 9 EMA 177.74 | stop 188.58 (0.8%) | +2.0 ADR vs 21 EMA | vol pace 1.5x | 15d high 193.81 | SPY < VWAP (gate off) | SPY < VWAP (-0.04%) | day LONG: near the rising 21 EMA (+0.4 ADR) | grade B: ORB9 09:41-12:00 on a day-LONG name
[2026-09-03 10:30] TXG    UR    UR reclaim 61.31 > VWAP 61.12 | low 60.35@09:41 (-0.46 ADR, tagged 9 EMA 61.79) | higher low 60.94@10:27 | stop 60.35 (1.6%) | still below 9 EMA 61.79 | +0.6 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -1.0% | vs biotech -0.4% | SPY < VWAP (-0.00%) | day LONG: near the rising 21 EMA (+0.7 ADR) | grade B: UR 09:41-12:00 on a day-LONG name | industry: biotech: XBI -1.3% <VWAP (daily OUT), peers 4/7 green, avg -0.2%
[2026-09-03 10:34] MRVL   BIR   (gated) BIR short 206.71 < prior 5m low 206.98 | bounce 201.10->208.36@10:25 (0.62 ADR) into PDH 208.49 [PRICE] | stop 209.58 (1.4%, 0.24 ADR, STOP IN NOISE -- size to it) | -1.2 ADR vs 21 EMA | vol pace 0.6x | RS vs SPY -0.2% | vs semis +2.2% (strongest in group) | SPY < VWAP (-0.14%) | day SHORT: trend-down: under falling 9/21 EMAs (-1.2 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: semis: SMH -1.4% <VWAP (daily SHORT), peers 1/11 green, avg -2.1%
[2026-09-03 10:41] LITE   UR    UR reclaim 836.76 > VWAP 835.81 | low 818.89@10:04 (-0.79 ADR, undercut PDL 848.43) | higher low 828.74@10:32 | stop 818.89 (2.2%) | still below 9 EMA 889.01 | -0.5 ADR vs 21 EMA | vol pace 0.8x | RS vs SPY -4.3% | vs optical -1.5% | SPY < VWAP (-0.06%) | day LONG: pullback into the rising 9/21 EMAs (-0.0 ADR) | grade B: UR 09:41-12:00 on a day-LONG name | industry: optical: peers 0/3 green, avg -2.4%
[2026-09-03 10:47] QCOM   UR    UR reclaim 166.63 > VWAP 166.45 | low 164.88@10:06 (-0.96 ADR, undercut PDL 165.08) | higher low 166.60@10:31 | stop 164.88 (1.1%) | +0.3 ADR vs 21 EMA | vol pace 0.5x | RS vs SPY -2.4% | vs semis -0.6% | SPY < VWAP (-0.05%) | day LONG: near the rising 21 EMA (+1.0 ADR) | grade B: UR 09:41-12:00 on a day-LONG name | industry: semis: SMH -1.2% >VWAP (daily SHORT), peers 3/11 green, avg -1.4%
[2026-09-03 11:04] BE     ORB9  ORB9 5-min close 228.88 > OR high 221.35 | open 219.00 (+0.8%) held 9 EMA 213.46 | stop 222.42 (2.9%) | +0.8 ADR vs 21 EMA | vol pace 1.0x (light vol) | 15d high 253.31 | SPY > VWAP (+0.20%) | day LONG: near the 21 EMA (+0.1 ADR), 2.0 ADR to the prior high 249.45 | grade B: ORB9 09:41-12:00 on a day-LONG name | industry: power: GRID +0.8% >VWAP (daily OUT)
[2026-09-03 11:04] FCX    UR    UR reclaim 73.00 > VWAP 72.90 | low 71.45@10:08 (-1.50 ADR, undercut PDL 72.76) | higher low 72.34@10:26 | stop 71.45 (2.2%) | still below 9 EMA 74.71 | +0.3 ADR vs 21 EMA | vol pace 0.8x | RS vs SPY -1.9% | vs materials -2.5% | SPY > VWAP (+0.20%) | day LONG: near the rising 21 EMA (+0.7 ADR), 2.5 ADR to the prior high 80.24 | grade B: UR 09:41-12:00 on a day-LONG name | industry: materials: XLB -0.2% >VWAP (daily LONG), peers 3/4 green, avg +1.3%
[2026-09-03 11:09] INTC   BIR   (gated) BIR short 89.96 < prior 5m low 90.30 | bounce 87.72->90.84@11:00 (0.79 ADR) into 9 EMA 90.51 [MA] | stop 91.25 (1.4%, 0.32 ADR, STOP IN NOISE -- size to it) | -0.8 ADR vs 21 EMA | vol pace 0.6x | RS vs SPY -0.8% | vs semis +0.3% | SPY > VWAP (+0.22%) | day SHORT: trend-down: under falling 9/21 EMAs (-0.8 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C) | industry: semis: SMH -0.6% >VWAP (daily SHORT), peers 3/11 green, avg -0.4%
[2026-09-03 11:11] HNGE   UR    UR reclaim 90.30 > VWAP 90.17 | low 88.82@10:40 (-0.79 ADR, undercut PDL 89.96) | higher low 89.11@10:56 | stop 88.82 (1.7%) | +0.5 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -2.5% | vs health -2.8% | SPY > VWAP (+0.28%) | day LONG: near the rising 21 EMA (+0.9 ADR) | grade B: UR 09:41-12:00 on a day-LONG name | industry: health: XLV -0.2% >VWAP (daily OUT), peers 2/3 green, avg +1.1%
[2026-09-03 11:12] ABBV   UR    UR reclaim 260.75 > VWAP 260.31 | low 257.14@09:47 (-1.30 ADR, undercut PDL 257.70) | higher low 258.88@10:20 | stop 257.14 (1.4%) | +0.7 ADR vs 21 EMA | vol pace 0.4x | RS vs SPY -1.2% | SPY > VWAP (+0.28%) | day LONG: near the rising 21 EMA (+0.9 ADR) | grade B: UR 09:41-12:00 on a day-LONG name
[2026-09-03 11:39] CAT    BIR   (gated) BIR short 800.39 < prior 5m low 800.77 | bounce 781.49->803.92@11:30 (1.05 ADR) into 9 EMA 805.06 [MA] | stop 806.13 (0.7%, 0.26 ADR, STOP IN NOISE -- size to it) | -1.1 ADR vs 21 EMA | vol pace 0.8x | RS vs SPY +0.1% | SPY > VWAP (+0.36%) | day SHORT: trend-down: under falling 9/21 EMAs (-1.5 ADR) | grade C: day-SHORT name after 10:30 (shorts cap at C)
