etf,label,gap_pct,gap_adr,src,adr,day,ext21,ret1d,ret5d,members,up,down,mem_avg,hot
IBIT,crypto [crypto],-2.76039338399644,-1.057312818734499,pre-mid,2.610763186717403,OUT,1.73,2.216129769248343,-1.0833517576829377,4,0,3,-3.7295128484951783,HOT DOWN (members)
IYT,Transports,-0.9262936741129324,-0.7033019465885217,pre-mid,1.3170639987647803,OUT,-1.75,0.3819868517165981,-2.039011524296064,0,0,0,,
IGV,Software [software],-1.2940735183796015,-0.5827669322748021,pre-mid,2.2205678577681973,OUT,1.41,5.043341213553987,1.9795352395524546,9,0,0,-0.9630399289907339,
JETS,Airlines,1.0113555713271882,0.5750980219313517,pre-mid,1.758579464298543,OUT,-1.78,0.03549875754347287,-2.1527777777777812,0,0,0,,
TAN,Solar,-1.0168758113370813,-0.4609775445914361,pre-mid,2.205911813423227,OUT,-2.24,-1.9724284199363673,-3.788509575353871,0,0,0,,
DRAM,memory [memory],1.4963503649635168,0.43710284330389787,pre-mid,3.4233370656048834,OUT,-1.18,-7.275803722504238,-8.192327022951918,5,0,0,1.0341974137081733,
CIBR,Cybersecurity [cyber],-1.1494252873563093,-0.4310183951878678,pre-mid,2.666766198819217,OUT,1.69,5.985169491525411,5.772280367903582,4,0,0,-1.5577872117325726,
SMH,Semiconductors [semis],0.7913204062788726,0.40072315416431487,pre-mid,1.9747309284613859,OUT,-1.85,-4.754366524193965,-4.49903881765753,12,2,0,1.133229953028192,
OIH,Oil Services,0.9861712182261284,0.3873981520193701,pre-mid,2.54562705858447,OUT,-1.4,-4.423895214776429,-5.957476668303974,0,0,0,,
XLP,Consumer Staples,-0.3435204927742297,-0.3582896470428425,pre-mid,0.958778730028873,OUT,-0.39,1.2473015111537533,-0.18917001655237575,0,0,0,,
GRID,power [power],0.4364414127984162,0.35432954336343303,pre-mid,1.2317387047536188,OUT,-2.98,-4.309104989489986,-3.3521425777976455,1,0,0,0.8636452052129817,
