ticker,verdict,why,spot,short_exp,long_exp,sdte,gap,Kp,Kc,cal_debit,cal_ba_pct,earnings,epos,structure,Kpl,Kcl,net,width,max_risk,worst_leg_ba_pct
TSLA,ENTER,no earnings in window -> DIAGONAL 1% (+10% vs +6.6% calendar),355.82500000000005,2026-10-02,2026-10-09,17,7,345.0,370.0,3.925,14.0,2026-10-21,none,DIAGONAL 1%,340.0,375.0,0.575,5.0,5.575,1.9
NVDA,ENTER,no earnings in window -> DIAGONAL 1% (+10% vs +6.6% calendar),212.38,2026-10-02,2026-10-09,17,7,205.0,220.0,1.975,17.7,2026-11-19,none,DIAGONAL 1%,200.0,225.0,-0.83,5.0,4.17,3.1
NFLX,SKIP,calendar debit $0.79 < $1.50,77.99000000000001,2026-10-02,2026-10-09,17,7,76.0,80.0,0.79,17.7,2026-10-21,none,,,,,,,
MRVL,SKIP,calendar 4-leg bid-ask 28% of debit > 25%,221.39,2026-10-02,2026-10-09,17,7,215.0,235.0,6.05,28.1,2026-12-02,none,,,,,,,
AAPL,SKIP,calendar 4-leg bid-ask 36% of debit > 25%,332.03999999999996,2026-10-02,2026-10-09,17,7,325.0,340.0,2.25,35.6,2026-10-30,none,,,,,,,
META,SKIP,calendar 4-leg bid-ask 39% of debit > 25%,668.43,2026-10-02,2026-10-09,17,7,650.0,695.0,7.2,38.9,2026-10-29,none,,,,,,,
AMD,SKIP,calendar 4-leg bid-ask 43% of debit > 25%,504.05,2026-10-02,2026-10-09,17,7,485.0,530.0,7.0,42.9,2026-11-03,none,,,,,,,
TSM,SKIP,calendar 4-leg bid-ask 56% of debit > 25%,413.99,2026-10-02,2026-10-09,17,7,405.0,425.0,3.75,56.0,2026-10-16,none,,,,,,,
CRM,SKIP,calendar 4-leg bid-ask 86% of debit > 25%,255.85000000000002,2026-10-02,2026-10-09,17,7,250.0,265.0,3.075,86.2,2026-12-02,none,,,,,,,
AVGO,SKIP,calendar 4-leg bid-ask 89% of debit > 25%,339.53499999999997,2026-10-02,2026-10-09,17,7,330.0,350.0,3.325,88.7,2026-12-11,none,,,,,,,
GOOG,SKIP,calendar 4-leg bid-ask 90% of debit > 25%,340.82,2026-10-02,2026-10-09,17,7,335.0,350.0,2.55,90.2,2026-10-29,none,,,,,,,
UNH,SKIP,calendar 4-leg bid-ask 90% of debit > 25%,376.04499999999996,2026-10-02,2026-10-09,17,7,370.0,385.0,4.825,90.2,2026-10-13,none,,,,,,,
CVX,SKIP,calendar 4-leg bid-ask 92% of debit > 25%,217.43,2026-10-02,2026-10-09,17,7,215.0,225.0,1.79,91.6,2026-10-30,none,,,,,,,
MSFT,SKIP,calendar 4-leg bid-ask 93% of debit > 25%,498.525,2026-10-02,2026-10-09,17,7,490.0,510.0,4.025,93.2,2026-10-29,none,,,,,,,
C,SKIP,calendar debit $1.26 < $1.50,136.525,2026-10-02,2026-10-09,17,7,133.0,140.0,1.26,100.0,2026-10-13,none,,,,,,,
GOOGL,SKIP,calendar 4-leg bid-ask 107% of debit > 25%,344.54,2026-10-02,2026-10-09,17,7,340.0,355.0,3.225,107.0,2026-10-28,none,,,,,,,
ADBE,SKIP,calendar 4-leg bid-ask 117% of debit > 25%,258.155,2026-10-02,2026-10-09,17,7,250.0,270.0,3.375,117.0,2026-12-09,none,,,,,,,
COST,SKIP,calendar 4-leg bid-ask 117% of debit > 25%,902.78,2026-10-02,2026-10-09,17,7,885.0,925.0,5.45,117.4,2026-09-24,before short exp,,,,,,,
V,SKIP,calendar 4-leg bid-ask 132% of debit > 25%,375.505,2026-10-02,2026-10-09,17,7,370.0,385.0,2.36,132.2,2026-10-28,none,,,,,,,
QCOM,SKIP,calendar 4-leg bid-ask 165% of debit > 25%,187.8,2026-10-02,2026-10-09,17,7,180.0,200.0,2.275,164.8,2026-10-29,none,,,,,,,
GS,SKIP,calendar 4-leg bid-ask 167% of debit > 25%,976.0799999999999,2026-10-02,2026-10-09,17,7,950.0,1005.0,8.25,167.3,2026-10-13,none,,,,,,,
JPM,SKIP,calendar 4-leg bid-ask 171% of debit > 25%,352.855,2026-10-02,2026-10-09,17,7,345.0,360.0,2.425,171.1,2026-10-13,none,,,,,,,
MU,SKIP,calendar 4-leg bid-ask 182% of debit > 25%,925.675,2026-10-02,2026-10-09,17,7,890.0,990.0,9.375,181.9,2026-09-23,before short exp,,,,,,,
AMAT,SKIP,calendar 4-leg bid-ask 204% of debit > 25%,421.945,2026-10-02,2026-10-09,17,7,405.0,445.0,5.55,203.6,2026-11-12,none,,,,,,,
MA,SKIP,calendar 4-leg bid-ask 213% of debit > 25%,571.995,2026-10-02,2026-10-09,17,7,565.0,585.0,3.1,212.9,2026-10-29,none,,,,,,,
HD,SKIP,calendar 4-leg bid-ask 394% of debit > 25%,305.865,2026-10-02,2026-10-09,17,7,300.0,315.0,2.63,393.9,2026-11-18,none,,,,,,,
