ticker,last_date,n_days,iv_7_14d,pctile,p30_level,passes_gate3,note
AMLP,2026-09-08,64,27.5,86.0,17.1,False,
AMRN,,19,,,,,insufficient history
ANF,2026-09-08,225,59.7,74.0,49.3,False,
AVGO,2026-09-08,252,40.0,17.0,43.3,True,
BBAI,2026-09-04,60,53.0,2.0,84.5,True,
BROS,2026-09-08,225,43.3,22.0,45.1,True,
CAH,2026-09-08,252,27.9,50.0,25.6,False,
CSCO,2026-09-08,252,31.2,60.0,24.3,False,
ELF,2026-09-08,252,51.5,13.0,56.2,True,
FFIV,2026-09-08,63,37.8,71.0,29.5,False,
FLEX,,36,,,,,insufficient history
FLR,2026-09-08,60,46.6,27.0,47.3,True,
FTNT,2026-09-08,225,51.1,76.0,31.8,False,
IBM,2026-09-08,252,33.0,44.0,29.3,False,
KOLD,2026-09-08,252,62.6,7.0,76.9,True,
LB,,18,,,,,insufficient history
LLY,2026-09-08,252,34.4,50.0,31.5,False,
MRK,2026-09-08,252,33.2,78.0,27.1,False,
MSFT,2026-09-08,225,26.9,54.0,21.6,False,
NFLX,2026-09-08,191,34.7,69.0,30.3,False,
NNE,2026-09-08,224,79.5,8.0,95.8,True,
NTNX,,59,,,,,insufficient history
PCG,2026-09-08,252,57.4,89.0,31.0,False,
PLTR,2026-09-08,252,49.2,42.0,47.5,False,
QBTS,2026-09-08,225,75.7,8.0,93.2,True,
ROST,2026-09-08,252,28.4,59.0,23.7,False,
RTX,2026-09-08,252,24.4,38.0,23.3,False,
STEM,,0,,,,,insufficient history
SYM,2026-09-08,252,53.4,8.0,67.9,True,
TAP,,55,,,,,insufficient history
TBT,2026-09-08,64,22.7,45.0,21.9,False,
TEVA,2026-09-08,252,39.0,57.0,35.3,False,
TTWO,2026-09-08,225,39.4,58.0,27.5,False,
ULTA,2026-09-08,252,35.6,59.0,29.7,False,
