tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_pctile,ib_iv30,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
AA,46.605000000000004,0.9589785735697712,0.5145,32.47422680412371,,,,,36.0,False,False,False,,,,,athena,32.47422680412371,False,,True,False
AAL,12.74,0.8014668826276157,0.5134,50.0,,,,,37.0,False,False,False,,,,,athena,50.0,False,,True,False
AAOI,99.22999999999999,1.1472923779721838,0.8437,2.197802197802198,,,,,51.0,False,False,False,,,,,athena,2.197802197802198,True,40.354295019850916,True,False
AAPL,333.47,1.0936925415156393,0.2439,41.99134199134199,,,,,44.0,False,False,False,,,,,athena,41.99134199134199,False,,True,False
ABBV,262.5,1.0366796717214684,0.2761,65.67164179104478,,,,,44.0,False,False,False,,,,,athena,65.67164179104478,False,,True,False
ABR,4.5600000000000005,0.7937805294923803,0.5352,67.6829268292683,,,,,44.0,False,False,False,,,,,athena,67.6829268292683,False,,True,False
ACHR,5.225,1.2227441584654006,0.6345,5.128205128205128,,,,,51.0,False,True,False,,,,,athena,5.128205128205128,True,40.016999099264034,True,False
ADI,365.575,1.0995942380826063,0.3636,59.42028985507246,,,,,70.0,False,False,False,,,,,athena,59.42028985507246,False,,True,False
ADP,270.49,1.1518162480562313,0.2654,75.0,,,,,43.0,False,False,False,,,,,athena,75.0,False,51.5359292999758,True,False
AFL,115.625,1.1163871237815817,0.187,46.24277456647399,9.0,3.35,173.33333333333331,4.0,49.0,False,False,False,,,,,athena,46.24277456647399,False,46.35530364732213,True,False
AG,18.34,1.1490236765291115,0.5962,26.923076923076923,,,,,50.0,False,False,False,,,,,athena,26.923076923076923,True,41.00781889873259,True,False
AGNC,10.004999999999999,1.0198211353356992,0.2153,,,,,,35.0,False,False,False,,,,,none,,False,,True,False
AIG,76.13499999999999,1.4207643817929234,0.202,28.35820895522388,,,,,50.0,False,True,False,,,,,athena,28.35820895522388,True,50.9511517276103,True,False
AMAT,421.33500000000004,1.1110468489233545,0.5008,72.72727272727273,,,,,57.0,False,False,False,,,,,athena,72.72727272727273,False,33.033107767514366,True,False
AMC,2.67,1.155072161323367,0.8257,,,,,,50.0,False,False,False,,,,,none,,False,56.01782164738875,True,False
AMLP,54.68,1.0454283376843967,0.131,,,,,,,False,False,False,,,,,none,,False,,True,False
AMRN,13.555,1.6650595441428768,0.4869,,,,,,43.0,False,True,False,,,,,none,,False,45.63911459724229,True,False
ANET,198.975,1.1331848947228955,0.4674,46.35416666666667,,,,,49.0,False,False,False,,,,,athena,46.35416666666667,False,54.61366514221632,True,False
ANF,142.4,1.2931964973382568,0.4854,24.880382775119617,,,,,70.0,False,True,False,,,,,athena,24.880382775119617,True,57.44844129514739,True,False
ANVS,1.1099999999999999,1.120350871868736,1.6011,,,,,,57.0,False,False,False,,,,,none,,False,19.626166480114406,True,False
APA,44.849999999999994,1.0475605232665766,0.4683,42.53731343283582,,,,,50.0,False,False,False,,,,,athena,42.53731343283582,False,,True,False
APLD,24.865000000000002,0.8802452863310585,0.9332,15.384615384615385,,,,,23.0,False,False,False,,,,,athena,15.384615384615385,True,,True,False
APO,124.08,1.0578380715374323,0.3592,49.01960784313725,,,,,49.0,False,False,False,,,,,athena,49.01960784313725,False,,True,False
AR,35.974999999999994,1.1601124781822363,0.3758,32.467532467532465,,,,,44.0,False,False,False,,,,,athena,32.467532467532465,False,36.5880198182109,True,False
ARM,248.4,1.1025751188657054,0.642,70.995670995671,9.0,20.225,8.153477218225417,89.0,50.0,False,False,True,,,,,athena,70.995670995671,False,45.22977433892329,True,False
ARQQ,18.445,1.199311764611611,1.0372,,,,,,84.0,False,False,False,,,,,none,,False,45.73387170575673,True,False
ASML,1615.5900000000001,0.936580244710999,0.4635,79.22077922077922,,,,,28.0,False,False,False,,,,,athena,79.22077922077922,False,,True,False
