tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_iv30,ib_pctile,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
AA,44.725,0.9062115264824979,0.5307,38.144329896907216,,,,,31.0,False,False,False,,,,,athena,38.144329896907216,False,,True,False
AAL,13.155000000000001,0.8484633620833402,0.5305,55.660377358490564,,,,,32.0,False,False,False,,,,,athena,55.660377358490564,False,,True,False
AAOI,105.9,1.1116599234168114,0.8729,4.395604395604396,,,,,46.0,False,False,False,,,,,athena,4.395604395604396,True,48.03509103641428,True,False
AAPL,336.79499999999996,1.1567952488574058,0.2286,31.601731601731604,,,,,39.0,False,False,False,,,,,athena,31.601731601731604,False,65.00525844264851,True,False
ABBV,264.96500000000003,1.1600375896839437,0.265,59.20398009950249,11.0,10.375,34.97757847533633,32.0,39.0,False,False,False,,,,,athena,59.20398009950249,False,60.251009742481976,True,False
ABR,4.3149999999999995,0.7113715228221186,0.6512,78.65853658536585,,,,,39.0,False,False,False,,,,,athena,78.65853658536585,False,,True,False
ACHR,5.335,1.0934074300963517,0.6968,10.256410256410255,,,,,46.0,False,False,False,,,,,athena,10.256410256410255,True,,True,False
ADI,373.975,1.0913509969382884,0.3726,62.80193236714976,,,,,65.0,False,False,False,,,,,athena,62.80193236714976,False,,True,False
ADP,269.275,1.067812708669455,0.2817,78.77358490566037,,,,,38.0,False,False,False,,,,,athena,78.77358490566037,False,,True,False
AFL,116.38499999999999,1.1613062523797912,0.186,45.664739884393065,,,,,44.0,False,False,False,,,,,athena,45.664739884393065,False,44.9844398933561,True,False
AG,19.405,1.2096270005688703,0.565,25.384615384615383,,,,,45.0,False,True,False,,,,,athena,25.384615384615383,True,48.408065253545715,True,False
AGNC,9.995000000000001,1.0210283210579953,0.2159,,,,,,30.0,False,False,False,,,,,none,,False,,True,False
AIG,75.25999999999999,0.028835172669643323,0.3987,92.03980099502488,,,,,45.0,False,False,False,,,,,athena,92.03980099502488,False,,True,False
AMAT,455.005,1.1283704060926385,0.4937,70.995670995671,,,,,52.0,False,False,False,,,,,athena,70.995670995671,False,47.34877609249869,True,False
AMC,2.755,1.0938569596117738,0.8453,,,,,,45.0,False,False,False,,,,,none,,False,,True,False
AMLP,54.65,1.0414597523465827,0.1347,,,,,,,False,False,False,,,,,none,,False,,True,False
AMRN,13.675,0.2831569094124948,1.2593,,,,,,38.0,False,False,False,,,,,none,,False,,True,False
ANET,201.58999999999997,1.0940371111627105,0.4983,56.770833333333336,,,,,44.0,False,False,False,,,,,athena,56.770833333333336,False,,True,False
ANF,135.725,1.2743971117127932,0.4747,21.5311004784689,,,,,65.0,False,True,False,,,,,athena,21.5311004784689,True,53.57459898202953,True,False
ANVS,1.185,1.898729897367535,0.681,,,,,,52.0,False,True,False,,,,,none,,False,33.9192540130727,True,False
APA,43.925,1.0564640016171214,0.4547,36.56716417910448,,,,,45.0,False,False,False,,,,,athena,36.56716417910448,False,,True,False
APLD,27.91,0.9201417510644332,0.8836,9.89010989010989,,,,,18.0,False,False,False,,,,,athena,9.89010989010989,True,,True,False
APO,126.72,1.0413390419310216,0.3585,47.712418300653596,,,,,44.0,False,False,False,,,,,athena,47.712418300653596,False,,True,False
AR,33.985,0.8961752507811669,0.4107,55.1948051948052,,,,,39.0,False,False,False,,,,,athena,55.1948051948052,False,,True,False
ARM,310.105,1.0268699813506252,0.745,78.78787878787878,,,,,45.0,False,False,False,,,,,athena,78.78787878787878,False,,True,False
ARQQ,21.409999999999997,1.0862350518207036,0.9704,,,,,,79.0,False,False,False,,,,,none,,False,,True,False
ASML,1679.7649999999999,0.9691563990817815,0.4458,76.62337662337663,,,,,23.0,False,False,False,,,,,athena,76.62337662337663,False,,True,False
ASO,48.26,1.2294344765899183,0.327,11.278195488721805,,,,,79.0,False,True,False,,,,,athena,11.278195488721805,True,50.36185293221149,True,False
