ticker,group
AAOI,optical
COHR,optical
LITE,optical
SKHY,memory
MU,memory
SNDK,memory
DRAM,memory
WDC,memory
MRVL,semis
AMD,semis
INTC,semis
NVDA,semis
TSM,semis
ALAB,semis
SMTC,semis
LRCX,semis
ASML,semis
TER,semis
QCOM,semis
AXTI,semis
DELL,hardware
HPE,hardware
ANET,hardware
CBRS,hardware
NBIS,datacenter
IREN,datacenter
BMNR,crypto
IBIT,crypto
HOOD,crypto
CRCL,crypto
CRWD,cyber
PANW,cyber
FTNT,cyber
NET,cyber
OKTA,software
NOW,software
CRM,software
ADBE,software
MSFT,megacap
AAPL,megacap
GOOGL,megacap
AMZN,megacap
NFLX,megacap
TSLA,megacap
ORCL,software
PLTR,software
GH,biotech
ILMN,biotech
NTRA,biotech
HALO,biotech
TGTX,biotech
TXG,biotech
RVMD,biotech
UNH,health
HNGE,health
DINO,energy
CF,materials
DE,industrial
BE,power
GLW,optical
P,software
CRAK,energy
XHB,homebuilders
IWM,index
IONQ,quantum
RGTI,quantum
QBTS,quantum
SPCX,space
