short_delta_target,wing_delta_width,vix_threshold,entry_date,expiry,actual_dte,short_strike,long_strike,spread_width,short_delta,long_delta,short_mid,short_bid,net_credit_mid,net_credit_worst,credit_pct_of_width,max_loss,vix_on_entry,near_iv,far_iv,sigma_fwd,fwd_vol_factor,exit_date,exit_net_value,exit_type,days_held,net_pnl,net_pnl_worst,pnl_pct,roc,annualized_roc,is_win,is_open,split_flag,missing_exit_data
0.15,0.05,,2018-12-28,2019-01-18,21,46.0,44.0,2.0,-0.187,-0.0958,0.625,0.55,0.35,0.15000000000000002,0.175,165.0,28.34,0.4044051041103519,0.492133724720956,0.5488029601693439,1.357062397559625,2019-01-07,0.07499999999999998,early,10,27.500000000000004,7.5000000000000036,0.7857142857142858,0.16666666666666669,6.083333333333334,True,False,False,False
0.15,0.05,,2019-01-25,2019-02-15,21,48.0,47.0,1.0,-0.1249,-0.1043,0.675,0.6,0.125,-0.050000000000000044,0.125,87.5,17.42,0.7978540832276381,0.6024836496069422,0.3972380967180957,0.4978831406252997,2019-02-08,0.04999999999999999,early,14,7.500000000000001,-10.000000000000004,0.6000000000000001,0.08571428571428573,2.234693877551021,True,False,False,False
0.15,0.05,,2019-03-29,2019-04-18,20,49.0,46.0,3.0,-0.22,-0.0913,0.575,0.55,0.35,0.25000000000000006,0.11666666666666665,265.0,13.71,0.18303064098165692,0.6495759232278209,0.8305687874741765,4.537867446781301,2019-04-18,0.0,early,20,35.0,25.000000000000007,1.0,0.1320754716981132,2.410377358490566,True,False,False,False
0.15,0.05,,2020-01-31,2020-02-21,21,55.0,50.0,5.0,-0.1815,-0.0882,1.175,1.05,0.65,0.45000000000000007,0.13,434.99999999999994,18.84,0.704918483776766,0.5785918315365491,0.4616950688320498,0.654962353034652,2020-02-21,0.0,early,21,65.0,45.00000000000001,1.0,0.14942528735632185,2.597153804050356,True,False,False,False
0.15,0.05,,2020-02-28,2020-03-20,21,45.0,40.0,5.0,-0.1361,-0.0689,0.75,0.7,0.3,-0.050000000000000044,0.06,470.0,40.11,0.6975755945319023,0.5993457251043961,0.5134861140154594,0.7361010305413948,2020-03-02,-0.07499999999999996,early,3,37.49999999999999,2.499999999999991,1.2499999999999998,0.07978723404255318,9.707446808510637,True,False,False,False
0.15,0.05,,2020-06-26,2020-07-17,21,55.0,45.0,10.0,-0.2125,-0.04,0.925,0.85,0.7000000000000001,0.44999999999999996,0.07,930.0000000000001,34.73,0.43496678739396094,0.5177656021972686,0.5616157818548428,1.2911693447209627,2020-07-17,0.12500000000000003,early,21,57.50000000000001,32.49999999999999,0.8214285714285715,0.06182795698924731,1.0746287762416795,True,False,False,False
0.15,0.05,,2023-09-29,2023-10-20,21,155.0,150.0,5.0,-0.1782,-0.109,1.4,1.3,0.5999999999999999,0.4,0.11999999999999997,440.00000000000006,17.52,0.40902759759308677,0.5152417856395002,0.5823246424685607,1.423680567998923,2023-10-04,0.24999999999999994,early,5,34.99999999999999,15.000000000000007,0.5833333333333334,0.07954545454545452,5.80681818181818,True,False,False,False
0.15,0.05,,2023-10-27,2023-11-17,21,130.0,125.0,5.0,-0.158,-0.1089,2.125,1.9,0.7749999999999999,0.5,0.15499999999999997,422.49999999999994,21.27,0.7520917442041772,0.559075116003685,0.3503672795230357,0.46585710084316295,2023-11-03,0.22499999999999998,early,7,54.99999999999999,27.500000000000004,0.7096774193548387,0.1301775147928994,6.787827557058327,True,False,False,False
0.15,0.05,,2024-01-26,2024-02-16,21,185.0,175.0,10.0,-0.1769,-0.1033,2.9,2.7,1.325,0.7500000000000002,0.1325,867.5000000000001,13.26,0.6003470406930957,0.476057343732924,0.3553746100411012,0.5919486329620683,2024-01-29,0.5999999999999999,early,3,72.50000000000001,15.000000000000036,0.5471698113207548,0.0835734870317003,10.16810758885687,True,False,False,False
0.15,0.05,,2025-01-31,2025-02-21,21,180.0,170.0,10.0,-0.1548,-0.104,3.85,3.5,1.4,0.5499999999999998,0.13999999999999999,860.0,16.43,0.8647686109025924,0.695142753398313,0.533640769152835,0.6170908176186616,2025-02-05,0.25000000000000006,early,5,114.99999999999999,29.999999999999975,0.8214285714285713,0.13372093023255813,9.761627906976743,True,False,False,False
0.15,0.05,,2025-03-28,2025-04-17,20,170.0,165.0,5.0,-0.1548,-0.1115,2.225,1.95,0.7250000000000001,0.19999999999999996,0.14500000000000002,427.50000000000006,21.65,0.5755843389810245,0.7476818253396859,0.8462173614062737,1.470188300995749,2025-04-01,0.25,early,4,47.50000000000001,-5.000000000000004,0.6551724137931034,0.11111111111111112,10.13888888888889,True,False,False,False
0.15,0.05,,2025-04-25,2025-05-16,21,170.0,155.0,15.0,-0.1725,-0.0942,4.05,3.6,1.9749999999999996,1.25,0.13166666666666665,1302.5,24.84,0.7243062874715793,0.7342058724438868,0.7400820644815176,1.021780533018716,2025-05-02,0.7,early,7,127.49999999999997,55.00000000000001,0.6455696202531646,0.09788867562380037,5.104195228955305,True,False,False,False
0.15,0.05,,2025-08-29,2025-09-19,21,290.0,280.0,10.0,-0.1263,-0.0861,2.575,2.35,0.8750000000000002,0.55,0.08750000000000002,912.5,15.36,0.4496539383792226,0.5618894141254256,0.6331413750189726,1.4080636707000287,2025-09-03,0.32499999999999996,early,5,55.00000000000003,22.500000000000007,0.6285714285714287,0.060273972602739756,4.400000000000002,True,False,False,False
0.15,0.05,,2025-10-31,2025-11-21,21,370.0,340.0,30.0,-0.1665,-0.0978,9.6,8.5,4.3,1.2000000000000002,0.14333333333333334,2570.0,17.44,1.0667990921905948,0.8017690487111453,0.5209736900751787,0.4883522060422801,2025-11-06,0.27500000000000013,early,6,402.49999999999994,92.5,0.9360465116279069,0.15661478599221787,9.527399481193253,True,False,False,False
0.15,0.05,,2025-12-26,2026-01-16,21,430.0,410.0,20.0,-0.1704,-0.1004,5.9,5.4,2.6750000000000003,0.7000000000000002,0.13375,1732.5,13.6,0.4895535433725409,0.7572277037490944,0.8795637949705729,1.7966651592617349,2026-01-06,1.3,early,11,137.50000000000003,-59.999999999999986,0.5140186915887851,0.07936507936507937,2.633477633477634,True,False,False,False
0.15,0.05,,2026-01-30,2026-02-20,21,410.0,380.0,30.0,-0.1646,-0.0949,10.5,9.7,5.1,2.6999999999999993,0.16999999999999998,2490.0,17.44,1.050726215923433,0.8352334974763097,0.6267432138960961,0.5964857489972129,2026-02-06,1.0250000000000001,early,7,407.49999999999994,167.49999999999991,0.7990196078431372,0.16365461847389556,8.533419391853126,True,False,False,False
0.15,0.05,30.0,2018-12-28,2019-01-18,21,46.0,44.0,2.0,-0.187,-0.0958,0.625,0.55,0.35,0.15000000000000002,0.175,165.0,28.34,0.4044051041103519,0.492133724720956,0.5488029601693439,1.357062397559625,2019-01-07,0.07499999999999998,early,10,27.500000000000004,7.5000000000000036,0.7857142857142858,0.16666666666666669,6.083333333333334,True,False,False,False
0.15,0.05,30.0,2019-01-25,2019-02-15,21,48.0,47.0,1.0,-0.1249,-0.1043,0.675,0.6,0.125,-0.050000000000000044,0.125,87.5,17.42,0.7978540832276381,0.6024836496069422,0.3972380967180957,0.4978831406252997,2019-02-08,0.04999999999999999,early,14,7.500000000000001,-10.000000000000004,0.6000000000000001,0.08571428571428573,2.234693877551021,True,False,False,False
0.15,0.05,30.0,2019-03-29,2019-04-18,20,49.0,46.0,3.0,-0.22,-0.0913,0.575,0.55,0.35,0.25000000000000006,0.11666666666666665,265.0,13.71,0.18303064098165692,0.6495759232278209,0.8305687874741765,4.537867446781301,2019-04-18,0.0,early,20,35.0,25.000000000000007,1.0,0.1320754716981132,2.410377358490566,True,False,False,False
0.15,0.05,30.0,2020-01-31,2020-02-21,21,55.0,50.0,5.0,-0.1815,-0.0882,1.175,1.05,0.65,0.45000000000000007,0.13,434.99999999999994,18.84,0.704918483776766,0.5785918315365491,0.4616950688320498,0.654962353034652,2020-02-21,0.0,early,21,65.0,45.00000000000001,1.0,0.14942528735632185,2.597153804050356,True,False,False,False
0.15,0.05,30.0,2023-09-29,2023-10-20,21,155.0,150.0,5.0,-0.1782,-0.109,1.4,1.3,0.5999999999999999,0.4,0.11999999999999997,440.00000000000006,17.52,0.40902759759308677,0.5152417856395002,0.5823246424685607,1.423680567998923,2023-10-04,0.24999999999999994,early,5,34.99999999999999,15.000000000000007,0.5833333333333334,0.07954545454545452,5.80681818181818,True,False,False,False
0.15,0.05,30.0,2023-10-27,2023-11-17,21,130.0,125.0,5.0,-0.158,-0.1089,2.125,1.9,0.7749999999999999,0.5,0.15499999999999997,422.49999999999994,21.27,0.7520917442041772,0.559075116003685,0.3503672795230357,0.46585710084316295,2023-11-03,0.22499999999999998,early,7,54.99999999999999,27.500000000000004,0.7096774193548387,0.1301775147928994,6.787827557058327,True,False,False,False
0.15,0.05,30.0,2024-01-26,2024-02-16,21,185.0,175.0,10.0,-0.1769,-0.1033,2.9,2.7,1.325,0.7500000000000002,0.1325,867.5000000000001,13.26,0.6003470406930957,0.476057343732924,0.3553746100411012,0.5919486329620683,2024-01-29,0.5999999999999999,early,3,72.50000000000001,15.000000000000036,0.5471698113207548,0.0835734870317003,10.16810758885687,True,False,False,False
0.15,0.05,30.0,2025-01-31,2025-02-21,21,180.0,170.0,10.0,-0.1548,-0.104,3.85,3.5,1.4,0.5499999999999998,0.13999999999999999,860.0,16.43,0.8647686109025924,0.695142753398313,0.533640769152835,0.6170908176186616,2025-02-05,0.25000000000000006,early,5,114.99999999999999,29.999999999999975,0.8214285714285713,0.13372093023255813,9.761627906976743,True,False,False,False
0.15,0.05,30.0,2025-03-28,2025-04-17,20,170.0,165.0,5.0,-0.1548,-0.1115,2.225,1.95,0.7250000000000001,0.19999999999999996,0.14500000000000002,427.50000000000006,21.65,0.5755843389810245,0.7476818253396859,0.8462173614062737,1.470188300995749,2025-04-01,0.25,early,4,47.50000000000001,-5.000000000000004,0.6551724137931034,0.11111111111111112,10.13888888888889,True,False,False,False
0.15,0.05,30.0,2025-04-25,2025-05-16,21,170.0,155.0,15.0,-0.1725,-0.0942,4.05,3.6,1.9749999999999996,1.25,0.13166666666666665,1302.5,24.84,0.7243062874715793,0.7342058724438868,0.7400820644815176,1.021780533018716,2025-05-02,0.7,early,7,127.49999999999997,55.00000000000001,0.6455696202531646,0.09788867562380037,5.104195228955305,True,False,False,False
0.15,0.05,30.0,2025-08-29,2025-09-19,21,290.0,280.0,10.0,-0.1263,-0.0861,2.575,2.35,0.8750000000000002,0.55,0.08750000000000002,912.5,15.36,0.4496539383792226,0.5618894141254256,0.6331413750189726,1.4080636707000287,2025-09-03,0.32499999999999996,early,5,55.00000000000003,22.500000000000007,0.6285714285714287,0.060273972602739756,4.400000000000002,True,False,False,False
0.15,0.05,30.0,2025-10-31,2025-11-21,21,370.0,340.0,30.0,-0.1665,-0.0978,9.6,8.5,4.3,1.2000000000000002,0.14333333333333334,2570.0,17.44,1.0667990921905948,0.8017690487111453,0.5209736900751787,0.4883522060422801,2025-11-06,0.27500000000000013,early,6,402.49999999999994,92.5,0.9360465116279069,0.15661478599221787,9.527399481193253,True,False,False,False
0.15,0.05,30.0,2025-12-26,2026-01-16,21,430.0,410.0,20.0,-0.1704,-0.1004,5.9,5.4,2.6750000000000003,0.7000000000000002,0.13375,1732.5,13.6,0.4895535433725409,0.7572277037490944,0.8795637949705729,1.7966651592617349,2026-01-06,1.3,early,11,137.50000000000003,-59.999999999999986,0.5140186915887851,0.07936507936507937,2.633477633477634,True,False,False,False
0.15,0.05,30.0,2026-01-30,2026-02-20,21,410.0,380.0,30.0,-0.1646,-0.0949,10.5,9.7,5.1,2.6999999999999993,0.16999999999999998,2490.0,17.44,1.050726215923433,0.8352334974763097,0.6267432138960961,0.5964857489972129,2026-02-06,1.0250000000000001,early,7,407.49999999999994,167.49999999999991,0.7990196078431372,0.16365461847389556,8.533419391853126,True,False,False,False
0.15,0.05,25.0,2019-01-25,2019-02-15,21,48.0,47.0,1.0,-0.1249,-0.1043,0.675,0.6,0.125,-0.050000000000000044,0.125,87.5,17.42,0.7978540832276381,0.6024836496069422,0.3972380967180957,0.4978831406252997,2019-02-08,0.04999999999999999,early,14,7.500000000000001,-10.000000000000004,0.6000000000000001,0.08571428571428573,2.234693877551021,True,False,False,False
0.15,0.05,25.0,2019-03-29,2019-04-18,20,49.0,46.0,3.0,-0.22,-0.0913,0.575,0.55,0.35,0.25000000000000006,0.11666666666666665,265.0,13.71,0.18303064098165692,0.6495759232278209,0.8305687874741765,4.537867446781301,2019-04-18,0.0,early,20,35.0,25.000000000000007,1.0,0.1320754716981132,2.410377358490566,True,False,False,False
0.15,0.05,25.0,2020-01-31,2020-02-21,21,55.0,50.0,5.0,-0.1815,-0.0882,1.175,1.05,0.65,0.45000000000000007,0.13,434.99999999999994,18.84,0.704918483776766,0.5785918315365491,0.4616950688320498,0.654962353034652,2020-02-21,0.0,early,21,65.0,45.00000000000001,1.0,0.14942528735632185,2.597153804050356,True,False,False,False
0.15,0.05,25.0,2023-09-29,2023-10-20,21,155.0,150.0,5.0,-0.1782,-0.109,1.4,1.3,0.5999999999999999,0.4,0.11999999999999997,440.00000000000006,17.52,0.40902759759308677,0.5152417856395002,0.5823246424685607,1.423680567998923,2023-10-04,0.24999999999999994,early,5,34.99999999999999,15.000000000000007,0.5833333333333334,0.07954545454545452,5.80681818181818,True,False,False,False
0.15,0.05,25.0,2023-10-27,2023-11-17,21,130.0,125.0,5.0,-0.158,-0.1089,2.125,1.9,0.7749999999999999,0.5,0.15499999999999997,422.49999999999994,21.27,0.7520917442041772,0.559075116003685,0.3503672795230357,0.46585710084316295,2023-11-03,0.22499999999999998,early,7,54.99999999999999,27.500000000000004,0.7096774193548387,0.1301775147928994,6.787827557058327,True,False,False,False
0.15,0.05,25.0,2024-01-26,2024-02-16,21,185.0,175.0,10.0,-0.1769,-0.1033,2.9,2.7,1.325,0.7500000000000002,0.1325,867.5000000000001,13.26,0.6003470406930957,0.476057343732924,0.3553746100411012,0.5919486329620683,2024-01-29,0.5999999999999999,early,3,72.50000000000001,15.000000000000036,0.5471698113207548,0.0835734870317003,10.16810758885687,True,False,False,False
0.15,0.05,25.0,2025-01-31,2025-02-21,21,180.0,170.0,10.0,-0.1548,-0.104,3.85,3.5,1.4,0.5499999999999998,0.13999999999999999,860.0,16.43,0.8647686109025924,0.695142753398313,0.533640769152835,0.6170908176186616,2025-02-05,0.25000000000000006,early,5,114.99999999999999,29.999999999999975,0.8214285714285713,0.13372093023255813,9.761627906976743,True,False,False,False
0.15,0.05,25.0,2025-03-28,2025-04-17,20,170.0,165.0,5.0,-0.1548,-0.1115,2.225,1.95,0.7250000000000001,0.19999999999999996,0.14500000000000002,427.50000000000006,21.65,0.5755843389810245,0.7476818253396859,0.8462173614062737,1.470188300995749,2025-04-01,0.25,early,4,47.50000000000001,-5.000000000000004,0.6551724137931034,0.11111111111111112,10.13888888888889,True,False,False,False
0.15,0.05,25.0,2025-04-25,2025-05-16,21,170.0,155.0,15.0,-0.1725,-0.0942,4.05,3.6,1.9749999999999996,1.25,0.13166666666666665,1302.5,24.84,0.7243062874715793,0.7342058724438868,0.7400820644815176,1.021780533018716,2025-05-02,0.7,early,7,127.49999999999997,55.00000000000001,0.6455696202531646,0.09788867562380037,5.104195228955305,True,False,False,False
