short_delta_target,wing_delta_width,vix_threshold,entry_date,expiry,actual_dte,short_strike,long_strike,spread_width,short_delta,long_delta,short_mid,short_bid,net_credit_mid,net_credit_worst,credit_pct_of_width,max_loss,vix_on_entry,near_iv,far_iv,sigma_fwd,fwd_vol_factor,exit_date,exit_net_value,exit_type,days_held,net_pnl,net_pnl_worst,pnl_pct,roc,annualized_roc,is_win,is_open,split_flag,missing_exit_data
0.15,0.05,,2024-04-26,2024-05-17,21,140.0,135.0,5.0,-0.1902,-0.1025,1.475,1.35,0.8,0.6000000000000001,0.16,420.0,15.03,0.35726061930175296,0.46105029921328367,0.513348532076532,1.4369020942746071,2024-04-29,0.275,early,3,52.5,32.50000000000001,0.65625,0.125,15.208333333333334,True,False,False,False
0.15,0.05,,2024-05-31,2024-06-21,21,155.0,150.0,5.0,-0.1327,-0.0834,1.3,1.2,0.55,0.35,0.11000000000000001,445.0,12.92,0.4725206259154294,0.447850271378062,0.42841622088434594,0.9066614183335625,2024-06-12,0.07500000000000001,early,12,47.5,27.499999999999996,0.8636363636363635,0.10674157303370786,3.2467228464419478,True,False,False,False
0.15,0.05,,2024-06-28,2024-07-19,21,155.0,150.0,5.0,-0.1527,-0.0943,1.425,1.3,0.625,0.4,0.125,437.5,12.44,0.5444085924030695,0.5679766311916862,0.5850299198784884,1.0746155149684773,2024-07-05,0.175,early,7,45.0,22.500000000000004,0.72,0.10285714285714286,5.363265306122449,True,False,False,False
0.15,0.05,,2024-07-26,2024-08-16,21,155.0,150.0,5.0,-0.1566,-0.1021,1.625,1.5,0.65,0.44999999999999996,0.13,434.99999999999994,16.39,0.5324248396998553,0.4914899986126923,0.4652033362094869,0.8737446143041273,2024-08-08,0.07500000000000001,early,13,57.49999999999999,37.49999999999999,0.8846153846153845,0.13218390804597702,3.7113174182139703,True,False,False,False
0.15,0.05,,2024-08-30,2024-09-20,21,180.0,175.0,5.0,-0.1386,-0.0896,1.375,1.25,0.55,0.30000000000000004,0.11000000000000001,445.0,15.0,0.38868931858171557,0.40088754595299736,0.40979800279008216,1.0543073431639178,2024-09-09,0.22499999999999998,early,10,32.50000000000001,7.500000000000007,0.5909090909090909,0.07303370786516855,2.665730337078652,True,False,False,False
0.15,0.05,,2024-09-27,2024-10-18,21,230.0,220.0,10.0,-0.1718,-0.0892,2.35,2.25,1.2750000000000001,1.1,0.1275,872.5,16.96,0.37821268631091104,0.5433177578943682,0.6688374511046843,1.7684162253480418,2024-10-04,0.24999999999999997,early,7,102.50000000000001,85.00000000000001,0.803921568627451,0.11747851002865331,6.12566516577978,True,False,False,False
0.15,0.05,,2024-10-04,2024-10-25,21,235.0,225.0,10.0,-0.1548,-0.0931,2.9,2.7,1.325,1.0000000000000002,0.1325,867.5000000000001,19.21,0.5442405887348306,0.5690962667258991,0.5929108728774304,1.089427883825683,2024-10-14,0.5249999999999999,early,10,80.0,47.50000000000003,0.6037735849056604,0.09221902017291066,3.365994236311239,True,False,False,False
0.15,0.05,,2024-10-11,2024-11-01,21,235.0,230.0,5.0,-0.1368,-0.1068,2.4,2.25,0.5999999999999999,0.30000000000000004,0.11999999999999997,440.00000000000006,20.46,0.5334789250497207,0.5167386740049916,0.49943763469793545,0.936189999729394,2024-10-21,0.15000000000000002,early,10,44.999999999999986,15.000000000000002,0.7499999999999999,0.10227272727272722,3.732954545454544,True,False,False,False
0.15,0.05,,2024-10-18,2024-11-08,21,240.0,230.0,10.0,-0.1552,-0.1001,3.15,3.0,1.25,0.9500000000000002,0.125,875.0,18.03,0.5773693789639885,0.5130325212554074,0.4393737998175339,0.7609925566297452,2024-10-23,0.45000000000000007,early,5,80.0,50.000000000000014,0.64,0.09142857142857143,6.674285714285714,True,False,False,False
0.15,0.05,,2024-10-25,2024-11-15,21,262.5,255.0,7.5,-0.1511,-0.1077,2.75,2.6,0.875,0.5,0.11666666666666667,662.5,20.33,0.476784242004809,0.5013142669635023,0.5246987469950801,1.1004951522491546,2024-11-01,0.275,early,7,60.0,22.499999999999996,0.6857142857142857,0.09056603773584905,4.722371967654986,True,False,False,False
