time,open,high,low,close,volume,wap
2026-05-29 09:30:00-04:00,311.78,313.83,311.5,313.77,944997.0,312.266
2026-05-29 09:31:00-04:00,313.78,314.35,313.41,314.27,308327.0,313.921
2026-05-29 09:32:00-04:00,314.24,314.76,314.16,314.72,264103.0,314.444
2026-05-29 09:33:00-04:00,314.68,315.0,313.6,314.05,466852.0,314.65
2026-05-29 09:34:00-04:00,314.09,314.59,313.95,314.35,135028.0,314.269
2026-05-29 09:35:00-04:00,314.4,314.41,313.65,313.91,151229.0,313.969
2026-05-29 09:36:00-04:00,313.94,314.33,313.89,314.13,128576.0,314.124
2026-05-29 09:37:00-04:00,314.13,314.27,313.98,314.24,99037.0,314.168
2026-05-29 09:38:00-04:00,314.24,314.6,314.09,314.54,100727.0,314.405
2026-05-29 09:39:00-04:00,314.54,314.68,314.18,314.19,113146.0,314.513
2026-05-29 09:40:00-04:00,314.19,314.61,314.08,314.59,115987.0,314.407
2026-05-29 09:41:00-04:00,314.6,314.94,314.43,314.89,114981.0,314.673
2026-05-29 09:42:00-04:00,314.89,314.96,314.45,314.51,128008.0,314.746
2026-05-29 09:43:00-04:00,314.51,314.6,314.02,314.06,89189.0,314.389
2026-05-29 09:44:00-04:00,314.08,314.21,313.72,314.02,103269.0,313.931
2026-05-29 09:45:00-04:00,314.02,314.18,313.89,314.14,67323.0,314.056
2026-05-29 09:46:00-04:00,314.14,314.18,313.46,313.58,112259.0,313.752
2026-05-29 09:47:00-04:00,313.56,313.88,313.43,313.5,72680.0,313.621
2026-05-29 09:48:00-04:00,313.51,313.55,313.13,313.15,61589.0,313.387
2026-05-29 09:49:00-04:00,313.15,313.53,312.88,313.39,131194.0,313.223
2026-05-29 09:50:00-04:00,313.36,313.46,313.06,313.17,56401.0,313.24
2026-05-29 09:51:00-04:00,313.17,313.43,313.11,313.43,47557.0,313.297
2026-05-29 09:52:00-04:00,313.42,313.57,313.39,313.47,73880.0,313.471
2026-05-29 09:53:00-04:00,313.51,313.56,313.26,313.33,76113.0,313.385
2026-05-29 09:54:00-04:00,313.35,313.38,313.19,313.36,54129.0,313.305
2026-05-29 09:55:00-04:00,313.36,313.5,313.18,313.2,72362.0,313.331
2026-05-29 09:56:00-04:00,313.21,313.41,313.2,313.35,61380.0,313.323
2026-05-29 09:57:00-04:00,313.36,313.49,313.31,313.46,63531.0,313.407
2026-05-29 09:58:00-04:00,313.46,313.56,313.3,313.33,56952.0,313.432
2026-05-29 09:59:00-04:00,313.34,313.54,313.34,313.49,104206.0,313.442
2026-05-29 10:00:00-04:00,313.49,313.54,313.25,313.41,76716.0,313.413
2026-05-29 10:01:00-04:00,313.39,313.71,313.31,313.59,66744.0,313.57
2026-05-29 10:02:00-04:00,313.6,313.73,313.41,313.43,53319.0,313.615
2026-05-29 10:03:00-04:00,313.42,313.61,313.15,313.58,71304.0,313.388
2026-05-29 10:04:00-04:00,313.57,313.74,313.39,313.48,71617.0,313.587
2026-05-29 10:05:00-04:00,313.48,313.48,312.82,312.92,108673.0,313.088
2026-05-29 10:06:00-04:00,312.92,313.16,312.86,313.14,58901.0,312.978
2026-05-29 10:07:00-04:00,313.15,313.18,313.04,313.06,43874.0,313.11
2026-05-29 10:08:00-04:00,313.05,313.29,313.02,313.1,46728.0,313.151
