time,open,high,low,close,volume,wap
2026-05-04 09:30:00-04:00,402.26,402.26,397.0,397.99,59623.0,398.504
2026-05-04 09:31:00-04:00,397.62,397.62,395.79,396.6,6318.0,396.792
2026-05-04 09:32:00-04:00,397.19,397.36,395.65,395.69,2406.0,396.624
2026-05-04 09:33:00-04:00,395.83,396.64,395.57,395.63,3745.0,396.089
2026-05-04 09:34:00-04:00,395.57,396.54,395.4,396.27,3008.0,396.082
2026-05-04 09:35:00-04:00,396.61,397.15,396.09,396.55,5486.0,396.649
2026-05-04 09:36:00-04:00,396.56,396.9,395.82,396.05,1532.0,396.374
2026-05-04 09:37:00-04:00,396.22,396.48,395.96,396.12,2480.0,396.17
2026-05-04 09:38:00-04:00,396.3,396.35,395.67,395.68,1658.0,396.109
2026-05-04 09:39:00-04:00,395.98,396.05,395.35,396.05,2642.0,395.721
2026-05-04 09:40:00-04:00,395.99,395.99,395.19,395.48,1846.0,395.777
2026-05-04 09:41:00-04:00,395.47,396.38,394.99,396.21,3272.0,395.629
2026-05-04 09:42:00-04:00,396.37,396.37,395.5,395.66,2517.0,395.939
2026-05-04 09:43:00-04:00,395.88,396.22,395.03,395.21,4698.0,395.844
2026-05-04 09:44:00-04:00,395.21,396.1,395.04,395.8,4350.0,395.734
2026-05-04 09:45:00-04:00,395.61,395.8,395.22,395.22,3333.0,395.48
2026-05-04 09:46:00-04:00,395.41,395.79,394.79,395.4,5002.0,395.181
2026-05-04 09:47:00-04:00,395.28,395.3,394.42,394.42,3282.0,395.044
2026-05-04 09:48:00-04:00,394.45,394.99,394.23,394.81,5234.0,394.627
2026-05-04 09:49:00-04:00,394.81,395.55,394.66,395.27,6263.0,395.186
2026-05-04 09:50:00-04:00,395.28,395.28,394.57,394.74,2355.0,394.872
2026-05-04 09:51:00-04:00,395.0,396.01,394.74,395.85,8081.0,395.634
2026-05-04 09:52:00-04:00,395.81,396.57,395.81,396.35,5588.0,396.268
2026-05-04 09:53:00-04:00,396.19,396.5,396.14,396.5,1992.0,396.354
2026-05-04 09:54:00-04:00,396.45,396.64,395.91,396.13,5890.0,396.366
2026-05-04 09:55:00-04:00,396.04,396.47,396.02,396.34,683.0,396.245
2026-05-04 09:56:00-04:00,396.47,396.66,396.47,396.55,2841.0,396.565
2026-05-04 09:57:00-04:00,396.55,396.7,396.2,396.47,1547.0,396.409
2026-05-04 09:58:00-04:00,396.29,396.87,396.19,396.82,5904.0,396.499
2026-05-04 09:59:00-04:00,396.95,397.4,396.81,397.4,1503.0,397.148
2026-05-04 10:00:00-04:00,397.39,397.75,396.99,397.6,6105.0,397.309
2026-05-04 10:01:00-04:00,397.61,398.41,397.61,398.41,2868.0,397.853
2026-05-04 10:02:00-04:00,398.46,398.74,398.37,398.62,4434.0,398.529
2026-05-04 10:03:00-04:00,398.74,398.97,398.55,398.64,2917.0,398.731
2026-05-04 10:04:00-04:00,398.75,399.05,398.64,398.84,1146.0,398.855
2026-05-04 10:05:00-04:00,398.85,399.14,398.62,399.14,1364.0,399.028
2026-05-04 10:06:00-04:00,399.25,399.25,398.64,398.83,1301.0,398.876
2026-05-04 10:07:00-04:00,398.73,399.01,398.58,399.01,2879.0,398.812
2026-05-04 10:08:00-04:00,398.75,398.75,398.44,398.62,1851.0,398.6
2026-05-04 10:09:00-04:00,398.55,398.6,398.31,398.31,677.0,398.543
2026-05-04 10:10:00-04:00,398.61,398.7,398.0,398.39,3088.0,398.345
2026-05-04 10:11:00-04:00,398.43,398.6,398.04,398.44,1929.0,398.426
2026-05-04 10:12:00-04:00,398.66,398.66,398.04,398.52,1670.0,398.308
2026-05-04 10:13:00-04:00,398.44,398.64,398.22,398.25,909.0,398.391
2026-05-04 10:14:00-04:00,398.15,398.25,397.51,397.76,2685.0,397.918
2026-05-04 10:15:00-04:00,397.86,397.92,397.65,397.88,2617.0,397.795
2026-05-04 10:16:00-04:00,397.87,397.87,397.02,397.02,1798.0,397.427
2026-05-04 10:17:00-04:00,397.21,397.38,396.74,396.74,5117.0,397.154
2026-05-04 10:18:00-04:00,396.74,397.28,396.74,397.03,2858.0,397.021
2026-05-04 10:19:00-04:00,397.14,397.71,397.14,397.28,2909.0,397.345
2026-05-04 10:20:00-04:00,397.29,397.95,397.29,397.85,2851.0,397.611
2026-05-04 10:21:00-04:00,397.81,397.81,397.48,397.69,2319.0,397.679
2026-05-04 10:22:00-04:00,397.75,397.83,397.39,397.52,1517.0,397.557
2026-05-04 10:23:00-04:00,397.62,397.64,397.6,397.6,372.0,397.622
2026-05-04 10:24:00-04:00,397.75,397.75,397.34,397.36,1106.0,397.523
2026-05-04 10:25:00-04:00,397.37,397.37,397.12,397.24,2579.0,397.178
2026-05-04 10:26:00-04:00,397.24,397.44,397.0,397.12,1567.0,397.273
2026-05-04 10:27:00-04:00,397.15,397.16,396.63,397.14,1591.0,396.866
2026-05-04 10:28:00-04:00,397.06,398.01,396.84,397.39,1898.0,397.342
2026-05-04 10:29:00-04:00,397.29,397.42,396.94,397.11,454.0,397.204
2026-05-04 10:30:00-04:00,397.1,397.81,397.06,397.8,3853.0,397.45
2026-05-04 10:31:00-04:00,397.61,397.61,397.25,397.37,1510.0,397.4
2026-05-04 10:32:00-04:00,397.37,397.63,397.35,397.45,1014.0,397.45
2026-05-04 10:33:00-04:00,397.29,397.29,396.71,396.76,992.0,396.929
2026-05-04 10:34:00-04:00,396.89,397.34,396.89,397.34,4042.0,397.279
