time,open,high,low,close,volume,wap
2026-05-04 09:30:00-04:00,186.6,187.3,184.31,185.61,152979.0,186.387
2026-05-04 09:31:00-04:00,185.6,185.62,183.99,185.12,25865.0,184.922
2026-05-04 09:32:00-04:00,184.96,185.88,184.81,185.68,8091.0,185.099
2026-05-04 09:33:00-04:00,185.88,187.72,185.81,187.45,16804.0,187.129
2026-05-04 09:34:00-04:00,187.72,187.8,186.17,186.8,19185.0,186.816
2026-05-04 09:35:00-04:00,186.8,188.05,186.7,187.55,31420.0,187.666
2026-05-04 09:36:00-04:00,188.0,188.2,187.31,187.31,17649.0,187.675
2026-05-04 09:37:00-04:00,187.87,187.99,186.76,187.31,24358.0,187.318
2026-05-04 09:38:00-04:00,187.31,187.6,186.5,186.78,25793.0,186.913
2026-05-04 09:39:00-04:00,186.69,187.04,186.0,186.1,19265.0,186.49
2026-05-04 09:40:00-04:00,185.75,186.05,185.32,185.5,9204.0,185.656
2026-05-04 09:41:00-04:00,185.77,186.71,185.49,186.2,6669.0,186.333
2026-05-04 09:42:00-04:00,186.01,186.54,185.39,185.5,7519.0,185.734
2026-05-04 09:43:00-04:00,185.65,185.95,184.51,184.51,27006.0,185.258
2026-05-04 09:44:00-04:00,184.99,185.47,183.65,183.83,9345.0,184.413
2026-05-04 09:45:00-04:00,183.83,184.05,183.01,183.78,14120.0,183.389
2026-05-04 09:46:00-04:00,184.07,185.76,183.52,185.45,8445.0,184.703
2026-05-04 09:47:00-04:00,185.45,185.88,185.25,185.44,6568.0,185.404
2026-05-04 09:48:00-04:00,185.26,185.86,184.3,185.26,11399.0,185.33
2026-05-04 09:49:00-04:00,185.41,186.0,184.8,184.8,7058.0,185.483
2026-05-04 09:50:00-04:00,184.5,185.06,184.0,184.66,4306.0,184.501
2026-05-04 09:51:00-04:00,185.15,185.88,184.93,185.46,4606.0,185.396
2026-05-04 09:52:00-04:00,185.93,186.02,185.04,186.02,4541.0,185.786
2026-05-04 09:53:00-04:00,185.82,185.82,184.74,185.11,10224.0,185.326
2026-05-04 09:54:00-04:00,185.22,185.53,184.57,185.13,3779.0,184.96
2026-05-04 09:55:00-04:00,185.0,185.48,184.49,185.48,4588.0,184.82
2026-05-04 09:56:00-04:00,185.13,185.77,185.13,185.77,3206.0,185.518
2026-05-04 09:57:00-04:00,185.7,185.77,184.71,185.0,4728.0,185.442
2026-05-04 09:58:00-04:00,184.81,184.89,183.56,183.56,9243.0,184.2
2026-05-04 09:59:00-04:00,184.48,184.48,183.55,183.8,14028.0,183.834
2026-05-04 10:00:00-04:00,183.67,184.01,183.5,183.75,7000.0,183.684
2026-05-04 10:01:00-04:00,183.74,183.98,183.11,183.57,9607.0,183.454
2026-05-04 10:02:00-04:00,183.52,184.0,183.43,183.93,3389.0,183.678
2026-05-04 10:03:00-04:00,183.67,183.99,183.47,183.48,4986.0,183.706
2026-05-04 10:04:00-04:00,183.5,184.01,183.45,183.87,7732.0,183.793
2026-05-04 10:05:00-04:00,183.8,184.71,183.46,184.55,7797.0,183.969
2026-05-04 10:06:00-04:00,184.58,184.67,184.03,184.31,9586.0,184.424
2026-05-04 10:07:00-04:00,183.98,184.56,183.98,184.28,1989.0,184.307
2026-05-04 10:08:00-04:00,184.55,184.99,183.71,184.64,10271.0,184.244
2026-05-04 10:09:00-04:00,184.64,184.82,184.48,184.48,3992.0,184.631
