time,open,high,low,close,volume,wap
2026-04-09 09:30:00-04:00,78.76,78.9,78.44,78.82,73947.0,78.752
2026-04-09 09:31:00-04:00,78.82,79.0,78.71,78.97,7152.0,78.894
2026-04-09 09:32:00-04:00,78.97,79.29,78.92,79.15,14399.0,79.066
2026-04-09 09:33:00-04:00,79.24,79.41,79.21,79.3,4077.0,79.312
2026-04-09 09:34:00-04:00,79.39,79.41,79.2,79.35,2177.0,79.358
2026-04-09 09:35:00-04:00,79.36,79.56,79.32,79.56,6563.0,79.44
2026-04-09 09:36:00-04:00,79.54,79.56,79.42,79.44,10423.0,79.477
2026-04-09 09:37:00-04:00,79.39,79.47,79.3,79.34,4565.0,79.354
2026-04-09 09:38:00-04:00,79.29,79.33,79.14,79.22,5063.0,79.2
2026-04-09 09:39:00-04:00,79.24,79.27,79.22,79.25,7961.0,79.238
2026-04-09 09:40:00-04:00,79.25,79.29,79.19,79.25,3506.0,79.248
2026-04-09 09:41:00-04:00,79.32,79.34,79.19,79.19,3003.0,79.296
2026-04-09 09:42:00-04:00,79.25,79.28,79.19,79.21,2366.0,79.235
2026-04-09 09:43:00-04:00,79.19,79.2,79.04,79.16,13729.0,79.162
2026-04-09 09:44:00-04:00,79.15,79.18,79.12,79.12,4213.0,79.15
2026-04-09 09:45:00-04:00,79.1,79.1,78.91,78.91,9496.0,79.054
2026-04-09 09:46:00-04:00,78.86,78.91,78.82,78.89,3996.0,78.863
2026-04-09 09:47:00-04:00,78.89,78.9,78.71,78.74,7576.0,78.779
2026-04-09 09:48:00-04:00,78.71,78.76,78.67,78.72,3815.0,78.718
2026-04-09 09:49:00-04:00,78.72,78.72,78.58,78.58,6661.0,78.656
2026-04-09 09:50:00-04:00,78.56,78.56,78.52,78.55,1480.0,78.549
2026-04-09 09:51:00-04:00,78.55,78.59,78.55,78.56,5196.0,78.558
2026-04-09 09:52:00-04:00,78.6,78.73,78.56,78.63,6271.0,78.606
2026-04-09 09:53:00-04:00,78.68,78.82,78.66,78.79,5018.0,78.769
2026-04-09 09:54:00-04:00,78.78,78.82,78.71,78.71,4314.0,78.764
2026-04-09 09:55:00-04:00,78.73,78.75,78.59,78.63,30896.0,78.687
2026-04-09 09:56:00-04:00,78.66,78.66,78.58,78.61,2833.0,78.615
