time,open,high,low,close,volume,wap
2024-03-26 09:30:00-04:00,70.9,78.8,70.0,76.7,1302720.0,72.602
2024-03-26 09:31:00-04:00,77.02,78.65,68.52,69.37,572816.0,73.38
2024-03-26 09:32:00-04:00,69.38,69.9,65.98,65.98,244960.0,67.556
2024-03-26 09:33:00-04:00,65.98,65.98,65.98,65.98,0.0,65.98
2024-03-26 09:34:00-04:00,65.98,65.98,65.98,65.98,0.0,65.98
2024-03-26 09:35:00-04:00,65.98,65.98,65.98,65.98,0.0,65.98
2024-03-26 09:36:00-04:00,65.98,65.98,65.98,65.98,0.0,65.98
2024-03-26 09:37:00-04:00,68.0,71.5,65.98,70.84,388655.0,68.755
2024-03-26 09:38:00-04:00,70.67,72.69,66.0,67.69,472743.0,70.153
2024-03-26 09:39:00-04:00,67.69,71.0,67.04,70.0,246804.0,69.283
2024-03-26 09:40:00-04:00,70.68,71.0,68.14,70.75,266571.0,70.127
2024-03-26 09:41:00-04:00,70.6,71.22,68.12,69.5,272266.0,69.641
2024-03-26 09:42:00-04:00,69.67,70.42,68.0,68.53,211000.0,69.195
2024-03-26 09:43:00-04:00,68.6,71.0,68.02,69.26,233594.0,69.611
2024-03-26 09:44:00-04:00,69.01,70.36,68.2,68.77,194794.0,69.093
2024-03-26 09:45:00-04:00,69.15,72.0,69.02,69.59,299652.0,70.561
2024-03-26 09:46:00-04:00,69.51,73.0,68.0,71.28,456620.0,70.706
2024-03-26 09:47:00-04:00,71.8,74.0,71.41,73.52,414056.0,72.611
2024-03-26 09:48:00-04:00,73.98,77.9,73.05,75.87,633559.0,75.047
2024-03-26 09:49:00-04:00,75.98,79.38,75.03,77.27,478241.0,77.812
2024-03-26 09:50:00-04:00,77.45,78.06,74.99,75.94,356369.0,76.014
2024-03-26 09:51:00-04:00,75.84,76.44,72.2,72.25,297991.0,74.486
2024-03-26 09:52:00-04:00,72.35,72.54,70.05,70.77,345376.0,71.747
2024-03-26 09:53:00-04:00,70.85,73.99,70.0,73.31,220686.0,71.974
2024-03-26 09:54:00-04:00,73.01,74.97,72.29,72.99,203702.0,73.86
2024-03-26 09:55:00-04:00,72.29,74.0,71.5,73.92,146361.0,72.66
2024-03-26 09:56:00-04:00,73.8,74.39,73.1,73.56,122868.0,73.828
