time,open,high,low,close,volume,wap
2026-05-04 09:30:00-04:00,33.76,33.94,33.63,33.94,72399.0,33.761
2026-05-04 09:31:00-04:00,33.8,33.99,33.8,33.91,2435.0,33.919
2026-05-04 09:32:00-04:00,33.99,34.0,33.77,33.77,2247.0,33.838
2026-05-04 09:33:00-04:00,33.87,34.06,33.82,33.98,11051.0,33.952
2026-05-04 09:34:00-04:00,33.93,33.94,33.7,33.77,5706.0,33.808
2026-05-04 09:35:00-04:00,33.73,33.73,33.36,33.52,23948.0,33.522
2026-05-04 09:36:00-04:00,33.52,33.52,33.25,33.3,7425.0,33.344
2026-05-04 09:37:00-04:00,33.26,33.33,33.18,33.23,22523.0,33.214
2026-05-04 09:38:00-04:00,33.23,33.23,33.11,33.12,7196.0,33.19
2026-05-04 09:39:00-04:00,33.11,33.11,32.96,32.98,21104.0,33.021
2026-05-04 09:40:00-04:00,32.98,33.08,32.93,32.98,40946.0,32.972
2026-05-04 09:41:00-04:00,32.92,32.97,32.8,32.8,45199.0,32.857
2026-05-04 09:42:00-04:00,32.8,32.8,32.59,32.62,55249.0,32.712
2026-05-04 09:43:00-04:00,32.63,32.65,32.53,32.55,16322.0,32.6
2026-05-04 09:44:00-04:00,32.55,32.6,32.53,32.59,14133.0,32.565
2026-05-04 09:45:00-04:00,32.59,32.8,32.58,32.78,16284.0,32.681
2026-05-04 09:46:00-04:00,32.76,32.95,32.76,32.91,11959.0,32.896
2026-05-04 09:47:00-04:00,32.87,32.95,32.84,32.86,40190.0,32.896
2026-05-04 09:48:00-04:00,32.89,32.9,32.7,32.73,9185.0,32.768
2026-05-04 09:49:00-04:00,32.71,32.79,32.7,32.76,11780.0,32.762
2026-05-04 09:50:00-04:00,32.75,32.9,32.74,32.86,19224.0,32.834
2026-05-04 09:51:00-04:00,32.85,32.93,32.78,32.89,33563.0,32.856
2026-05-04 09:52:00-04:00,32.9,32.9,32.81,32.84,6844.0,32.857
2026-05-04 09:53:00-04:00,32.89,32.96,32.72,32.77,37008.0,32.807
2026-05-04 09:54:00-04:00,32.73,32.87,32.72,32.85,11548.0,32.8
