time,open,high,low,close,volume,wap
2026-06-04 09:30:00-04:00,156.08,156.48,153.56,154.57,102519.0,155.524
2026-06-04 09:31:00-04:00,154.31,154.31,152.57,153.07,10175.0,153.478
2026-06-04 09:32:00-04:00,153.07,153.62,152.35,152.72,14767.0,153.032
2026-06-04 09:33:00-04:00,152.98,153.98,152.13,152.14,23515.0,152.981
2026-06-04 09:34:00-04:00,152.96,154.33,152.22,154.06,34969.0,153.178
2026-06-04 09:35:00-04:00,154.05,154.48,154.02,154.48,10095.0,154.366
2026-06-04 09:36:00-04:00,153.74,154.48,153.73,153.86,3460.0,154.356
2026-06-04 09:37:00-04:00,153.82,153.89,152.89,153.7,38528.0,153.458
2026-06-04 09:38:00-04:00,153.62,154.44,152.97,153.26,6198.0,153.371
2026-06-04 09:39:00-04:00,153.15,153.26,152.3,152.96,24489.0,152.905
2026-06-04 09:40:00-04:00,152.96,153.28,152.32,152.96,29204.0,152.947
2026-06-04 09:41:00-04:00,152.97,152.97,152.2,152.2,18326.0,152.582
2026-06-04 09:42:00-04:00,152.44,152.44,151.37,151.39,54017.0,151.752
2026-06-04 09:43:00-04:00,151.79,151.79,151.16,151.16,12739.0,151.439
2026-06-04 09:44:00-04:00,151.38,152.02,151.15,151.87,18558.0,151.478
2026-06-04 09:45:00-04:00,151.78,152.0,151.48,152.0,2642.0,151.715
2026-06-04 09:46:00-04:00,151.55,152.59,151.15,152.56,17653.0,151.751
2026-06-04 09:47:00-04:00,152.56,152.79,152.03,152.58,3972.0,152.506
2026-06-04 09:48:00-04:00,152.5,153.0,152.05,152.59,28355.0,152.556
2026-06-04 09:49:00-04:00,152.64,152.68,152.2,152.68,17773.0,152.407
2026-06-04 09:50:00-04:00,152.44,153.07,152.28,152.76,13102.0,152.667
2026-06-04 09:51:00-04:00,152.94,153.31,152.55,153.26,25417.0,152.986
2026-06-04 09:52:00-04:00,153.26,154.0,153.14,153.14,35365.0,153.559
2026-06-04 09:53:00-04:00,153.24,153.69,152.68,152.68,16287.0,153.186
2026-06-04 09:54:00-04:00,152.71,153.18,152.5,153.18,16017.0,152.776
2026-06-04 09:55:00-04:00,152.97,153.3,152.69,152.88,9005.0,152.925
2026-06-04 09:56:00-04:00,152.9,153.01,152.61,152.61,8745.0,152.788
2026-06-04 09:57:00-04:00,152.5,153.03,152.5,152.96,3043.0,152.735
2026-06-04 09:58:00-04:00,153.14,153.23,152.83,153.1,7400.0,153.058
2026-06-04 09:59:00-04:00,153.05,153.23,152.47,152.55,11252.0,152.895
2026-06-04 10:00:00-04:00,152.53,152.61,151.87,151.87,22104.0,152.284
2026-06-04 10:01:00-04:00,151.83,152.37,151.61,152.04,12805.0,152.006
2026-06-04 10:02:00-04:00,151.8,152.02,151.71,152.01,7263.0,151.825
2026-06-04 10:03:00-04:00,151.89,151.89,151.18,151.19,11464.0,151.496
2026-06-04 10:04:00-04:00,151.21,151.95,151.21,151.69,8163.0,151.654
2026-06-04 10:05:00-04:00,152.0,152.0,151.22,151.4,2452.0,151.434
2026-06-04 10:06:00-04:00,151.41,151.71,151.15,151.27,10600.0,151.392
2026-06-04 10:07:00-04:00,151.37,151.45,150.92,151.0,14072.0,151.105
2026-06-04 10:08:00-04:00,150.86,151.5,150.86,151.5,7432.0,151.217
2026-06-04 10:09:00-04:00,151.5,151.94,151.5,151.78,7307.0,151.767
2026-06-04 10:10:00-04:00,151.9,152.74,151.72,152.71,18039.0,152.207
2026-06-04 10:11:00-04:00,152.71,153.18,152.42,153.08,8300.0,152.842
2026-06-04 10:12:00-04:00,153.11,153.77,152.75,152.95,13557.0,153.246
2026-06-04 10:13:00-04:00,152.65,153.01,152.17,152.84,17627.0,152.639
2026-06-04 10:14:00-04:00,153.0,153.2,152.62,153.15,19526.0,153.034
2026-06-04 10:15:00-04:00,153.03,153.16,152.81,153.02,4822.0,152.972
2026-06-04 10:16:00-04:00,152.95,153.47,152.95,153.28,16450.0,153.367
2026-06-04 10:17:00-04:00,153.3,153.37,152.76,153.03,7391.0,153.074
2026-06-04 10:18:00-04:00,152.9,153.27,152.84,152.91,2948.0,153.027
2026-06-04 10:19:00-04:00,153.06,153.06,152.33,152.69,5354.0,152.648
2026-06-04 10:20:00-04:00,152.46,152.46,152.19,152.34,2399.0,152.312
2026-06-04 10:21:00-04:00,152.25,153.14,152.14,152.94,21069.0,152.848
2026-06-04 10:22:00-04:00,153.0,153.21,152.54,153.2,29913.0,152.865
2026-06-04 10:23:00-04:00,153.04,153.4,152.83,153.12,16701.0,153.104
2026-06-04 10:24:00-04:00,153.17,153.49,153.17,153.28,20752.0,153.345
2026-06-04 10:25:00-04:00,153.38,153.86,153.38,153.75,9784.0,153.621
2026-06-04 10:26:00-04:00,153.86,153.86,153.38,153.38,5927.0,153.638
2026-06-04 10:27:00-04:00,153.63,153.63,153.22,153.42,2805.0,153.442
2026-06-04 10:28:00-04:00,153.48,154.42,153.41,154.0,21471.0,153.851
2026-06-04 10:29:00-04:00,154.19,154.21,153.84,153.95,19396.0,154.014
2026-06-04 10:30:00-04:00,154.12,154.18,153.41,153.67,26710.0,153.595
2026-06-04 10:31:00-04:00,153.77,154.12,153.38,153.94,25175.0,153.848
2026-06-04 10:32:00-04:00,154.01,154.14,153.47,154.06,62813.0,153.738
2026-06-04 10:33:00-04:00,154.06,154.07,153.74,153.99,7509.0,153.855
2026-06-04 10:34:00-04:00,154.0,154.01,153.74,153.76,4441.0,153.839
2026-06-04 10:35:00-04:00,153.87,154.05,153.2,153.35,47161.0,153.65
2026-06-04 10:36:00-04:00,153.4,154.25,153.31,154.09,9719.0,153.631
2026-06-04 10:37:00-04:00,154.15,154.3,153.62,154.11,17278.0,153.886
2026-06-04 10:38:00-04:00,154.11,154.31,153.7,154.1,8418.0,154.06
2026-06-04 10:39:00-04:00,154.31,154.31,153.61,153.77,15978.0,153.872
2026-06-04 10:40:00-04:00,153.85,154.07,153.74,153.86,18509.0,153.954
2026-06-04 10:41:00-04:00,153.86,154.17,153.59,154.11,10496.0,153.887
2026-06-04 10:42:00-04:00,154.09,154.34,153.72,153.81,5673.0,153.941
2026-06-04 10:43:00-04:00,153.81,154.02,153.8,154.0,11489.0,153.975
2026-06-04 10:44:00-04:00,153.98,154.1,153.57,153.9,11782.0,153.861
2026-06-04 10:45:00-04:00,153.75,153.76,153.0,153.33,18452.0,153.264
2026-06-04 10:46:00-04:00,153.21,153.42,152.89,152.93,17859.0,153.176
2026-06-04 10:47:00-04:00,152.93,153.07,152.77,152.82,19489.0,152.89
2026-06-04 10:48:00-04:00,152.79,153.07,152.79,153.04,5416.0,152.917
2026-06-04 10:49:00-04:00,152.97,153.46,152.95,153.27,7072.0,153.243
2026-06-04 10:50:00-04:00,153.39,153.64,153.27,153.63,18423.0,153.444
2026-06-04 10:51:00-04:00,153.63,154.22,153.48,154.22,20672.0,153.831
2026-06-04 10:52:00-04:00,154.09,154.31,153.98,154.14,7304.0,154.088
2026-06-04 10:53:00-04:00,154.31,155.04,154.1,154.78,9557.0,154.671
2026-06-04 10:54:00-04:00,154.84,155.45,154.83,155.25,18122.0,155.054
2026-06-04 10:55:00-04:00,155.4,155.84,155.4,155.81,2195.0,155.675
2026-06-04 10:56:00-04:00,155.81,156.06,155.54,156.05,1261.0,155.788
2026-06-04 10:57:00-04:00,156.02,156.38,155.82,156.28,3605.0,156.103
2026-06-04 10:58:00-04:00,156.43,156.94,156.33,156.94,9057.0,156.636
2026-06-04 10:59:00-04:00,157.26,157.72,157.17,157.47,5474.0,157.355
2026-06-04 11:00:00-04:00,157.42,157.77,157.42,157.51,12681.0,157.631
2026-06-04 11:01:00-04:00,157.48,157.76,157.34,157.69,7139.0,157.473
2026-06-04 11:02:00-04:00,157.75,157.76,157.29,157.49,9734.0,157.552
2026-06-04 11:03:00-04:00,157.49,157.77,157.47,157.62,12896.0,157.667
2026-06-04 11:04:00-04:00,157.62,157.87,157.46,157.85,12208.0,157.747
2026-06-04 11:05:00-04:00,158.0,158.41,157.69,157.77,8590.0,158.083
2026-06-04 11:06:00-04:00,157.92,157.93,157.74,157.89,2642.0,157.882
2026-06-04 11:07:00-04:00,157.91,157.98,157.83,157.95,5931.0,157.923
2026-06-04 11:08:00-04:00,157.93,158.25,157.84,158.08,12467.0,158.048
