time,open,high,low,close,volume,wap
2026-05-29 09:30:00-04:00,22.15,22.17,21.97,21.97,126453.0,22.13
2026-05-29 09:31:00-04:00,21.96,21.99,21.91,21.98,6055.0,21.953
2026-05-29 09:32:00-04:00,22.01,22.04,21.95,21.98,5870.0,22.004
2026-05-29 09:33:00-04:00,21.97,21.97,21.9,21.94,9750.0,21.928
2026-05-29 09:34:00-04:00,21.95,22.02,21.94,22.0,14036.0,21.975
2026-05-29 09:35:00-04:00,22.01,22.06,21.98,22.03,23482.0,22.018
2026-05-29 09:36:00-04:00,22.01,22.08,22.0,22.02,26229.0,22.051
2026-05-29 09:37:00-04:00,22.04,22.06,22.0,22.01,21664.0,22.014
2026-05-29 09:38:00-04:00,22.01,22.12,21.99,22.1,23560.0,22.054
2026-05-29 09:39:00-04:00,22.09,22.17,22.09,22.15,17697.0,22.144
2026-05-29 09:40:00-04:00,22.15,22.21,22.13,22.19,8390.0,22.167
2026-05-29 09:41:00-04:00,22.2,22.23,22.18,22.19,20167.0,22.21
2026-05-29 09:42:00-04:00,22.2,22.22,22.16,22.19,8193.0,22.199
2026-05-29 09:43:00-04:00,22.19,22.19,22.09,22.09,42318.0,22.151
2026-05-29 09:44:00-04:00,22.09,22.18,22.09,22.09,15731.0,22.119
2026-05-29 09:45:00-04:00,22.11,22.14,22.07,22.12,11539.0,22.123
2026-05-29 09:46:00-04:00,22.11,22.18,22.07,22.11,13266.0,22.133
2026-05-29 09:47:00-04:00,22.11,22.15,22.09,22.1,25164.0,22.127
2026-05-29 09:48:00-04:00,22.09,22.13,22.09,22.12,7774.0,22.112
2026-05-29 09:49:00-04:00,22.12,22.17,22.12,22.14,6879.0,22.141
2026-05-29 09:50:00-04:00,22.13,22.13,22.05,22.05,9792.0,22.092
2026-05-29 09:51:00-04:00,22.05,22.12,22.05,22.11,10887.0,22.084
2026-05-29 09:52:00-04:00,22.11,22.14,22.11,22.14,3925.0,22.123
2026-05-29 09:53:00-04:00,22.17,22.18,22.11,22.11,12656.0,22.151
2026-05-29 09:54:00-04:00,22.11,22.16,22.1,22.11,8347.0,22.122
2026-05-29 09:55:00-04:00,22.12,22.13,22.1,22.1,4452.0,22.116
2026-05-29 09:56:00-04:00,22.1,22.1,22.08,22.1,5349.0,22.084
2026-05-29 09:57:00-04:00,22.11,22.12,22.09,22.11,3953.0,22.109
2026-05-29 09:58:00-04:00,22.09,22.1,22.08,22.08,2150.0,22.087
2026-05-29 09:59:00-04:00,22.11,22.12,22.1,22.11,1520.0,22.108
2026-05-29 10:00:00-04:00,22.12,22.12,22.06,22.06,6162.0,22.097
2026-05-29 10:01:00-04:00,22.06,22.09,22.06,22.07,3891.0,22.069
2026-05-29 10:02:00-04:00,22.07,22.16,22.07,22.14,28210.0,22.113
2026-05-29 10:03:00-04:00,22.15,22.15,22.08,22.1,25663.0,22.134
2026-05-29 10:04:00-04:00,22.09,22.14,22.09,22.13,5009.0,22.12
2026-05-29 10:05:00-04:00,22.13,22.13,22.04,22.06,13421.0,22.079
2026-05-29 10:06:00-04:00,22.06,22.06,22.02,22.06,11676.0,22.046
2026-05-29 10:07:00-04:00,22.07,22.13,22.07,22.1,7356.0,22.1
2026-05-29 10:08:00-04:00,22.09,22.1,22.07,22.1,1742.0,22.092
2026-05-29 10:09:00-04:00,22.09,22.11,22.06,22.08,7519.0,22.084
2026-05-29 10:10:00-04:00,22.07,22.12,22.06,22.12,2843.0,22.099
2026-05-29 10:11:00-04:00,22.13,22.16,22.12,22.13,3100.0,22.141
2026-05-29 10:12:00-04:00,22.12,22.13,22.11,22.13,2398.0,22.121
2026-05-29 10:13:00-04:00,22.12,22.13,22.11,22.11,6734.0,22.123
2026-05-29 10:14:00-04:00,22.12,22.12,22.08,22.09,3326.0,22.09
2026-05-29 10:15:00-04:00,22.08,22.09,22.06,22.07,3934.0,22.076
2026-05-29 10:16:00-04:00,22.07,22.07,22.02,22.03,3205.0,22.055
2026-05-29 10:17:00-04:00,22.03,22.03,22.01,22.02,4450.0,22.024
2026-05-29 10:18:00-04:00,22.02,22.03,22.01,22.02,7764.0,22.021
2026-05-29 10:19:00-04:00,22.01,22.04,22.0,22.04,8429.0,22.013
2026-05-29 10:20:00-04:00,22.05,22.08,22.05,22.06,5950.0,22.068
2026-05-29 10:21:00-04:00,22.06,22.09,22.06,22.08,4300.0,22.073
2026-05-29 10:22:00-04:00,22.08,22.1,22.05,22.05,2344.0,22.08
2026-05-29 10:23:00-04:00,22.04,22.07,22.04,22.06,6700.0,22.051
2026-05-29 10:24:00-04:00,22.06,22.09,22.06,22.08,3150.0,22.074
2026-05-29 10:25:00-04:00,22.08,22.1,22.08,22.09,3544.0,22.091
2026-05-29 10:26:00-04:00,22.09,22.12,22.09,22.09,2931.0,22.103
2026-05-29 10:27:00-04:00,22.08,22.14,22.08,22.14,5878.0,22.12
2026-05-29 10:28:00-04:00,22.13,22.17,22.13,22.17,7795.0,22.147
2026-05-29 10:29:00-04:00,22.16,22.17,22.15,22.15,3662.0,22.161
2026-05-29 10:30:00-04:00,22.15,22.15,22.13,22.13,1200.0,22.142
2026-05-29 10:31:00-04:00,22.13,22.13,22.09,22.09,9953.0,22.117
2026-05-29 10:32:00-04:00,22.09,22.11,22.08,22.1,12250.0,22.097
2026-05-29 10:33:00-04:00,22.09,22.09,22.06,22.08,3000.0,22.078
2026-05-29 10:34:00-04:00,22.08,22.1,22.08,22.08,1200.0,22.09
2026-05-29 10:35:00-04:00,22.08,22.09,22.05,22.06,5684.0,22.077
2026-05-29 10:36:00-04:00,22.07,22.09,22.05,22.05,7325.0,22.067
2026-05-29 10:37:00-04:00,22.05,22.07,22.04,22.06,2650.0,22.055
2026-05-29 10:38:00-04:00,22.06,22.08,22.05,22.07,8184.0,22.062
2026-05-29 10:39:00-04:00,22.06,22.09,22.06,22.09,6884.0,22.086
2026-05-29 10:40:00-04:00,22.09,22.1,22.08,22.09,1825.0,22.091
2026-05-29 10:41:00-04:00,22.09,22.11,22.09,22.09,2400.0,22.098
2026-05-29 10:42:00-04:00,22.09,22.15,22.09,22.13,26212.0,22.13
2026-05-29 10:43:00-04:00,22.12,22.13,22.09,22.1,8380.0,22.112
2026-05-29 10:44:00-04:00,22.1,22.15,22.1,22.12,39233.0,22.114
2026-05-29 10:45:00-04:00,22.11,22.12,22.06,22.06,24636.0,22.088
2026-05-29 10:46:00-04:00,22.07,22.08,22.06,22.08,3552.0,22.072
