time,open,high,low,close,volume,wap
2024-03-08 09:30:00-05:00,95.07,95.38,94.67,94.82,9658630.0,95.0026
2024-03-08 09:31:00-05:00,94.84,95.45,94.62,95.13,3794650.0,95.0362
2024-03-08 09:32:00-05:00,95.15,95.6,94.9,95.47,4318220.0,95.2514
2024-03-08 09:33:00-05:00,95.45,95.5,95.16,95.31,2263950.0,95.3255
2024-03-08 09:34:00-05:00,95.31,95.88,95.2,95.81,4506520.0,95.6553
2024-03-08 09:35:00-05:00,95.8,95.89,95.5,95.64,3549000.0,95.6988
2024-03-08 09:36:00-05:00,95.64,95.68,95.33,95.51,3037430.0,95.511
2024-03-08 09:37:00-05:00,95.49,95.68,95.27,95.31,2288030.0,95.4585
2024-03-08 09:38:00-05:00,95.31,95.62,95.28,95.48,1717440.0,95.4626
2024-03-08 09:39:00-05:00,95.46,95.63,95.4,95.49,1547830.0,95.5347
2024-03-08 09:40:00-05:00,95.51,95.88,95.5,95.77,3023520.0,95.7154
2024-03-08 09:41:00-05:00,95.76,95.8,95.5,95.63,1646760.0,95.6656
2024-03-08 09:42:00-05:00,95.62,95.84,95.43,95.59,2181790.0,95.624
2024-03-08 09:43:00-05:00,95.64,95.73,95.44,95.45,1739330.0,95.5829
2024-03-08 09:44:00-05:00,95.44,95.5,95.04,95.09,3011080.0,95.2953
2024-03-08 09:45:00-05:00,95.11,95.5,94.9,95.36,3219330.0,95.1844
2024-03-08 09:46:00-05:00,95.36,95.45,95.13,95.26,1610420.0,95.2873
2024-03-08 09:47:00-05:00,95.29,95.44,95.15,95.41,1495370.0,95.2874
2024-03-08 09:48:00-05:00,95.41,95.76,95.41,95.57,2781430.0,95.6113
2024-03-08 09:49:00-05:00,95.59,95.74,95.54,95.65,1374310.0,95.6435
2024-03-08 09:50:00-05:00,95.69,95.75,95.45,95.48,1733140.0,95.5564
2024-03-08 09:51:00-05:00,95.48,95.6,95.35,95.51,1339200.0,95.4928
2024-03-08 09:52:00-05:00,95.51,95.6,95.42,95.56,1014470.0,95.5198
2024-03-08 09:53:00-05:00,95.56,95.61,95.33,95.5,1408580.0,95.4631
