time,open,high,low,close,volume,wap
2024-12-09 09:30:00-05:00,80.58,80.58,79.44,80.15,3685027.0,80.042
2024-12-09 09:31:00-05:00,80.14,80.91,79.63,79.83,1520731.0,80.255
2024-12-09 09:32:00-05:00,79.82,79.88,78.83,79.04,1543018.0,79.231
2024-12-09 09:33:00-05:00,79.06,79.7,78.73,79.45,1227141.0,79.215
2024-12-09 09:34:00-05:00,79.42,79.49,79.03,79.42,862302.0,79.194
2024-12-09 09:35:00-05:00,79.46,79.53,79.02,79.32,783985.0,79.272
2024-12-09 09:36:00-05:00,79.3,79.66,79.18,79.26,585619.0,79.35
2024-12-09 09:37:00-05:00,79.28,79.59,79.02,79.2,1033556.0,79.24
2024-12-09 09:38:00-05:00,79.21,79.65,78.81,79.37,1065693.0,79.181
2024-12-09 09:39:00-05:00,79.35,79.91,79.17,79.79,829144.0,79.633
2024-12-09 09:40:00-05:00,79.82,80.22,79.73,80.12,946937.0,79.996
2024-12-09 09:41:00-05:00,80.11,80.5,79.9,80.05,1028013.0,80.184
2024-12-09 09:42:00-05:00,80.0,80.05,79.31,79.37,759130.0,79.557
2024-12-09 09:43:00-05:00,79.34,79.5,78.28,78.38,1473657.0,78.864
2024-12-09 09:44:00-05:00,78.36,78.71,78.05,78.08,842769.0,78.381
2024-12-09 09:45:00-05:00,78.11,78.46,77.92,78.11,1110327.0,78.151
2024-12-09 09:46:00-05:00,78.11,78.33,77.55,77.63,895889.0,77.844
2024-12-09 09:47:00-05:00,77.63,78.08,77.45,77.97,913227.0,77.676
2024-12-09 09:48:00-05:00,77.98,78.67,77.97,78.56,738589.0,78.37
2024-12-09 09:49:00-05:00,78.58,78.87,78.44,78.46,627068.0,78.667
2024-12-09 09:50:00-05:00,78.44,78.7,78.29,78.35,441775.0,78.449
2024-12-09 09:51:00-05:00,78.35,78.59,78.26,78.45,349361.0,78.386
2024-12-09 09:52:00-05:00,78.45,79.06,78.41,78.9,690315.0,78.78
2024-12-09 09:53:00-05:00,78.9,79.27,78.69,79.16,557394.0,78.965
2024-12-09 09:54:00-05:00,79.17,79.19,78.89,79.05,452817.0,79.057
2024-12-09 09:55:00-05:00,79.05,79.09,78.64,78.64,342155.0,78.887
2024-12-09 09:56:00-05:00,78.62,79.15,78.61,78.89,408638.0,78.902
2024-12-09 09:57:00-05:00,78.91,79.08,78.83,79.01,345560.0,78.957
2024-12-09 09:58:00-05:00,79.0,79.18,78.73,78.86,392756.0,78.94
2024-12-09 09:59:00-05:00,78.87,79.14,78.85,79.14,405746.0,78.993
2024-12-09 10:00:00-05:00,79.14,79.14,78.7,78.86,351680.0,78.854
2024-12-09 10:01:00-05:00,78.84,79.11,78.69,79.01,354709.0,78.947
2024-12-09 10:02:00-05:00,79.01,79.17,78.9,78.93,305982.0,79.041
2024-12-09 10:03:00-05:00,78.91,79.0,78.38,78.48,696424.0,78.587
2024-12-09 10:04:00-05:00,78.48,78.71,78.31,78.54,331222.0,78.495
2024-12-09 10:05:00-05:00,78.55,78.6,78.3,78.36,371784.0,78.423
2024-12-09 10:06:00-05:00,78.37,78.38,77.95,78.05,664770.0,78.102
2024-12-09 10:07:00-05:00,78.05,78.16,77.88,78.03,494287.0,78.019
2024-12-09 10:08:00-05:00,78.02,78.35,77.98,78.19,280727.0,78.191
2024-12-09 10:09:00-05:00,78.18,78.28,78.04,78.17,204503.0,78.126
2024-12-09 10:10:00-05:00,78.16,78.3,78.07,78.17,290512.0,78.196
2024-12-09 10:11:00-05:00,78.17,78.18,77.95,78.0,368982.0,78.016
2024-12-09 10:12:00-05:00,77.99,78.39,77.93,78.38,285079.0,78.19
2024-12-09 10:13:00-05:00,78.39,78.56,78.25,78.25,398743.0,78.42
2024-12-09 10:14:00-05:00,78.25,78.54,78.24,78.41,179740.0,78.402
2024-12-09 10:15:00-05:00,78.39,78.39,77.95,78.11,323857.0,78.112
2024-12-09 10:16:00-05:00,78.09,78.1,77.41,77.43,782946.0,77.687
2024-12-09 10:17:00-05:00,77.42,77.49,77.2,77.23,850524.0,77.326
2024-12-09 10:18:00-05:00,77.23,77.39,77.01,77.37,882392.0,77.156
2024-12-09 10:19:00-05:00,77.38,77.43,76.95,77.1,614609.0,77.119
2024-12-09 10:20:00-05:00,77.11,77.24,76.78,77.01,734496.0,76.993
2024-12-09 10:21:00-05:00,77.02,77.11,76.73,76.75,580470.0,76.89
2024-12-09 10:22:00-05:00,76.75,77.2,76.74,77.07,577292.0,77.009
2024-12-09 10:23:00-05:00,77.07,77.09,76.63,76.78,515536.0,76.783
2024-12-09 10:24:00-05:00,76.79,76.84,76.56,76.59,376293.0,76.691
2024-12-09 10:25:00-05:00,76.58,76.63,76.39,76.45,704414.0,76.471
2024-12-09 10:26:00-05:00,76.45,76.66,75.93,76.03,1245179.0,76.205
2024-12-09 10:27:00-05:00,76.04,76.3,75.91,76.03,865528.0,76.093
2024-12-09 10:28:00-05:00,76.03,76.03,75.7,75.85,644548.0,75.837
2024-12-09 10:29:00-05:00,75.83,76.06,75.75,75.92,679899.0,75.913
2024-12-09 10:30:00-05:00,75.92,76.67,75.89,76.49,870324.0,76.347
2024-12-09 10:31:00-05:00,76.48,76.53,75.8,75.81,725453.0,76.081
2024-12-09 10:32:00-05:00,75.8,75.81,75.12,75.13,1123765.0,75.42
2024-12-09 10:33:00-05:00,75.14,75.28,74.87,74.94,1295553.0,75.092
2024-12-09 10:34:00-05:00,74.93,75.24,74.71,74.72,1191182.0,75.026
2024-12-09 10:35:00-05:00,74.72,74.95,74.41,74.56,1115059.0,74.604
2024-12-09 10:36:00-05:00,74.52,74.84,74.31,74.68,1448549.0,74.621
2024-12-09 10:37:00-05:00,74.68,75.15,74.21,74.25,924152.0,74.66
2024-12-09 10:38:00-05:00,74.25,74.49,74.11,74.34,804848.0,74.307
2024-12-09 10:39:00-05:00,74.33,74.66,74.11,74.58,579847.0,74.407
2024-12-09 10:40:00-05:00,74.57,74.8,73.92,74.0,1374882.0,74.205
2024-12-09 10:41:00-05:00,74.01,75.02,73.94,74.92,904756.0,74.506
2024-12-09 10:42:00-05:00,74.93,75.0,74.58,74.67,574455.0,74.768
2024-12-09 10:43:00-05:00,74.68,74.77,74.26,74.74,411665.0,74.515
2024-12-09 10:44:00-05:00,74.71,74.74,73.88,73.89,672801.0,74.157
2024-12-09 10:45:00-05:00,73.88,74.63,73.8,74.48,635497.0,74.204
2024-12-09 10:46:00-05:00,74.47,74.59,74.24,74.39,320598.0,74.421
2024-12-09 10:47:00-05:00,74.37,74.41,74.1,74.36,354259.0,74.239
2024-12-09 10:48:00-05:00,74.38,74.45,74.16,74.37,334518.0,74.305
2024-12-09 10:49:00-05:00,74.36,74.67,74.28,74.47,411368.0,74.52
2024-12-09 10:50:00-05:00,74.47,74.55,73.94,74.04,544859.0,74.175
2024-12-09 10:51:00-05:00,74.05,74.09,73.9,73.95,311880.0,74.011
2024-12-09 10:52:00-05:00,73.97,74.1,73.74,73.88,572265.0,73.919
2024-12-09 10:53:00-05:00,73.87,73.92,73.66,73.67,443406.0,73.778
2024-12-09 10:54:00-05:00,73.67,73.85,73.45,73.48,791342.0,73.652
2024-12-09 10:55:00-05:00,73.48,73.63,73.25,73.5,954696.0,73.435
2024-12-09 10:56:00-05:00,73.52,73.52,73.23,73.34,429923.0,73.333
2024-12-09 10:57:00-05:00,73.34,73.57,73.1,73.13,655226.0,73.302
2024-12-09 10:58:00-05:00,73.14,73.32,73.09,73.26,506044.0,73.168
2024-12-09 10:59:00-05:00,73.26,73.31,73.1,73.1,449303.0,73.213
2024-12-09 11:00:00-05:00,73.11,73.41,72.93,73.31,1023172.0,73.132
2024-12-09 11:01:00-05:00,73.31,73.59,73.1,73.15,579397.0,73.399
2024-12-09 11:02:00-05:00,73.16,73.17,72.64,72.64,853580.0,72.887
2024-12-09 11:03:00-05:00,72.65,72.68,72.31,72.32,1042787.0,72.524
2024-12-09 11:04:00-05:00,72.33,72.61,72.29,72.34,838692.0,72.435
2024-12-09 11:05:00-05:00,72.33,72.44,72.08,72.2,912689.0,72.246
2024-12-09 11:06:00-05:00,72.21,72.29,71.89,72.1,882727.0,72.085
2024-12-09 11:07:00-05:00,72.1,72.38,72.0,72.14,458431.0,72.175
2024-12-09 11:08:00-05:00,72.16,72.38,71.6,71.72,1182089.0,71.914
2024-12-09 11:09:00-05:00,71.74,71.8,71.46,71.49,1042696.0,71.62
2024-12-09 11:10:00-05:00,71.49,71.92,71.29,71.91,1259335.0,71.532
2024-12-09 11:11:00-05:00,71.92,72.3,71.69,72.25,1104375.0,72.035
2024-12-09 11:12:00-05:00,72.25,72.49,72.1,72.46,704584.0,72.313
2024-12-09 11:13:00-05:00,72.46,72.65,72.32,72.65,689313.0,72.478
2024-12-09 11:14:00-05:00,72.65,72.68,72.46,72.57,532551.0,72.582
2024-12-09 11:15:00-05:00,72.6,72.66,72.38,72.5,447045.0,72.519
2024-12-09 11:16:00-05:00,72.53,72.72,72.14,72.25,694527.0,72.428
2024-12-09 11:17:00-05:00,72.25,72.88,72.2,72.81,518280.0,72.636
2024-12-09 11:18:00-05:00,72.82,72.96,72.75,72.79,625244.0,72.866
2024-12-09 11:19:00-05:00,72.78,72.95,72.72,72.9,354689.0,72.848
2024-12-09 11:20:00-05:00,72.91,72.98,72.62,72.74,528687.0,72.809
2024-12-09 11:21:00-05:00,72.74,72.8,72.42,72.55,357751.0,72.603
2024-12-09 11:22:00-05:00,72.54,72.75,72.22,72.39,427848.0,72.466
2024-12-09 11:23:00-05:00,72.4,72.53,72.18,72.44,303385.0,72.343
2024-12-09 11:24:00-05:00,72.44,72.53,72.17,72.29,228720.0,72.331
2024-12-09 11:25:00-05:00,72.3,72.51,72.25,72.47,225208.0,72.368
2024-12-09 11:26:00-05:00,72.47,72.7,72.3,72.62,317608.0,72.534
2024-12-09 11:27:00-05:00,72.65,72.76,72.5,72.74,499715.0,72.611
2024-12-09 11:28:00-05:00,72.74,72.91,72.66,72.68,495371.0,72.8
2024-12-09 11:29:00-05:00,72.69,72.75,72.6,72.66,180903.0,72.667
2024-12-09 11:30:00-05:00,72.64,72.67,72.38,72.49,459492.0,72.531
2024-12-09 11:31:00-05:00,72.5,72.74,72.49,72.63,194656.0,72.635
2024-12-09 11:32:00-05:00,72.64,72.67,72.49,72.5,238169.0,72.576
2024-12-09 11:33:00-05:00,72.46,72.69,72.46,72.58,182268.0,72.603
2024-12-09 11:34:00-05:00,72.58,72.59,72.34,72.36,339419.0,72.484
2024-12-09 11:35:00-05:00,72.37,72.39,72.17,72.18,327544.0,72.272
2024-12-09 11:36:00-05:00,72.19,72.26,72.11,72.17,399588.0,72.181
2024-12-09 11:37:00-05:00,72.18,72.22,72.01,72.01,390170.0,72.11
2024-12-09 11:38:00-05:00,72.02,72.11,71.93,72.02,353884.0,72.02
2024-12-09 11:39:00-05:00,72.02,72.09,71.81,71.9,297525.0,71.933
2024-12-09 11:40:00-05:00,71.89,71.95,71.78,71.91,349493.0,71.852
2024-12-09 11:41:00-05:00,71.92,71.92,71.69,71.78,448344.0,71.778
2024-12-09 11:42:00-05:00,71.78,71.89,71.75,71.77,229859.0,71.82
2024-12-09 11:43:00-05:00,71.77,71.88,71.71,71.75,216449.0,71.784
2024-12-09 11:44:00-05:00,71.75,72.08,71.75,72.03,313001.0,71.944
2024-12-09 11:45:00-05:00,72.05,72.08,71.83,71.94,212219.0,71.942
2024-12-09 11:46:00-05:00,71.93,71.93,71.58,71.6,434286.0,71.724
2024-12-09 11:47:00-05:00,71.61,71.72,71.36,71.37,536162.0,71.504
2024-12-09 11:48:00-05:00,71.37,71.48,71.3,71.32,396711.0,71.359
2024-12-09 11:49:00-05:00,71.33,71.35,71.05,71.17,714665.0,71.172
2024-12-09 11:50:00-05:00,71.16,71.61,71.14,71.57,365565.0,71.43
2024-12-09 11:51:00-05:00,71.56,71.69,71.45,71.66,258434.0,71.569
2024-12-09 11:52:00-05:00,71.66,71.68,71.45,71.63,207119.0,71.579
2024-12-09 11:53:00-05:00,71.64,71.8,71.56,71.72,284692.0,71.699
2024-12-09 11:54:00-05:00,71.73,71.8,71.68,71.78,281078.0,71.755
2024-12-09 11:55:00-05:00,71.79,71.81,71.48,71.52,371705.0,71.625
2024-12-09 11:56:00-05:00,71.51,71.8,71.5,71.79,258638.0,71.707
2024-12-09 11:57:00-05:00,71.8,72.01,71.79,71.94,484158.0,71.936
2024-12-09 11:58:00-05:00,71.94,72.07,71.89,72.0,434855.0,71.983
2024-12-09 11:59:00-05:00,72.0,72.16,72.0,72.12,252296.0,72.058
2024-12-09 12:00:00-05:00,72.12,72.17,72.01,72.16,323909.0,72.092
2024-12-09 12:01:00-05:00,72.15,72.26,72.12,72.22,444077.0,72.192
2024-12-09 12:02:00-05:00,72.22,72.45,72.2,72.4,441115.0,72.346
2024-12-09 12:03:00-05:00,72.41,72.51,72.32,72.5,242336.0,72.427
2024-12-09 12:04:00-05:00,72.49,72.55,72.3,72.34,275215.0,72.423
2024-12-09 12:05:00-05:00,72.35,72.55,72.32,72.4,231887.0,72.447
2024-12-09 12:06:00-05:00,72.4,72.49,72.35,72.4,122500.0,72.402
2024-12-09 12:07:00-05:00,72.38,72.55,72.36,72.53,165197.0,72.492
2024-12-09 12:08:00-05:00,72.54,72.69,72.42,72.67,265594.0,72.597
2024-12-09 12:09:00-05:00,72.67,72.72,72.59,72.64,207601.0,72.657
2024-12-09 12:10:00-05:00,72.65,72.83,72.56,72.77,318059.0,72.693
2024-12-09 12:11:00-05:00,72.77,72.77,72.4,72.43,221202.0,72.539
2024-12-09 12:12:00-05:00,72.43,72.67,72.43,72.66,157456.0,72.56
2024-12-09 12:13:00-05:00,72.66,72.66,72.53,72.58,113378.0,72.593
2024-12-09 12:14:00-05:00,72.59,72.74,72.59,72.71,186003.0,72.667
2024-12-09 12:15:00-05:00,72.71,72.79,72.56,72.77,186152.0,72.686
2024-12-09 12:16:00-05:00,72.75,72.78,72.52,72.69,218995.0,72.682
2024-12-09 12:17:00-05:00,72.68,72.78,72.59,72.61,155300.0,72.672
2024-12-09 12:18:00-05:00,72.6,72.83,72.58,72.8,108339.0,72.707
2024-12-09 12:19:00-05:00,72.81,72.88,72.73,72.85,177717.0,72.822
2024-12-09 12:20:00-05:00,72.85,72.91,72.7,72.79,197161.0,72.805
2024-12-09 12:21:00-05:00,72.79,72.88,72.73,72.75,163221.0,72.815
2024-12-09 12:22:00-05:00,72.74,72.82,72.62,72.63,184216.0,72.725
2024-12-09 12:23:00-05:00,72.65,72.85,72.63,72.77,120354.0,72.731
2024-12-09 12:24:00-05:00,72.76,72.82,72.54,72.66,182550.0,72.65
2024-12-09 12:25:00-05:00,72.64,72.77,72.56,72.67,109697.0,72.658
2024-12-09 12:26:00-05:00,72.68,72.73,72.6,72.71,101001.0,72.684
2024-12-09 12:27:00-05:00,72.72,72.74,72.63,72.69,68596.0,72.696
2024-12-09 12:28:00-05:00,72.71,72.73,72.46,72.62,257436.0,72.552
2024-12-09 12:29:00-05:00,72.62,72.66,72.52,72.55,117401.0,72.596
2024-12-09 12:30:00-05:00,72.55,72.59,72.27,72.31,235222.0,72.397
