time,open,high,low,close,volume,wap
2026-05-29 09:30:00-04:00,130.98,131.09,130.5,130.6,14942.0,131.01
2026-05-29 09:31:00-04:00,130.71,131.21,130.38,131.21,3128.0,130.899
2026-05-29 09:32:00-04:00,131.5,131.77,131.48,131.59,5172.0,131.583
2026-05-29 09:33:00-04:00,131.9,132.39,131.47,131.59,11513.0,132.113
2026-05-29 09:34:00-04:00,131.6,131.6,130.64,130.99,1634.0,131.109
2026-05-29 09:35:00-04:00,131.0,131.0,130.62,130.66,1208.0,130.723
2026-05-29 09:36:00-04:00,130.44,130.56,130.34,130.34,2120.0,130.51
2026-05-29 09:37:00-04:00,130.24,130.29,130.0,130.0,4251.0,130.16
2026-05-29 09:38:00-04:00,130.22,130.47,130.06,130.38,2031.0,130.332
2026-05-29 09:39:00-04:00,130.52,130.81,130.51,130.67,2484.0,130.589
2026-05-29 09:40:00-04:00,130.81,131.0,130.67,130.99,2795.0,130.906
2026-05-29 09:41:00-04:00,131.0,131.2,130.99,131.2,659.0,131.096
2026-05-29 09:42:00-04:00,131.28,131.88,131.28,131.88,1700.0,131.845
2026-05-29 09:43:00-04:00,131.38,131.83,131.37,131.68,510.0,131.56
2026-05-29 09:44:00-04:00,131.68,131.68,131.54,131.54,200.0,131.61
2026-05-29 09:45:00-04:00,131.86,132.1,131.68,131.68,4767.0,131.92
2026-05-29 09:46:00-04:00,131.54,131.58,131.17,131.38,1598.0,131.358
2026-05-29 09:47:00-04:00,131.1,131.18,131.1,131.18,2600.0,131.103
2026-05-29 09:48:00-04:00,131.06,131.06,131.06,131.06,100.0,131.06
2026-05-29 09:49:00-04:00,130.98,131.06,130.53,130.59,1511.0,130.763
2026-05-29 09:50:00-04:00,130.76,130.94,130.76,130.94,861.0,130.785
2026-05-29 09:51:00-04:00,130.93,130.98,130.81,130.81,1100.0,130.927
2026-05-29 09:52:00-04:00,130.87,130.87,130.77,130.77,300.0,130.832
2026-05-29 09:53:00-04:00,130.59,130.9,130.59,130.75,1600.0,130.694
2026-05-29 09:54:00-04:00,130.9,131.19,130.9,131.18,1191.0,131.1
2026-05-29 09:55:00-04:00,131.28,131.42,131.27,131.42,200.0,131.348
2026-05-29 09:56:00-04:00,131.12,131.33,131.0,131.0,802.0,131.153
2026-05-29 09:57:00-04:00,131.0,131.0,131.0,131.0,0.0,131.0
2026-05-29 09:58:00-04:00,131.38,131.47,131.33,131.33,300.0,131.393
2026-05-29 09:59:00-04:00,131.3,131.41,131.22,131.37,1300.0,131.372
2026-05-29 10:00:00-04:00,131.35,131.99,131.24,131.99,3105.0,131.566
2026-05-29 10:01:00-04:00,131.75,131.98,131.75,131.98,822.0,131.778
2026-05-29 10:02:00-04:00,131.71,132.19,131.7,132.05,3748.0,132.004
2026-05-29 10:03:00-04:00,132.05,132.24,132.0,132.23,1829.0,132.119
2026-05-29 10:04:00-04:00,132.21,132.36,132.06,132.36,1282.0,132.184
2026-05-29 10:05:00-04:00,132.4,132.49,132.2,132.2,1122.0,132.341
2026-05-29 10:06:00-04:00,132.13,132.16,132.13,132.16,340.0,132.142
2026-05-29 10:07:00-04:00,132.11,132.12,131.86,131.86,2324.0,132.023
2026-05-29 10:08:00-04:00,131.8,131.8,131.74,131.75,200.0,131.773
2026-05-29 10:09:00-04:00,131.76,131.76,131.59,131.65,840.0,131.681
2026-05-29 10:10:00-04:00,131.64,131.74,131.39,131.48,1346.0,131.522
2026-05-29 10:11:00-04:00,131.16,131.28,131.16,131.28,695.0,131.177
2026-05-29 10:12:00-04:00,131.15,131.46,131.0,131.45,2660.0,131.189
2026-05-29 10:13:00-04:00,131.33,131.43,131.33,131.43,1084.0,131.383
2026-05-29 10:14:00-04:00,131.35,131.35,131.35,131.35,300.0,131.35
2026-05-29 10:15:00-04:00,131.22,131.22,131.18,131.18,300.0,131.207
2026-05-29 10:16:00-04:00,131.13,131.19,131.13,131.19,1140.0,131.136
2026-05-29 10:17:00-04:00,131.05,131.1,130.97,130.97,3980.0,131.019
2026-05-29 10:18:00-04:00,131.03,131.08,131.0,131.04,713.0,131.035
2026-05-29 10:19:00-04:00,131.06,131.19,130.92,131.06,2347.0,131.094
2026-05-29 10:20:00-04:00,131.06,131.08,130.92,130.98,15777.0,131.001
2026-05-29 10:21:00-04:00,131.04,131.07,130.97,131.04,650.0,131.037
2026-05-29 10:22:00-04:00,131.1,131.17,131.1,131.17,936.0,131.142
2026-05-29 10:23:00-04:00,131.16,131.22,131.06,131.21,1481.0,131.148
2026-05-29 10:24:00-04:00,131.16,131.16,131.16,131.16,172.0,131.16
2026-05-29 10:25:00-04:00,131.01,131.1,131.01,131.1,738.0,131.022
2026-05-29 10:26:00-04:00,131.06,131.07,130.9,130.91,1451.0,130.977
2026-05-29 10:27:00-04:00,130.97,131.08,130.86,131.08,4437.0,130.963
2026-05-29 10:28:00-04:00,131.09,131.28,131.09,131.28,1500.0,131.187
2026-05-29 10:29:00-04:00,131.25,131.25,131.08,131.09,800.0,131.189
2026-05-29 10:30:00-04:00,131.06,131.18,131.06,131.18,215.0,131.116
2026-05-29 10:31:00-04:00,131.18,131.18,131.18,131.18,0.0,131.18
2026-05-29 10:32:00-04:00,131.2,131.2,131.01,131.01,968.0,131.082
2026-05-29 10:33:00-04:00,131.0,131.2,131.0,131.2,800.0,131.101
2026-05-29 10:34:00-04:00,131.25,131.29,131.21,131.21,1093.0,131.248
2026-05-29 10:35:00-04:00,131.12,131.15,131.12,131.15,200.0,131.135
2026-05-29 10:36:00-04:00,131.22,131.22,131.22,131.22,400.0,131.22
2026-05-29 10:37:00-04:00,131.24,131.24,131.06,131.06,874.0,131.15
2026-05-29 10:38:00-04:00,131.01,131.1,131.01,131.1,800.0,131.054
2026-05-29 10:39:00-04:00,131.05,131.05,130.99,131.0,4262.0,131.014
2026-05-29 10:40:00-04:00,131.04,131.26,131.02,131.19,4489.0,131.121
2026-05-29 10:41:00-04:00,131.1,131.29,131.1,131.22,400.0,131.204
2026-05-29 10:42:00-04:00,131.28,131.28,131.2,131.2,434.0,131.242
2026-05-29 10:43:00-04:00,131.18,131.18,131.04,131.05,1435.0,131.118
2026-05-29 10:44:00-04:00,131.08,131.08,130.76,130.76,700.0,130.892
2026-05-29 10:45:00-04:00,130.67,130.79,130.51,130.77,4442.0,130.646
2026-05-29 10:46:00-04:00,130.76,130.76,130.55,130.55,200.0,130.657
2026-05-29 10:47:00-04:00,130.75,130.75,130.74,130.75,389.0,130.745
2026-05-29 10:48:00-04:00,130.78,130.92,130.78,130.88,931.0,130.849
2026-05-29 10:49:00-04:00,130.8,130.8,130.77,130.78,367.0,130.782
2026-05-29 10:50:00-04:00,130.7,130.85,130.67,130.85,1001.0,130.766
2026-05-29 10:51:00-04:00,130.95,131.1,130.76,130.95,4576.0,130.966
2026-05-29 10:52:00-04:00,130.95,131.1,130.94,131.03,660.0,131.032
