time,open,high,low,close,volume,wap
2026-05-29 09:30:00-04:00,78.24,78.24,76.0,77.0,218357.0,77.752
2026-05-29 09:31:00-04:00,76.28,80.64,76.28,78.97,106710.0,79.551
2026-05-29 09:32:00-04:00,78.97,79.19,77.65,78.08,13858.0,78.553
2026-05-29 09:33:00-04:00,77.55,78.66,77.06,78.66,13386.0,77.882
2026-05-29 09:34:00-04:00,78.57,78.85,77.71,77.71,25592.0,78.514
2026-05-29 09:35:00-04:00,77.71,78.7,77.42,78.29,18762.0,78.098
2026-05-29 09:36:00-04:00,77.99,79.8,77.99,79.64,45149.0,78.773
2026-05-29 09:37:00-04:00,79.67,79.77,78.75,79.51,22921.0,79.286
2026-05-29 09:38:00-04:00,79.68,79.95,78.87,78.87,21833.0,79.498
2026-05-29 09:39:00-04:00,79.05,79.05,77.75,77.76,18548.0,78.492
2026-05-29 09:40:00-04:00,77.95,79.0,77.21,77.52,23767.0,77.877
2026-05-29 09:41:00-04:00,77.55,78.36,77.47,78.21,3996.0,78.01
2026-05-29 09:42:00-04:00,78.5,78.5,77.42,77.91,11961.0,77.817
2026-05-29 09:43:00-04:00,77.83,78.26,77.75,77.84,7316.0,78.031
2026-05-29 09:44:00-04:00,78.1,78.1,77.11,77.35,10355.0,77.493
2026-05-29 09:45:00-04:00,77.64,77.84,76.81,77.84,33303.0,77.142
2026-05-29 09:46:00-04:00,77.63,78.99,77.63,78.5,8438.0,78.426
2026-05-29 09:47:00-04:00,78.5,79.3,78.5,79.03,6988.0,79.029
2026-05-29 09:48:00-04:00,79.05,79.59,79.0,79.44,8459.0,79.287
2026-05-29 09:49:00-04:00,79.47,79.79,79.25,79.65,8409.0,79.493
2026-05-29 09:50:00-04:00,79.5,80.63,79.43,80.49,41670.0,80.008
2026-05-29 09:51:00-04:00,80.48,80.56,79.59,79.7,29458.0,80.248
2026-05-29 09:52:00-04:00,79.85,80.23,79.27,79.92,14083.0,79.689
2026-05-29 09:53:00-04:00,79.94,80.7,79.92,80.37,14641.0,80.292
2026-05-29 09:54:00-04:00,80.38,81.2,80.38,81.11,45776.0,80.924
2026-05-29 09:55:00-04:00,81.11,81.11,80.26,80.28,9112.0,80.753
2026-05-29 09:56:00-04:00,80.54,80.95,80.23,80.36,16775.0,80.675
