time,open,high,low,close,volume,wap
2026-04-09 09:30:00-04:00,128.5,129.05,127.34,127.34,16478.0,128.153
2026-04-09 09:31:00-04:00,127.16,127.91,127.16,127.91,1430.0,127.731
2026-04-09 09:32:00-04:00,127.35,127.35,125.56,125.56,6598.0,126.483
2026-04-09 09:33:00-04:00,125.53,125.66,124.99,124.99,9580.0,125.286
2026-04-09 09:34:00-04:00,125.0,125.0,124.18,124.24,8016.0,124.718
2026-04-09 09:35:00-04:00,123.91,123.98,122.57,122.57,9970.0,123.38
2026-04-09 09:36:00-04:00,122.83,124.51,122.83,124.37,9066.0,123.525
2026-04-09 09:37:00-04:00,124.41,125.18,124.4,124.73,5980.0,124.76
2026-04-09 09:38:00-04:00,124.73,125.0,124.24,125.0,3540.0,124.513
2026-04-09 09:39:00-04:00,124.95,125.24,124.48,124.89,6358.0,124.796
2026-04-09 09:40:00-04:00,125.18,125.45,124.73,125.18,3141.0,125.186
2026-04-09 09:41:00-04:00,125.21,125.46,125.21,125.44,2286.0,125.343
2026-04-09 09:42:00-04:00,125.66,125.66,124.69,125.18,3912.0,125.0
2026-04-09 09:43:00-04:00,125.18,125.65,124.87,125.23,4546.0,125.233
2026-04-09 09:44:00-04:00,125.23,125.26,124.88,125.07,1477.0,125.054
2026-04-09 09:45:00-04:00,125.17,125.39,124.79,125.05,6456.0,125.106
2026-04-09 09:46:00-04:00,124.89,124.99,124.28,124.28,4856.0,124.724
2026-04-09 09:47:00-04:00,124.0,124.0,123.25,123.25,3100.0,123.743
2026-04-09 09:48:00-04:00,123.39,123.68,123.0,123.36,3881.0,123.281
2026-04-09 09:49:00-04:00,123.34,123.82,123.3,123.4,5920.0,123.504
2026-04-09 09:50:00-04:00,123.41,123.41,121.82,121.84,8080.0,122.501
2026-04-09 09:51:00-04:00,121.84,122.37,121.41,122.37,5244.0,121.946
2026-04-09 09:52:00-04:00,122.37,122.77,122.05,122.21,6396.0,122.494
2026-04-09 09:53:00-04:00,122.2,122.29,121.69,122.09,4032.0,122.025
2026-04-09 09:54:00-04:00,122.06,122.29,121.71,122.05,2728.0,122.005
2026-04-09 09:55:00-04:00,122.04,122.11,121.71,121.71,4620.0,122.032
2026-04-09 09:56:00-04:00,121.82,122.32,121.7,121.87,11799.0,121.803
2026-04-09 09:57:00-04:00,121.74,122.02,121.04,121.09,14094.0,121.707
2026-04-09 09:58:00-04:00,121.4,121.8,120.98,121.67,39894.0,121.377
2026-04-09 09:59:00-04:00,121.81,122.28,121.67,122.15,28969.0,122.073
2026-04-09 10:00:00-04:00,122.15,122.32,121.78,122.07,14774.0,122.119
2026-04-09 10:01:00-04:00,122.33,122.33,121.05,121.11,4480.0,121.633
2026-04-09 10:02:00-04:00,121.0,121.62,120.87,121.62,10733.0,121.247
2026-04-09 10:03:00-04:00,121.26,121.79,121.24,121.53,2595.0,121.357
2026-04-09 10:04:00-04:00,121.8,122.0,121.8,121.8,1920.0,121.829
2026-04-09 10:05:00-04:00,121.78,122.43,121.78,122.43,9011.0,122.201
2026-04-09 10:06:00-04:00,122.22,122.43,122.13,122.43,3592.0,122.315
2026-04-09 10:07:00-04:00,122.43,122.43,121.76,122.04,5658.0,122.003
2026-04-09 10:08:00-04:00,122.04,122.38,121.62,121.89,3344.0,121.907
2026-04-09 10:09:00-04:00,122.0,122.0,121.43,121.57,4987.0,121.708
2026-04-09 10:10:00-04:00,121.39,121.72,121.19,121.72,4149.0,121.362
2026-04-09 10:11:00-04:00,121.74,121.97,121.45,121.97,3337.0,121.651
2026-04-09 10:12:00-04:00,121.77,122.44,121.77,122.23,7243.0,122.021
2026-04-09 10:13:00-04:00,122.27,122.28,122.14,122.2,1000.0,122.206
2026-04-09 10:14:00-04:00,122.27,122.58,122.12,122.58,2825.0,122.362
2026-04-09 10:15:00-04:00,122.39,122.39,121.88,121.88,4202.0,121.97
2026-04-09 10:16:00-04:00,121.89,122.0,121.51,121.76,2034.0,121.725
2026-04-09 10:17:00-04:00,121.76,121.88,121.76,121.88,1012.0,121.779
2026-04-09 10:18:00-04:00,121.73,122.02,121.18,121.67,8932.0,121.623
2026-04-09 10:19:00-04:00,121.45,121.48,120.83,121.21,35543.0,121.102
2026-04-09 10:20:00-04:00,121.16,121.4,120.72,121.4,11838.0,121.281
2026-04-09 10:21:00-04:00,121.04,121.41,121.0,121.02,2681.0,121.206
2026-04-09 10:22:00-04:00,121.0,121.31,120.59,120.85,6777.0,120.81
2026-04-09 10:23:00-04:00,120.81,120.87,120.5,120.71,1409.0,120.652
2026-04-09 10:24:00-04:00,120.91,121.41,120.74,121.32,10223.0,121.041
2026-04-09 10:25:00-04:00,121.01,121.02,120.76,120.76,2814.0,120.843
2026-04-09 10:26:00-04:00,121.02,121.31,120.77,120.77,1200.0,120.971
2026-04-09 10:27:00-04:00,121.04,121.26,120.88,121.02,2303.0,121.055
2026-04-09 10:28:00-04:00,121.06,121.29,121.05,121.29,600.0,121.098
2026-04-09 10:29:00-04:00,121.06,121.06,120.83,121.05,1914.0,120.942
2026-04-09 10:30:00-04:00,120.97,120.98,120.86,120.97,3046.0,120.966
2026-04-09 10:31:00-04:00,120.87,121.29,120.83,121.1,2518.0,121.032
2026-04-09 10:32:00-04:00,120.93,120.97,120.0,120.1,5727.0,120.534
2026-04-09 10:33:00-04:00,120.2,120.29,120.0,120.27,2902.0,120.21
2026-04-09 10:34:00-04:00,120.21,120.5,120.11,120.37,2467.0,120.304
2026-04-09 10:35:00-04:00,120.53,120.53,120.02,120.22,4060.0,120.184
2026-04-09 10:36:00-04:00,120.1,120.26,119.51,119.92,7301.0,119.806
2026-04-09 10:37:00-04:00,119.82,119.99,119.73,119.97,1300.0,119.866
2026-04-09 10:38:00-04:00,119.97,119.97,119.77,119.77,950.0,119.859
2026-04-09 10:39:00-04:00,119.82,120.12,119.82,119.96,2195.0,119.979
2026-04-09 10:40:00-04:00,119.94,120.0,119.61,119.61,1210.0,119.887
2026-04-09 10:41:00-04:00,119.61,119.72,119.55,119.56,1394.0,119.632
2026-04-09 10:42:00-04:00,119.53,119.59,119.21,119.43,1985.0,119.504
2026-04-09 10:43:00-04:00,119.44,119.58,119.25,119.25,2688.0,119.408
2026-04-09 10:44:00-04:00,119.36,119.36,119.1,119.17,1847.0,119.181
2026-04-09 10:45:00-04:00,119.29,120.14,119.28,120.14,5012.0,119.641
2026-04-09 10:46:00-04:00,119.72,119.88,119.72,119.88,395.0,119.839
2026-04-09 10:47:00-04:00,119.71,119.86,119.61,119.63,2904.0,119.698
2026-04-09 10:48:00-04:00,119.86,119.86,119.67,119.86,400.0,119.813
2026-04-09 10:49:00-04:00,119.64,119.99,119.58,119.88,1975.0,119.839
2026-04-09 10:50:00-04:00,119.66,119.74,119.56,119.74,1846.0,119.625
2026-04-09 10:51:00-04:00,119.61,119.79,119.58,119.79,2100.0,119.658
2026-04-09 10:52:00-04:00,119.78,119.79,119.5,119.5,1340.0,119.63
2026-04-09 10:53:00-04:00,119.55,119.9,119.49,119.9,27257.0,119.547
2026-04-09 10:54:00-04:00,119.73,119.9,119.5,119.59,3347.0,119.614
2026-04-09 10:55:00-04:00,119.5,119.56,119.33,119.53,11834.0,119.478
2026-04-09 10:56:00-04:00,119.54,120.0,119.54,119.61,9423.0,119.856
2026-04-09 10:57:00-04:00,119.62,119.71,119.56,119.71,6360.0,119.687
2026-04-09 10:58:00-04:00,119.61,119.72,119.5,119.67,3719.0,119.653
2026-04-09 10:59:00-04:00,119.78,119.85,119.68,119.73,1497.0,119.766
2026-04-09 11:00:00-04:00,119.58,119.58,119.26,119.26,1769.0,119.439
2026-04-09 11:01:00-04:00,119.2,119.2,119.01,119.12,3150.0,119.121
2026-04-09 11:02:00-04:00,119.29,119.29,118.84,119.11,19783.0,118.962
2026-04-09 11:03:00-04:00,119.27,119.35,119.08,119.19,5128.0,119.237
2026-04-09 11:04:00-04:00,119.0,119.13,118.8,119.13,3802.0,118.977
2026-04-09 11:05:00-04:00,119.13,119.41,119.1,119.41,4113.0,119.264
2026-04-09 11:06:00-04:00,119.37,119.37,119.03,119.1,3898.0,119.201
2026-04-09 11:07:00-04:00,119.0,119.13,118.78,118.89,6467.0,118.869
2026-04-09 11:08:00-04:00,118.82,119.0,118.82,118.99,1700.0,118.95
2026-04-09 11:09:00-04:00,118.9,119.06,118.78,119.0,2574.0,118.939
2026-04-09 11:10:00-04:00,119.04,119.04,118.9,118.92,1800.0,118.949
2026-04-09 11:11:00-04:00,118.77,119.0,118.76,119.0,6348.0,118.874
2026-04-09 11:12:00-04:00,118.98,119.24,118.98,119.24,4886.0,119.146
2026-04-09 11:13:00-04:00,119.22,119.56,119.21,119.56,2612.0,119.433
2026-04-09 11:14:00-04:00,119.46,119.46,119.2,119.36,2100.0,119.328
2026-04-09 11:15:00-04:00,119.44,119.6,119.32,119.6,3325.0,119.453
2026-04-09 11:16:00-04:00,119.68,119.8,119.54,119.54,3805.0,119.642
2026-04-09 11:17:00-04:00,119.51,119.52,119.45,119.52,600.0,119.502
2026-04-09 11:18:00-04:00,119.51,119.54,119.4,119.4,2240.0,119.47
2026-04-09 11:19:00-04:00,119.57,119.62,119.48,119.57,3605.0,119.554
2026-04-09 11:20:00-04:00,119.56,119.56,119.35,119.38,3910.0,119.486
2026-04-09 11:21:00-04:00,119.31,119.73,119.28,119.63,5653.0,119.58
2026-04-09 11:22:00-04:00,119.71,119.79,119.62,119.63,1275.0,119.667
2026-04-09 11:23:00-04:00,119.68,119.79,119.46,119.79,5234.0,119.619
2026-04-09 11:24:00-04:00,119.63,119.64,119.62,119.64,1527.0,119.631
2026-04-09 11:25:00-04:00,119.63,119.91,119.49,119.9,10746.0,119.717
2026-04-09 11:26:00-04:00,119.94,120.24,119.89,120.24,8669.0,119.984
2026-04-09 11:27:00-04:00,120.24,120.31,120.09,120.2,8300.0,120.184
2026-04-09 11:28:00-04:00,120.21,120.36,120.21,120.31,3864.0,120.288
2026-04-09 11:29:00-04:00,120.31,120.55,120.22,120.39,33411.0,120.387
2026-04-09 11:30:00-04:00,120.23,120.39,119.94,120.05,9752.0,120.157
2026-04-09 11:31:00-04:00,120.06,120.41,120.05,120.3,5688.0,120.203
2026-04-09 11:32:00-04:00,120.3,121.12,120.29,121.01,8348.0,120.776
2026-04-09 11:33:00-04:00,120.97,121.26,120.74,121.04,3171.0,121.017
2026-04-09 11:34:00-04:00,121.01,121.17,120.72,120.83,12544.0,120.965
2026-04-09 11:35:00-04:00,120.83,120.83,120.57,120.65,4585.0,120.732
2026-04-09 11:36:00-04:00,120.82,120.82,120.65,120.73,5860.0,120.718
2026-04-09 11:37:00-04:00,120.73,120.82,120.59,120.71,5835.0,120.674
2026-04-09 11:38:00-04:00,120.71,120.71,120.48,120.7,4991.0,120.651
2026-04-09 11:39:00-04:00,120.7,120.71,120.7,120.71,1322.0,120.703
2026-04-09 11:40:00-04:00,120.62,120.83,120.58,120.7,6550.0,120.679
2026-04-09 11:41:00-04:00,120.7,120.7,120.61,120.7,1649.0,120.676
2026-04-09 11:42:00-04:00,120.69,120.69,120.57,120.66,6466.0,120.645
2026-04-09 11:43:00-04:00,120.62,121.0,120.56,121.0,5659.0,120.769
2026-04-09 11:44:00-04:00,120.99,121.14,120.91,120.91,4493.0,121.087
2026-04-09 11:45:00-04:00,121.01,121.01,120.7,120.84,3170.0,120.841
2026-04-09 11:46:00-04:00,120.84,120.98,120.83,120.88,1073.0,120.874
2026-04-09 11:47:00-04:00,120.92,121.05,120.92,121.04,763.0,120.953
2026-04-09 11:48:00-04:00,121.03,121.45,121.03,121.31,3847.0,121.311
2026-04-09 11:49:00-04:00,121.37,121.44,121.28,121.29,2396.0,121.317
2026-04-09 11:50:00-04:00,121.29,121.41,121.17,121.29,7805.0,121.295
2026-04-09 11:51:00-04:00,121.4,121.57,121.37,121.46,9817.0,121.446
2026-04-09 11:52:00-04:00,121.45,121.51,121.3,121.33,3588.0,121.419
2026-04-09 11:53:00-04:00,121.31,121.33,121.18,121.23,2913.0,121.228
2026-04-09 11:54:00-04:00,121.23,121.4,121.22,121.28,838.0,121.338
2026-04-09 11:55:00-04:00,121.46,121.55,121.4,121.55,2133.0,121.507
2026-04-09 11:56:00-04:00,121.5,121.51,121.5,121.51,2029.0,121.505
2026-04-09 11:57:00-04:00,121.51,121.6,121.35,121.6,5770.0,121.478
2026-04-09 11:58:00-04:00,121.48,121.49,121.32,121.41,6465.0,121.419
2026-04-09 11:59:00-04:00,121.4,121.4,121.08,121.3,16691.0,121.209
2026-04-09 12:00:00-04:00,121.44,121.44,120.77,120.77,6828.0,121.04
2026-04-09 12:01:00-04:00,120.79,121.11,120.79,121.11,1432.0,120.925
2026-04-09 12:02:00-04:00,121.1,121.26,121.1,121.21,3101.0,121.201
2026-04-09 12:03:00-04:00,121.21,121.41,121.09,121.25,11844.0,121.234
2026-04-09 12:04:00-04:00,121.25,121.61,121.24,121.61,7346.0,121.418
2026-04-09 12:05:00-04:00,121.64,121.76,121.21,121.34,5765.0,121.593
2026-04-09 12:06:00-04:00,121.37,121.37,121.36,121.37,100.0,121.365
2026-04-09 12:07:00-04:00,121.35,121.6,121.35,121.6,1100.0,121.511
2026-04-09 12:08:00-04:00,121.76,121.76,121.65,121.65,216.0,121.709
2026-04-09 12:09:00-04:00,121.67,121.82,121.39,121.46,8956.0,121.743
2026-04-09 12:10:00-04:00,121.47,121.49,121.15,121.16,13658.0,121.406
2026-04-09 12:11:00-04:00,121.16,121.25,121.15,121.17,10444.0,121.164
2026-04-09 12:12:00-04:00,121.17,121.17,120.97,120.98,4230.0,121.096
2026-04-09 12:13:00-04:00,120.94,120.96,120.7,120.71,1620.0,120.825
2026-04-09 12:14:00-04:00,120.83,120.85,120.81,120.85,1600.0,120.834
2026-04-09 12:15:00-04:00,120.86,120.93,120.85,120.93,300.0,120.905
2026-04-09 12:16:00-04:00,121.0,121.32,121.0,121.32,1463.0,121.118
