sym,date,low_t,reclaim_t,drop,rsi_low,vwap_dist,bars_lo_to_entry,off_low_entry,vol_climax,reason,pnl
AAOI,2026-05-08,09:32,09:39,-6.2,0,-3.9,7,5.64,,stop,-5.85
AAOI,2026-05-13,09:38,09:52,-6.5,4,-5.4,14,5.75,,close,9.96
ADI,2026-05-27,10:27,14:12,-5.4,25,-2.8,225,2.14,0.86,close,0.11
AEHR,2026-05-11,09:37,09:49,-5.3,5,-3.9,12,4.46,,close,5.53
AEHR,2026-05-13,09:47,10:31,-9.5,6,-5.3,44,4.05,,close,6.93
AEHR,2026-05-15,09:31,09:34,-5.3,0,-2.7,3,3.41,,close,1.6
AEHR,2026-05-19,10:22,10:57,-6.0,30,-4.1,35,4.21,1.59,close,1.44
AEHR,2026-05-20,09:36,09:48,-6.5,2,-3.9,12,3.45,,close,-1.1
AMD,2026-05-13,10:08,10:52,-5.3,24,-2.7,44,2.27,1.15,close,0.66
AMKR,2026-05-18,09:49,09:51,-5.3,14,-1.3,2,1.27,0.17,stop,-1.57
AMKR,2026-05-27,10:28,10:47,-6.5,28,-3.5,19,3.5,0.54,close,-0.5
APLD,2026-05-07,09:47,10:10,-5.5,24,-3.5,23,3.08,,stop,-3.03
APLD,2026-05-18,09:44,09:51,-5.9,8,-3.3,7,3.3,,stop,-3.36
APLD,2026-05-26,09:31,09:39,-5.3,0,-3.7,8,3.23,,stop,-3.34
APLD,2026-05-29,10:26,15:38,-6.5,23,-3.5,312,2.38,1.29,close,-0.08
ASTS,2026-05-19,10:17,11:48,-7.9,23,-4.7,91,4.13,1.02,close,7.54
ASTS,2026-06-01,10:00,10:41,-6.8,20,-3.6,41,3.12,1.32,close,1.23
AXTI,2026-05-04,10:09,10:45,-5.1,28,-5.4,36,5.64,1.18,close,9.27
AXTI,2026-05-11,09:36,09:41,-6.2,4,-4.6,5,5.52,,close,7.54
AXTI,2026-05-13,10:13,10:54,-10.4,29,-4.5,41,3.99,0.5,close,0.82
AXTI,2026-05-20,10:18,11:11,-8.5,28,-4.2,53,3.49,1.84,stop,-3.54
AXTI,2026-05-26,09:33,09:36,-6.7,0,-2.7,3,3.92,,stop,-3.86
AXTI,2026-05-27,09:44,09:52,-9.7,10,-4.0,8,3.89,,stop,-3.89
AXTI,2026-05-28,09:50,10:13,-7.9,11,-4.5,23,4.14,0.61,stop,-4.24
CIEN,2026-05-13,09:46,11:40,-5.3,3,-3.4,114,2.48,,close,0.25
CRDO,2026-05-13,09:51,10:04,-7.6,20,-3.5,13,3.47,0.95,stop,-3.45
CRDO,2026-05-27,09:47,09:52,-5.8,17,-3.8,5,3.71,,stop,-3.8
ENPH,2026-05-19,10:18,10:38,-7.7,19,-3.6,20,3.38,3.3,close,0.67
ENPH,2026-05-29,10:49,14:02,-7.2,24,-5.3,193,4.0,1.34,close,-2.2
ENPH,2026-06-01,09:31,09:35,-5.6,0,-2.5,4,2.51,,stop,-2.54
INTC,2026-05-11,10:31,11:07,-5.4,27,-3.4,36,3.49,1.44,close,0.9
INTC,2026-05-13,10:09,10:34,-6.2,29,-2.9,25,3.03,1.2,close,0.27
JOBY,2026-05-14,09:59,10:37,-6.7,15,-3.1,38,2.63,2.94,close,1.04
JOBY,2026-05-29,10:26,10:52,-5.9,29,-2.9,26,2.97,1.34,close,1.27
KLAR,2026-05-13,09:58,10:17,-5.8,14,-3.1,19,2.79,0.93,close,0.29
MU,2026-05-27,10:33,12:11,-7.0,30,-3.7,98,3.34,0.92,close,1.17
ON,2026-05-27,10:28,12:11,-6.9,28,-3.6,103,2.82,1.5,close,1.17
PL,2026-05-29,10:26,10:55,-8.8,25,-4.3,29,4.2,1.0,close,9.6
PL,2026-06-01,10:16,10:37,-7.3,29,-3.4,21,3.28,1.04,close,-1.25
QBTS,2026-05-26,09:58,10:14,-9.8,16,-3.5,16,3.55,1.43,stop,-3.47
QCOM,2026-05-04,09:46,11:37,-5.9,4,-3.7,111,2.48,,close,-1.51
RGTI,2026-05-15,10:01,10:13,-5.0,22,-2.8,12,3.05,0.65,close,-1.33
RGTI,2026-05-18,10:03,10:15,-8.0,27,-3.0,12,2.98,0.51,stop,-3.77
RGTI,2026-05-29,09:42,10:03,-6.4,10,-3.1,21,2.62,,stop,-2.66
RKLB,2026-05-05,10:00,11:11,-6.3,23,-3.4,71,2.25,1.29,stop,-2.59
SEDG,2026-05-18,10:34,11:25,-7.7,24,-5.2,51,4.72,2.11,stop,-4.54
SEDG,2026-05-19,10:22,12:03,-6.4,25,-3.8,101,3.44,1.22,close,4.89
SEDG,2026-05-26,09:33,09:37,-5.3,5,-2.7,4,4.25,,close,7.64
SEDG,2026-06-01,09:57,10:02,-5.4,25,-2.3,5,2.22,1.07,close,6.63
WDC,2026-05-13,10:08,10:26,-5.5,24,-2.4,18,2.26,0.87,close,1.65
