symbol,expiry,strike,delta_eod,time,bid,ask
CIEN,20260605,497.5,0.8,13:00,71.0,71.0
CIEN,20260605,497.5,0.8,13:01,71.0,71.0
CIEN,20260605,497.5,0.8,13:02,71.0,71.05
CIEN,20260605,497.5,0.8,13:03,72.0,72.0
CIEN,20260605,497.5,0.8,13:04,72.0,72.0
CIEN,20260605,497.5,0.8,13:05,72.0,72.0
CIEN,20260605,497.5,0.8,13:06,72.0,72.0
CIEN,20260605,497.5,0.8,13:07,72.0,72.0
CIEN,20260605,497.5,0.8,13:08,72.0,72.0
CIEN,20260605,497.5,0.8,13:09,72.0,72.6
CIEN,20260605,497.5,0.8,13:10,73.0,73.0
CIEN,20260605,497.5,0.8,13:11,73.0,73.0
CIEN,20260605,497.5,0.8,13:12,73.0,73.0
CIEN,20260605,497.5,0.8,13:13,73.0,73.0
CIEN,20260605,497.5,0.8,13:14,73.0,73.0
CIEN,20260605,497.5,0.8,13:15,73.0,73.95
CIEN,20260605,497.5,0.8,13:16,74.0,74.0
CIEN,20260605,497.5,0.8,13:17,74.0,74.0
CIEN,20260605,497.5,0.8,13:18,74.0,74.0
CIEN,20260605,497.5,0.8,13:19,74.0,74.0
CIEN,20260605,497.5,0.8,13:20,74.0,74.0
CIEN,20260605,497.5,0.8,13:21,74.0,74.0
CIEN,20260605,497.5,0.8,13:22,74.0,74.0
CIEN,20260605,497.5,0.8,13:23,74.0,74.0
CIEN,20260605,497.5,0.8,13:24,74.0,74.0
CIEN,20260605,497.5,0.8,13:25,74.0,74.0
CIEN,20260605,497.5,0.8,13:26,74.0,74.0
CIEN,20260605,497.5,0.8,13:27,74.0,74.0
CIEN,20260605,497.5,0.8,13:28,74.0,74.0
CIEN,20260605,497.5,0.8,13:29,74.0,74.7
CIEN,20260605,497.5,0.8,13:30,75.0,75.0
CIEN,20260605,497.5,0.8,13:31,75.0,75.0
CIEN,20260605,497.5,0.8,13:32,75.0,75.0
CIEN,20260605,497.5,0.8,13:33,75.0,75.0
CIEN,20260605,497.5,0.8,13:34,75.0,75.0
CIEN,20260605,497.5,0.8,13:35,75.0,75.0
CIEN,20260605,497.5,0.8,13:36,75.0,75.0
CIEN,20260605,497.5,0.8,13:37,75.0,75.0
CIEN,20260605,497.5,0.8,13:38,75.0,75.0
CIEN,20260605,497.5,0.8,13:39,75.0,75.0
CIEN,20260605,497.5,0.8,13:40,75.0,75.0
CIEN,20260605,497.5,0.8,13:41,75.0,75.0
CIEN,20260605,497.5,0.8,13:42,75.0,75.0
CIEN,20260605,497.5,0.8,13:43,75.0,75.0
CIEN,20260605,497.5,0.8,13:44,75.0,75.0
CIEN,20260605,497.5,0.8,13:45,75.0,75.0
CIEN,20260605,497.5,0.8,13:46,74.9,74.95
CIEN,20260605,497.5,0.8,13:47,74.9,74.9
CIEN,20260605,497.5,0.8,13:48,74.9,74.9
CIEN,20260605,497.5,0.8,13:49,74.9,74.9
CIEN,20260605,497.5,0.8,13:50,74.9,74.9
CIEN,20260605,497.5,0.8,13:51,74.9,74.9
CIEN,20260605,497.5,0.8,13:52,74.9,74.9
CIEN,20260605,497.5,0.8,13:53,74.9,74.9
CIEN,20260605,497.5,0.8,13:54,74.9,74.9
CIEN,20260605,497.5,0.8,13:55,74.9,74.9
CIEN,20260605,497.5,0.8,13:56,74.9,74.9
CIEN,20260605,497.5,0.8,13:57,74.9,74.9
CIEN,20260605,497.5,0.8,13:58,74.9,74.9
CIEN,20260605,497.5,0.8,13:59,72.4,73.65
CIEN,20260605,497.5,0.8,14:00,72.4,72.4
CIEN,20260605,497.5,0.8,14:01,72.4,72.4
CIEN,20260605,497.5,0.8,14:02,72.4,72.7
CIEN,20260605,497.5,0.8,14:03,73.0,73.0
CIEN,20260605,497.5,0.8,14:04,73.0,73.0
CIEN,20260605,497.5,0.8,14:05,73.0,73.0
CIEN,20260605,497.5,0.8,14:06,73.0,73.0
CIEN,20260605,497.5,0.8,14:07,73.0,73.0
CIEN,20260605,497.5,0.8,14:08,73.0,73.0
CIEN,20260605,497.5,0.8,14:09,73.0,73.65
CIEN,20260605,497.5,0.8,14:10,74.0,74.0
CIEN,20260605,497.5,0.8,14:11,74.0,74.0
CIEN,20260605,497.5,0.8,14:12,74.0,74.0
CIEN,20260605,497.5,0.8,14:13,74.0,74.45
CIEN,20260605,497.5,0.8,14:14,75.0,75.0
CIEN,20260605,497.5,0.8,14:15,75.0,75.0
CIEN,20260605,497.5,0.8,14:16,75.0,75.0
CIEN,20260605,497.5,0.8,14:17,75.0,75.0
CIEN,20260605,497.5,0.8,14:18,75.0,75.0
CIEN,20260605,497.5,0.8,14:19,75.0,75.0
CIEN,20260605,497.5,0.8,14:20,75.0,75.0
CIEN,20260605,497.5,0.8,14:21,75.0,75.0
CIEN,20260605,497.5,0.8,14:22,75.0,75.0
CIEN,20260605,497.5,0.8,14:23,75.0,75.0
CIEN,20260605,497.5,0.8,14:24,75.0,75.0
CIEN,20260605,497.5,0.8,14:25,75.0,75.0
CIEN,20260605,497.5,0.8,14:26,75.0,75.0
CIEN,20260605,497.5,0.8,14:27,75.0,75.0
CIEN,20260605,497.5,0.8,14:28,75.0,75.0
CIEN,20260605,497.5,0.8,14:29,75.0,75.0
CIEN,20260605,497.5,0.8,14:30,75.0,75.0
CIEN,20260605,497.5,0.8,14:31,75.0,75.0
CIEN,20260605,497.5,0.8,14:32,75.0,75.0
CIEN,20260605,497.5,0.8,14:33,75.0,75.0
CIEN,20260605,497.5,0.8,14:34,75.0,75.0
CIEN,20260605,497.5,0.8,14:35,75.0,75.0
CIEN,20260605,497.5,0.8,14:36,75.0,75.0
CIEN,20260605,497.5,0.8,14:37,75.0,75.0
CIEN,20260605,497.5,0.8,14:38,75.0,75.0
CIEN,20260605,497.5,0.8,14:39,75.0,75.0
CIEN,20260605,497.5,0.8,14:40,75.0,75.0
CIEN,20260605,497.5,0.8,14:41,73.5,73.95
CIEN,20260605,497.5,0.8,14:42,73.6,73.85
CIEN,20260605,497.5,0.8,14:43,74.0,74.0
CIEN,20260605,497.5,0.8,14:44,74.0,74.0
CIEN,20260605,497.5,0.8,14:45,73.0,73.9
CIEN,20260605,497.5,0.8,14:46,73.0,73.0
CIEN,20260605,497.5,0.8,14:47,73.0,73.0
CIEN,20260605,497.5,0.8,14:48,73.0,73.0
CIEN,20260605,497.5,0.8,14:49,73.0,73.0
CIEN,20260605,497.5,0.8,14:50,73.0,73.0
CIEN,20260605,497.5,0.8,14:51,73.0,73.0
CIEN,20260605,497.5,0.8,14:52,73.0,73.0
CIEN,20260605,497.5,0.8,14:53,73.0,73.7
CIEN,20260605,497.5,0.8,14:54,74.0,74.0
CIEN,20260605,497.5,0.8,14:55,74.0,74.0
CIEN,20260605,497.5,0.8,14:56,74.0,74.0
CIEN,20260605,497.5,0.8,14:57,74.0,74.0
CIEN,20260605,497.5,0.8,14:58,74.0,74.0
CIEN,20260605,497.5,0.8,14:59,74.0,74.0
CIEN,20260605,497.5,0.8,15:00,74.0,74.0
CIEN,20260605,497.5,0.8,15:01,74.0,74.0
CIEN,20260605,497.5,0.8,15:02,74.0,74.0
CIEN,20260605,497.5,0.8,15:03,74.0,74.0
CIEN,20260605,497.5,0.8,15:04,74.0,74.55
CIEN,20260605,497.5,0.8,15:05,75.0,75.0
CIEN,20260605,497.5,0.8,15:06,75.0,75.0
CIEN,20260605,497.5,0.8,15:07,75.0,75.0
CIEN,20260605,497.5,0.8,15:08,75.0,75.0
CIEN,20260605,497.5,0.8,15:09,75.0,75.6
CIEN,20260605,497.5,0.8,15:10,76.0,76.0
CIEN,20260605,497.5,0.8,15:11,76.0,76.0
CIEN,20260605,497.5,0.8,15:12,76.0,76.0
CIEN,20260605,497.5,0.8,15:13,76.0,76.0
CIEN,20260605,497.5,0.8,15:14,76.0,76.0
CIEN,20260605,497.5,0.8,15:15,76.0,76.0
CIEN,20260605,497.5,0.8,15:16,76.0,76.0
CIEN,20260605,497.5,0.8,15:17,76.0,76.0
CIEN,20260605,497.5,0.8,15:18,76.0,76.0
CIEN,20260605,497.5,0.8,15:19,76.0,76.0
CIEN,20260605,497.5,0.8,15:20,76.0,76.0
CIEN,20260605,497.5,0.8,15:21,76.0,77.15
CIEN,20260605,497.5,0.8,15:22,78.0,78.0
CIEN,20260605,497.5,0.8,15:23,78.0,78.0
CIEN,20260605,497.5,0.8,15:24,78.0,78.0
CIEN,20260605,497.5,0.8,15:25,78.0,78.0
CIEN,20260605,497.5,0.8,15:26,78.0,78.9
CIEN,20260605,497.5,0.8,15:27,79.0,79.0
CIEN,20260605,497.5,0.8,15:28,79.0,79.0
CIEN,20260605,497.5,0.8,15:29,79.0,79.0
CIEN,20260605,497.5,0.8,15:30,79.0,79.95
CIEN,20260605,497.5,0.8,15:31,80.0,80.55
CIEN,20260605,497.5,0.8,15:32,81.0,81.0
CIEN,20260605,497.5,0.8,15:33,81.0,81.85
CIEN,20260605,497.5,0.8,15:34,82.0,82.0
CIEN,20260605,497.5,0.8,15:35,82.0,82.25
CIEN,20260605,497.5,0.8,15:36,83.0,83.0
CIEN,20260605,497.5,0.8,15:37,83.0,83.0
CIEN,20260605,497.5,0.8,15:38,83.0,83.9
CIEN,20260605,497.5,0.8,15:39,84.0,84.85
CIEN,20260605,497.5,0.8,15:40,85.0,85.0
CIEN,20260605,497.5,0.8,15:41,85.0,85.0
CIEN,20260605,497.5,0.8,15:42,85.0,85.0
CIEN,20260605,497.5,0.8,15:43,85.0,85.0
CIEN,20260605,497.5,0.8,15:44,85.0,85.0
CIEN,20260605,497.5,0.8,15:45,85.0,85.0
CIEN,20260605,497.5,0.8,15:46,85.0,85.0
CIEN,20260605,497.5,0.8,15:47,85.0,85.0
CIEN,20260605,497.5,0.8,15:48,85.0,85.85
CIEN,20260605,497.5,0.8,15:49,86.0,86.15
CIEN,20260605,497.5,0.8,15:50,86.9,90.65
CIEN,20260605,497.5,0.8,15:51,92.0,92.1
CIEN,20260605,497.5,0.8,15:52,93.0,93.0
CIEN,20260605,497.5,0.8,15:53,92.9,92.95
CIEN,20260605,497.5,0.8,15:54,93.0,93.3
CIEN,20260605,497.5,0.8,15:55,93.0,94.0
CIEN,20260605,497.5,0.8,15:56,94.0,94.0
CIEN,20260605,497.5,0.8,15:57,94.0,94.0
CIEN,20260605,497.5,0.8,15:58,94.0,94.0
CIEN,20260605,497.5,0.8,15:59,94.0,95.55
