symbol,expiry,strike,delta_eod,iv,gamma,theta,bars,entry_t,exit_t,exit_reason,stk_entry,stk_exit,fire,entry_px
CIEN,20260605,497.5,0.8,1.52,0.0023,-2.639,180,15:09,15:59,close,557.63,580.6,fired,557.63
CIEN,20260605,547.5,0.65,1.504,0.0031,-3.336,180,15:09,15:59,close,557.63,580.6,fired,557.63
CIEN,20260605,575.0,0.56,1.491,0.0033,-3.529,180,15:09,15:59,close,557.63,580.6,fired,557.63
IBM,20260605,280.0,0.8,0.576,0.0118,-0.483,180,14:31,15:59,close,292.06,298.0,fired,292.06
IBM,20260605,290.0,0.65,0.581,0.0154,-0.684,180,14:31,15:59,close,292.06,298.0,fired,292.06
IBM,20260605,295.0,0.57,0.589,0.0162,-0.726,180,14:31,15:59,close,292.06,298.0,fired,292.06
IBM,20260605,310.0,0.35,0.629,0.0143,-0.703,180,14:31,15:59,close,292.06,298.0,fired,292.06
DDOG,20260605,230.0,0.8,0.658,0.0124,-0.445,180,14:33,15:59,close,243.37,247.51,fired,243.37
DDOG,20260605,240.0,0.65,0.643,0.0168,-0.626,180,14:33,15:59,close,243.37,247.51,fired,243.37
DDOG,20260605,247.5,0.52,0.637,0.0184,-0.653,180,14:33,15:59,close,243.37,247.51,fired,243.37
DDOG,20260605,257.5,0.34,0.636,0.0169,-0.59,180,14:33,15:59,close,243.37,247.51,fired,243.37
PANW,20260605,252.5,0.81,0.992,0.0071,-0.744,180,14:40,15:59,close,279.11,281.76,fired,279.11
PANW,20260605,270.0,0.65,0.999,0.0095,-1.102,180,14:40,15:59,close,279.11,281.76,fired,279.11
PANW,20260605,282.5,0.52,0.999,0.0101,-1.176,180,14:40,15:59,close,279.11,281.76,fired,279.11
PANW,20260605,300.0,0.36,1.006,0.0094,-1.079,180,14:40,15:59,close,279.11,281.76,fired,279.11
CSCO,20260605,115.0,0.8,0.416,0.0407,-0.142,180,14:31,15:59,close,120.77,120.44,fired,120.77
CSCO,20260605,118.0,0.66,0.405,0.0547,-0.195,180,14:31,15:59,close,120.77,120.44,fired,120.77
CSCO,20260605,121.0,0.48,0.404,0.0593,-0.204,180,14:31,15:59,close,120.77,120.44,fired,120.77
CSCO,20260605,123.0,0.37,0.408,0.0558,-0.198,180,14:31,15:59,close,120.77,120.44,fired,120.77
KLAR,20260605,17.0,0.78,0.709,0.1633,-0.041,180,15:25,15:59,close,18.41,18.29,fired,18.41
KLAR,20260605,17.5,0.7,0.699,0.1984,-0.046,180,15:25,15:59,close,18.41,18.29,fired,18.41
KLAR,20260605,18.5,0.47,0.691,0.2281,-0.053,180,15:25,15:59,close,18.41,18.29,fired,18.41
KLAR,20260605,19.0,0.36,0.695,0.2144,-0.048,180,15:25,15:59,close,18.41,18.29,fired,18.41
NVDA,20260605,200.0,0.82,0.452,0.0203,-0.267,180,15:11,15:50,vwap,217.56,213.88,filtered_out,217.56
NVDA,20260605,207.5,0.63,0.426,0.0308,-0.363,180,15:11,15:50,vwap,217.56,213.88,filtered_out,217.56
NVDA,20260605,212.5,0.47,0.429,0.0321,-0.383,180,15:11,15:50,vwap,217.56,213.88,filtered_out,217.56
NVDA,20260605,217.5,0.32,0.44,0.0282,-0.351,180,15:11,15:50,vwap,217.56,213.88,filtered_out,217.56
