short_delta_target,wing_delta_width,vix_threshold,entry_date,expiry,actual_dte,short_strike,long_strike,spread_width,short_delta,long_delta,short_mid,short_bid,net_credit_mid,net_credit_worst,credit_pct_of_width,max_loss,vix_on_entry,near_iv,far_iv,sigma_fwd,fwd_vol_factor,exit_date,exit_net_value,exit_type,days_held,net_pnl,net_pnl_worst,pnl_pct,roc,annualized_roc,is_win,is_open,split_flag,missing_exit_data
0.15,0.05,,2019-05-10,2019-05-31,21,31.5,29.5,2.0,-0.221,-0.0999,0.375,0.35,0.2,0.09999999999999998,0.1,180.0,16.04,0.31645463876518787,0.343688109869841,0.3689166509332457,1.1657805124069776,2019-05-31,0.0,early,21,20.0,9.999999999999998,1.0,0.1111111111111111,1.931216931216931,True,False,False,False
0.15,0.05,,2020-03-13,2020-04-03,21,22.5,22.0,0.5,-0.1794,-0.1589,0.775,0.7,0.09999999999999998,-0.15000000000000002,0.19999999999999996,40.0,57.83,0.835401639874779,0.6679836949970702,0.4410312161949627,0.5279271611928728,2020-04-03,0.41,expiry,21,-31.0,-56.00000000000001,-3.1000000000000005,-0.775,-13.470238095238095,False,False,False,False
0.15,0.05,,2020-03-20,2020-04-09,20,19.0,17.0,2.0,-0.1987,-0.1213,0.8,0.75,0.32500000000000007,0.19999999999999996,0.16250000000000003,167.49999999999997,66.04,1.2670024611492041,0.9737673090131265,0.26856312633848145,0.21196732806255777,2020-03-31,0.04999999999999999,early,11,27.500000000000007,14.999999999999996,0.8461538461538461,0.164179104477612,5.4477611940298525,True,False,False,False
0.15,0.05,,2020-03-27,2020-04-17,21,19.0,17.0,2.0,-0.1688,-0.1102,0.7,0.65,0.22499999999999998,0.09999999999999998,0.11249999999999999,177.5,65.54,0.9074152267910495,0.8206425244320877,0.7235370840532555,0.7973605276736935,2020-03-31,0.10000000000000003,early,4,12.499999999999995,-5.551115123125783e-15,0.5555555555555554,0.07042253521126758,6.426056338028167,True,False,False,False
0.15,0.05,,2020-04-03,2020-04-24,21,18.0,17.0,1.0,-0.123,-0.087,0.275,0.25,0.07500000000000001,0.0,0.07500000000000001,92.5,46.8,0.6307787113655523,0.6494070879401592,0.6675158043236493,1.0582408573659154,2020-04-06,0.024999999999999994,early,3,5.000000000000002,-2.4999999999999996,0.6666666666666669,0.05405405405405407,6.576576576576579,True,False,False,False
0.15,0.05,,2020-04-24,2020-05-15,21,23.5,21.5,2.0,-0.224,-0.1006,0.475,0.45,0.27499999999999997,0.2,0.13749999999999998,172.5,35.93,0.5253387718088118,0.5231487932149816,0.5209496084257981,0.9916450800539597,2020-05-15,0.0,early,21,27.499999999999996,20.0,1.0,0.15942028985507245,2.77087646652864,True,False,False,False
0.15,0.05,,2020-05-01,2020-05-22,21,23.5,21.5,2.0,-0.2107,-0.1074,0.5,0.45,0.25,0.15000000000000002,0.125,175.0,37.19,0.5848899043450863,0.5416386863026738,0.494619786092882,0.8456630596944879,2020-05-22,0.0,early,21,25.0,15.000000000000002,1.0,0.14285714285714285,2.4829931972789114,True,False,False,False
0.15,0.05,,2020-06-12,2020-07-02,20,25.5,23.5,2.0,-0.2095,-0.0884,0.45,0.4,0.275,0.15000000000000002,0.1375,172.5,36.09,0.4713121626720848,0.4429348836696653,0.4019944276022032,0.8529260635310416,2020-07-02,0.0,early,20,27.500000000000004,15.000000000000002,1.0,0.15942028985507248,2.9094202898550727,True,False,False,False
0.15,0.05,,2020-07-10,2020-07-31,21,28.0,27.0,1.0,-0.1501,-0.0901,0.235,0.21,0.09999999999999998,0.04999999999999999,0.09999999999999998,90.0,27.29,0.3883513559750864,0.3873696742925446,0.38638549847960896,0.9949379409515862,2020-07-31,0.0,expiry,21,9.999999999999998,4.999999999999999,1.0,0.11111111111111109,1.931216931216931,True,False,False,False
0.15,0.05,,2020-07-17,2020-08-07,21,29.5,28.5,1.0,-0.1953,-0.1152,0.27,0.24,0.11500000000000002,0.04999999999999999,0.11500000000000002,88.5,25.68,0.29757026518072105,0.3237231070419536,0.3479155606552654,1.1691879242167176,2020-07-20,0.020000000000000018,early,3,9.5,2.9999999999999973,0.826086956521739,0.10734463276836158,13.060263653483993,True,False,False,False
0.15,0.05,,2020-07-31,2020-08-21,21,30.0,29.0,1.0,-0.1735,-0.105,0.205,0.18,0.07499999999999998,0.01999999999999999,0.07499999999999998,92.5,24.46,0.2636429021547421,0.2829587688871025,0.3010377881988147,1.141839153409577,2020-08-21,0.0,early,21,7.499999999999998,1.9999999999999991,1.0,0.08108108108108106,1.409266409266409,True,False,False,False
0.15,0.05,,2020-12-04,2020-12-24,20,36.0,34.5,1.5,-0.1941,-0.0972,0.28,0.25,0.13500000000000004,0.06,0.09000000000000002,136.5,20.79,0.2570363178284161,0.2650197514737912,0.2753044411601141,1.0710721484264836,2020-12-11,-0.15000000000000002,early,7,28.500000000000004,21.000000000000004,2.1111111111111107,0.20879120879120883,10.88697017268446,True,False,False,False
0.15,0.05,,2020-12-11,2020-12-31,20,37.0,35.0,2.0,-0.2242,-0.0875,0.3,0.27,0.175,0.11000000000000001,0.0875,182.5,23.31,0.21899909323283143,0.28777438652605525,0.35956282317833443,1.641846173290138,2020-12-16,0.085,early,5,8.999999999999998,2.500000000000001,0.5142857142857142,0.04931506849315068,3.599999999999999,True,False,False,False
0.15,0.05,,2021-01-08,2021-01-29,21,39.0,37.0,2.0,-0.1635,-0.0742,0.255,0.23,0.135,0.09,0.0675,186.5,21.56,0.2261368060288734,0.28041797593724466,0.32577695961584197,1.4406189126693794,2021-01-29,-0.02500000000000001,early,21,16.000000000000004,11.5,1.1851851851851853,0.08579088471849868,1.4911272820120007,True,False,False,False
0.15,0.05,,2021-01-29,2021-02-19,21,35.5,34.0,1.5,-0.1428,-0.0818,0.285,0.26,0.12499999999999997,0.07,0.08333333333333331,137.5,33.09,0.3204633144218889,0.3554090286130182,0.3872136611084841,1.2082932544307352,2021-02-19,0.0,expiry,21,12.499999999999996,7.000000000000001,1.0,0.09090909090909088,1.5800865800865798,True,False,False,False
0.15,0.05,,2021-02-05,2021-02-26,21,40.0,39.0,1.0,-0.186,-0.116,0.28,0.25,0.11000000000000001,0.04999999999999999,0.11000000000000001,89.0,20.87,0.269149672357988,0.2362280475773666,0.19790359975002192,0.7352919957739953,2021-02-18,0.034999999999999996,early,13,7.500000000000001,1.4999999999999993,0.6818181818181818,0.08426966292134833,2.3660328435609337,True,False,False,False
0.15,0.05,,2021-03-05,2021-03-26,21,40.0,38.0,2.0,-0.195,-0.0959,0.36,0.32,0.18,0.1,0.09,182.0,24.66,0.2679173907585544,0.30880117977192834,0.34487187328948365,1.2872321289523163,2021-03-08,-0.11499999999999999,early,3,29.5,21.5,1.6388888888888888,0.1620879120879121,19.72069597069597,True,False,False,False
0.15,0.05,,2021-03-12,2021-04-01,20,40.5,39.5,1.0,-0.1689,-0.1004,0.255,0.23,0.11000000000000001,0.04000000000000001,0.11000000000000001,89.0,20.69,0.24593636126011914,0.2501003122202615,0.2555467263530193,1.0390766336610777,2021-03-22,0.05,early,10,6.000000000000001,-0.9999999999999996,0.5454545454545454,0.06741573033707866,2.4606741573033712,True,False,False,False
0.15,0.05,,2021-03-19,2021-04-09,21,40.0,37.5,2.5,-0.1691,-0.0908,0.26,0.23,0.065,-0.06999999999999998,0.026000000000000002,243.5,20.95,0.23710952550203426,0.25198127699148654,0.2660229328924871,1.1219411465196691,2021-04-09,0.0,early,21,6.5,-6.999999999999998,1.0,0.026694045174537988,0.46396792803363646,True,False,False,False
0.15,0.05,,2021-03-26,2021-04-16,21,40.0,38.5,1.5,-0.1775,-0.0936,0.26,0.24,0.12,0.07999999999999999,0.08,138.0,18.86,0.26545282317993507,0.2694489820343532,0.27338673432429106,1.0298882153495803,2021-04-16,-0.049999999999999996,early,21,17.0,12.999999999999998,1.4166666666666667,0.12318840579710146,2.141131815044859,True,False,False,False
0.15,0.05,,2021-04-30,2021-05-21,21,37.0,36.5,0.5,-0.1331,-0.1026,0.275,0.25,0.07500000000000001,0.0,0.15000000000000002,42.5,18.61,0.27984944214633334,0.27871513182613833,0.2775761862049938,0.9918768609152673,2021-05-03,0.024999999999999994,early,3,5.000000000000002,-2.4999999999999996,0.6666666666666669,0.11764705882352945,14.313725490196084,True,False,False,False
0.15,0.05,,2021-08-20,2021-09-10,21,44.5,43.0,1.5,-0.1907,-0.1175,0.225,0.2,0.024999999999999994,-0.14999999999999997,0.016666666666666663,147.5,18.56,0.19179813312259908,0.20374719496698748,0.2150332882242119,1.1211438022014568,2021-09-10,-0.025,early,21,5.0,-12.499999999999996,2.0000000000000004,0.03389830508474576,0.5891848264729621,True,False,False,False
0.15,0.05,,2021-10-22,2021-11-12,21,47.0,46.0,1.0,-0.1621,-0.1042,0.225,0.2,0.07500000000000001,0.0,0.07500000000000001,92.5,15.43,0.207331589280023,0.2073772709825806,0.20742294262444835,1.0004406146923515,2021-11-12,0.025,early,21,5.000000000000001,-2.5,0.6666666666666667,0.054054054054054064,0.9395109395109397,True,False,False,False
0.15,0.05,,2021-12-03,2021-12-23,20,45.0,43.0,2.0,-0.2143,-0.1162,0.45,0.4,0.2,0.10000000000000003,0.1,180.0,30.67,0.2655089235870127,0.2941552730625308,0.32848709699474643,1.2371979538649835,2021-12-23,0.049999999999999996,early,20,15.000000000000002,5.0000000000000036,0.7500000000000001,0.08333333333333334,1.5208333333333335,True,False,False,False
0.15,0.05,,2022-03-25,2022-04-14,20,41.5,40.0,1.5,-0.1669,-0.0902,0.275,0.25,0.12500000000000003,0.04999999999999999,0.08333333333333336,137.5,20.81,0.27058610178816295,0.27047388119199395,0.2703241812625289,0.9990320252078612,2022-03-28,0.05000000000000002,early,3,7.500000000000001,-2.7755575615628914e-15,0.5999999999999999,0.05454545454545455,6.636363636363637,True,False,False,False
0.15,0.05,,2022-10-28,2022-11-18,21,40.0,39.0,1.0,-0.1886,-0.1103,0.275,0.25,0.12500000000000003,0.04999999999999999,0.12500000000000003,87.5,25.75,0.20487490211458204,0.23438879522841485,0.25428604697811075,1.241177149341085,2022-11-01,0.04999999999999999,early,4,7.5000000000000036,0.0,0.6000000000000001,0.08571428571428576,7.821428571428576,True,False,False,False
0.15,0.05,,2024-05-31,2024-06-21,21,49.0,48.0,1.0,-0.1257,-0.0845,0.225,0.2,0.07500000000000001,0.0,0.07500000000000001,92.5,12.92,0.23887668228954603,0.18933128879576347,0.14118972200063945,0.5910569447272432,2024-06-21,0.0,early,21,7.500000000000001,0.0,1.0,0.08108108108108109,1.4092664092664093,True,False,False,False
0.15,0.05,,2024-10-25,2024-11-15,21,51.0,50.0,1.0,-0.1319,-0.0887,0.225,0.2,0.07500000000000001,0.0,0.07500000000000001,92.5,20.33,0.2306115325292844,0.18825843345191667,0.15747054665533,0.6828389930383619,2024-11-15,0.0,expiry,21,7.500000000000001,0.0,1.0,0.08108108108108109,1.4092664092664093,True,False,False,False
0.15,0.05,,2024-12-27,2025-01-17,21,52.0,51.0,1.0,-0.2015,-0.098,0.275,0.25,0.15000000000000002,0.1,0.15000000000000002,85.0,15.95,0.2249681776496376,0.18543693640913905,0.15701134749658058,0.6979269207625797,2025-01-17,0.85,expiry,21,-70.0,-75.0,-4.666666666666666,-0.8235294117647058,-14.313725490196077,False,False,False,False
0.15,0.05,,2025-04-25,2025-05-16,21,50.0,49.0,1.0,-0.1712,-0.1127,0.275,0.25,0.10000000000000003,0.04999999999999999,0.10000000000000003,89.99999999999999,24.84,0.21911170222003062,0.1916304084958433,0.17305946581045034,0.7898230174701718,2025-05-02,0.05,early,7,5.000000000000003,-1.3877787807814457e-15,0.5000000000000001,0.055555555555555594,2.896825396825399,True,False,False,False
