shoulder,wing,roc,win_rate
15,10,0.02,0.869
20,10,0.009,0.736
25,10,0.011,0.624
30,10,0.006,0.576
35,10,0.006,0.544
40,10,0.009,0.52
45,10,0.014,0.528
50,10,0.017,0.496
20,15,-0.005,0.726
25,15,0.005,0.608
30,15,-0.003,0.544
35,15,-0.002,0.512
40,15,0.004,0.488
45,15,0.012,0.48
50,15,0.015,0.448
25,20,0.016,0.732
30,20,-0.001,0.565
35,20,0.0,0.496
40,20,0.008,0.48
45,20,0.019,0.512
50,20,0.024,0.456
30,25,-0.025,0.636
35,25,-0.013,0.504
40,25,0.003,0.444
45,25,0.021,0.419
50,25,0.028,0.432
35,30,0.014,0.593
40,30,0.028,0.488
45,30,0.055,0.435
50,30,0.066,0.456
40,35,0.058,0.542
45,35,0.103,0.484
50,35,0.115,0.472
45,40,0.144,0.571
50,40,0.166,0.463
