entry_date,expiry,portfolio_pnl,net_entry_premium,roc_like_metric,capital
2024-11-27,2024-12-27,242.5,-242.5,1.0,1357.5
2024-12-04,2025-01-03,250.0,-250.0,1.0,1250.0
2024-12-11,2025-01-10,244.99999999999997,-244.99999999999997,1.0,1055.0
2024-12-18,2025-01-17,227.5,-227.5,1.0,1672.5
2025-01-08,2025-02-07,201.0,-201.0,1.0,899.0
2025-01-15,2025-02-14,226.5,-226.5,1.0,1173.5
2025-01-22,2025-02-21,248.0,-261.0,0.9501915708812261,1439.0
2025-01-29,2025-02-28,-409.50000000000006,-231.49999999999997,-1.7688984881209509,1168.5
2025-02-05,2025-03-07,122.00000000000001,-202.0,0.603960396039604,998.0
2025-02-12,2025-03-14,-40.5,-200.5,-0.20199501246882792,1049.5
2025-02-19,2025-03-21,-63.0,-172.0,-0.36627906976744184,1128.0
2025-02-26,2025-03-28,194.5,-194.5,1.0,1105.5
2025-03-05,2025-04-04,196.0,-197.0,0.9949238578680203,1153.0
2025-03-12,2025-04-11,184.0,-184.0,1.0,866.0
2025-03-19,2025-04-17,194.0,-194.0,1.0,1006.0
2025-03-26,2025-04-25,160.5,-162.5,0.9876923076923076,887.5
2025-04-02,2025-05-02,115.0,-175.0,0.6571428571428571,825.0
2025-04-09,2025-05-09,-427.5000000000001,-183.5,-2.3297002724795646,866.5
2025-04-16,2025-05-16,-419.99999999999994,-185.00000000000003,-2.2702702702702697,715.0
2025-04-23,2025-05-23,-106.49999999999997,-187.5,-0.5679999999999998,912.5
2025-04-30,2025-05-30,127.00000000000001,-166.0,0.7650602409638555,934.0
2025-05-07,2025-06-06,169.0,-171.0,0.9883040935672515,729.0
2025-05-14,2025-06-13,184.0,-184.0,1.0,816.0
2025-05-21,2025-06-20,204.5,-205.5,0.9951338199513382,1094.5
2025-05-28,2025-06-27,185.0,-185.0,1.0,1015.0
2025-06-04,2025-07-03,168.0,-168.0,1.0,1082.0
2025-06-11,2025-07-11,178.5,-178.5,1.0,1121.5
2025-06-18,2025-07-18,-14.0,-158.0,-0.08860759493670886,942.0
2025-06-25,2025-07-25,155.5,-155.5,1.0,944.5
2025-07-02,2025-08-01,174.5,-174.50000000000003,0.9999999999999999,1125.5
2025-07-09,2025-08-08,158.0,-158.0,1.0,842.0
2025-07-16,2025-08-15,207.5,-207.5,1.0,992.5
2025-07-23,2025-08-22,176.0,-176.0,1.0,924.0
2025-07-30,2025-08-29,126.00000000000001,-161.0,0.782608695652174,839.0
