test_year,rule,cap,floor,n_tickers,n,win,avg_roc,sharpe
2021,Hold to expiry (baseline),,,114,1932,0.4166666666666667,2.110035889737138,0.02414359431639399
2021,Cap 50%,50.0,,114,1932,0.4166666666666667,-15.18075565965326,-0.2997100966428865
2021,Cap 75%,75.0,,114,1932,0.4166666666666667,-10.243729619069775,-0.17825468900149188
2021,Cap 100%,100.0,,114,1932,0.4166666666666667,-6.75129186474312,-0.10717442276183582
2021,Cap 150%,150.0,,114,1932,0.4166666666666667,-2.48715079750401,-0.035000353970420665
2021,Cap 200%,200.0,,114,1932,0.4166666666666667,-0.3058873570041068,-0.004014254410815585
2021,Cap 300%,300.0,,114,1932,0.4166666666666667,1.2826110120928982,0.01583581625584505
2021,Stop -50%,,50.0,114,1932,0.4166666666666667,10.072498956929788,0.12505780228831528
2021,Stop -75%,,75.0,114,1932,0.4166666666666667,3.9876268796606946,0.0466182902982037
2021,Cap 100% + Stop -50%,100.0,50.0,114,1932,0.4166666666666667,1.2111712024495296,0.02226714409134148
2021,Cap 150% + Stop -50%,150.0,50.0,114,1932,0.4166666666666667,5.475312269688641,0.08687605153250304
2021,Cap 200% + Stop -50%,200.0,50.0,114,1932,0.4166666666666667,7.656575710188543,0.11175185850825457
2022,Hold to expiry (baseline),,,108,1187,0.4751474304970514,11.762596445031935,0.14323687897745746
2022,Cap 50%,50.0,,108,1187,0.4751474304970514,-7.34455984432508,-0.1476609561991976
2022,Cap 75%,75.0,,108,1187,0.4751474304970514,-1.2759709729288442,-0.022286846361305186
2022,Cap 100%,100.0,,108,1187,0.4751474304970514,2.9615677493573376,0.04678863527863436
2022,Cap 150%,150.0,,108,1187,0.4751474304970514,7.8658717474263735,0.10961162796821919
2022,Cap 200%,200.0,,108,1187,0.4751474304970514,10.003682245172602,0.1308357657809628
2022,Cap 300%,300.0,,108,1187,0.4751474304970514,11.362746657401283,0.14135647259728262
2022,Stop -50%,,50.0,108,1187,0.4751474304970514,17.910378025335117,0.23611985277308545
2022,Stop -75%,,75.0,108,1187,0.4751474304970514,13.11101113770578,0.16275998716636886
2022,Cap 100% + Stop -50%,100.0,50.0,108,1187,0.4751474304970514,9.10934932966052,0.1629590109243488
2022,Cap 150% + Stop -50%,150.0,50.0,108,1187,0.4751474304970514,14.013653327729555,0.21603938596370945
2022,Cap 200% + Stop -50%,200.0,50.0,108,1187,0.4751474304970514,16.15146382547578,0.23126106845833416
2023,Hold to expiry (baseline),,,120,1608,0.44402985074626866,6.307668780770063,0.07365595415932859
2023,Cap 50%,50.0,,120,1608,0.44402985074626866,-12.24693673406417,-0.24005875399019147
2023,Cap 75%,75.0,,120,1608,0.44402985074626866,-6.762174130753734,-0.11620247973934492
2023,Cap 100%,100.0,,120,1608,0.44402985074626866,-2.8164518426042373,-0.043936488813512156
2023,Cap 150%,150.0,,120,1608,0.44402985074626866,1.7475966366617248,0.02416867057832261
2023,Cap 200%,200.0,,120,1608,0.44402985074626866,3.9569658377249426,0.05118700103930855
2023,Cap 300%,300.0,,120,1608,0.44402985074626866,5.446115451908195,0.06666888947172743
2023,Stop -50%,,50.0,120,1608,0.44402985074626866,13.842450698698364,0.17600664983682326
2023,Stop -75%,,75.0,120,1608,0.44402985074626866,8.069024422833264,0.09631810580757909
2023,Cap 100% + Stop -50%,100.0,50.0,120,1608,0.44402985074626866,4.718330075324065,0.08476463448025882
2023,Cap 150% + Stop -50%,150.0,50.0,120,1608,0.44402985074626866,9.282378554590027,0.14410821969911472
2023,Cap 200% + Stop -50%,200.0,50.0,120,1608,0.44402985074626866,11.491747755653243,0.16478962722125332
2024,Hold to expiry (baseline),,,134,1993,0.4249874560963372,3.0762904378132734,0.038698477742162604
2024,Cap 50%,50.0,,134,1993,0.4249874560963372,-12.973620011627895,-0.2599757614168555
2024,Cap 75%,75.0,,134,1993,0.4249874560963372,-7.949516170121921,-0.1401675499738193
2024,Cap 100%,100.0,,134,1993,0.4249874560963372,-4.31123257866609,-0.0690899788639778
