ticker,n_folds,years
AAL,5,"2021,2022,2023,2024,2025"
RIG,5,"2021,2022,2023,2024,2025"
PSX,5,"2021,2022,2023,2024,2025"
PBR,5,"2021,2022,2023,2024,2025"
PAA,5,"2021,2022,2023,2024,2025"
OIH,5,"2021,2022,2023,2024,2025"
NVDA,5,"2021,2022,2023,2024,2025"
NTES,5,"2021,2022,2023,2024,2025"
NTAP,5,"2021,2022,2023,2024,2025"
NOV,5,"2021,2022,2023,2024,2025"
MU,5,"2021,2022,2023,2024,2025"
MT,5,"2021,2022,2023,2024,2025"
MRVL,5,"2021,2022,2023,2024,2025"
MRK,5,"2021,2022,2023,2024,2025"
MET,5,"2021,2022,2023,2024,2025"
LRCX,5,"2021,2022,2023,2024,2025"
LOW,5,"2021,2022,2023,2024,2025"
LLY,5,"2021,2022,2023,2024,2025"
LB,5,"2021,2022,2023,2024,2025"
KKR,5,"2021,2022,2023,2024,2025"
JPM,5,"2021,2022,2023,2024,2025"
JNJ,5,"2021,2022,2023,2024,2025"
IYR,5,"2021,2022,2023,2024,2025"
RCL,5,"2021,2022,2023,2024,2025"
RRC,5,"2021,2022,2023,2024,2025"
IBM,5,"2021,2022,2023,2024,2025"
SCHW,5,"2021,2022,2023,2024,2025"
YUM,5,"2021,2022,2023,2024,2025"
XRT,5,"2021,2022,2023,2024,2025"
XLK,5,"2021,2022,2023,2024,2025"
WMB,5,"2021,2022,2023,2024,2025"
WFC,5,"2021,2022,2023,2024,2025"
VOD,5,"2021,2022,2023,2024,2025"
VLO,5,"2021,2022,2023,2024,2025"
URI,5,"2021,2022,2023,2024,2025"
UPRO,5,"2021,2022,2023,2024,2025"
ULTA,5,"2021,2022,2023,2024,2025"
AAOI,5,"2021,2022,2023,2024,2025"
UAL,5,"2021,2022,2023,2024,2025"
TSM,5,"2021,2022,2023,2024,2025"
TQQQ,5,"2021,2022,2023,2024,2025"
TPR,5,"2021,2022,2023,2024,2025"
TEVA,5,"2021,2022,2023,2024,2025"
TECK,5,"2021,2022,2023,2024,2025"
SYY,5,"2021,2022,2023,2024,2025"
SU,5,"2021,2022,2023,2024,2025"
STX,5,"2021,2022,2023,2024,2025"
SLB,5,"2021,2022,2023,2024,2025"
INTU,5,"2021,2022,2023,2024,2025"
MCK,5,"2021,2022,2023,2024,2025"
CMG,5,"2021,2022,2023,2024,2025"
CYBR,5,"2021,2022,2023,2024,2025"
EOG,5,"2021,2022,2023,2024,2025"
AVGO,5,"2021,2022,2023,2024,2025"
ERX,5,"2021,2022,2023,2024,2025"
ET,5,"2021,2022,2023,2024,2025"
ANET,5,"2021,2022,2023,2024,2025"
AMC,5,"2021,2022,2023,2024,2025"
ETN,5,"2021,2022,2023,2024,2025"
EW,5,"2021,2022,2023,2024,2025"
CAT,5,"2021,2022,2023,2024,2025"
AG,5,"2021,2022,2023,2024,2025"
FCX,5,"2021,2022,2023,2024,2025"
FDX,5,"2021,2022,2023,2024,2025"
FEZ,5,"2021,2022,2023,2024,2025"
AFL,5,"2021,2022,2023,2024,2025"
CVNA,5,"2021,2022,2023,2024,2025"
AAPL,5,"2021,2022,2023,2024,2025"
CSCO,5,"2021,2022,2023,2024,2025"
BAC,5,"2021,2022,2023,2024,2025"
HD,5,"2021,2022,2023,2024,2025"
COTY,5,"2021,2022,2023,2024,2025"
GM,5,"2021,2022,2023,2024,2025"
BK,5,"2021,2022,2023,2024,2025"
BKNG,5,"2021,2022,2023,2024,2025"
BSX,5,"2021,2022,2023,2024,2025"
COP,5,"2021,2022,2023,2024,2025"
COF,5,"2021,2022,2023,2024,2025"
GS,5,"2021,2022,2023,2024,2025"
HAL,5,"2021,2022,2023,2024,2025"
HCA,5,"2021,2022,2023,2024,2025"
CVS,5,"2021,2022,2023,2024,2025"
UNP,4,"2021,2023,2024,2025"
INTC,4,"2021,2023,2024,2025"
AXP,4,"2021,2022,2024,2025"
MARA,4,"2022,2023,2024,2025"
LEN,4,"2022,2023,2024,2025"
ABBV,4,"2022,2023,2024,2025"
AMRN,4,"2022,2023,2024,2025"
JETS,4,"2022,2023,2024,2025"
HPE,4,"2022,2023,2024,2025"
C,4,"2022,2023,2024,2025"
COST,4,"2022,2023,2024,2025"
CVX,4,"2022,2023,2024,2025"
DAL,4,"2022,2023,2024,2025"
FAS,4,"2022,2023,2024,2025"
NET,4,"2022,2023,2024,2025"
DB,4,"2022,2023,2024,2025"
SMH,4,"2022,2023,2024,2025"
EPD,4,"2021,2023,2024,2025"
TJX,4,"2022,2023,2024,2025"
WPM,4,"2022,2023,2024,2025"
FSLR,4,"2021,2022,2023,2025"
TAP,4,"2022,2023,2024,2025"
NOK,4,"2021,2023,2024,2025"
XHB,4,"2022,2023,2024,2025"
NTR,4,"2021,2022,2023,2024"
ED,4,"2022,2023,2024,2025"
SIG,4,"2022,2023,2024,2025"
RVLV,4,"2022,2023,2024,2025"
ROST,4,"2022,2023,2024,2025"
KR,4,"2021,2022,2023,2024"
XOM,4,"2022,2023,2024,2025"
NUE,4,"2022,2023,2024,2025"
TNA,3,"2022,2023,2024"
AMAT,3,"2023,2024,2025"
BURL,3,"2023,2024,2025"
AGNC,3,"2023,2024,2025"
PNC,3,"2023,2024,2025"
CLF,3,"2023,2024,2025"
ZIM,3,"2023,2024,2025"
PM,3,"2023,2024,2025"
TXN,3,"2023,2024,2025"
FUTU,3,"2023,2024,2025"
PLTR,3,"2022,2024,2025"
