short_delta_target,wing_delta_width,vix_threshold,entry_date,expiry,actual_dte,short_strike,long_strike,spread_width,short_delta,long_delta,short_mid,short_bid,net_credit_mid,net_credit_worst,credit_pct_of_width,max_loss,vix_on_entry,exit_date,exit_net_value,exit_type,days_held,net_pnl,net_pnl_worst,pnl_pct,roc,annualized_roc,is_win,is_open,split_flag,missing_exit_data
0.35,0.05,,2018-01-05,2018-01-26,21,127.0,127.5,0.5,0.3355,0.2771,0.6,0.56,0.13499999999999995,0.06000000000000005,0.2699999999999999,36.50000000000001,,2018-01-18,0.025,early,13,10.999999999999996,3.5000000000000053,0.8148148148148149,0.30136986301369845,8.461538461538456,True,False,False,False
0.35,0.05,,2018-01-19,2018-02-09,21,124.5,125.0,0.5,0.3297,0.2784,0.71,0.66,0.13,0.050000000000000044,0.26,37.0,11.27,2018-02-01,0.015,early,13,11.5,3.5000000000000044,0.8846153846153846,0.3108108108108108,8.726611226611226,True,False,False,False
0.35,0.05,,2018-01-26,2018-02-16,21,124.5,125.0,0.5,0.3601,0.3005,0.755,0.71,0.18500000000000005,0.10999999999999999,0.3700000000000001,31.499999999999993,11.08,2018-01-31,0.040000000000000036,early,5,14.500000000000002,6.999999999999995,0.7837837837837835,0.46031746031746046,33.603174603174615,True,False,False,False
0.35,0.05,,2018-02-02,2018-02-23,21,121.0,121.5,0.5,0.3544,0.3003,0.83,0.79,0.20999999999999996,0.09000000000000008,0.41999999999999993,29.000000000000004,17.31,2018-02-07,0.04999999999999999,early,5,15.999999999999998,4.000000000000009,0.761904761904762,0.5517241379310344,40.27586206896551,True,False,False,False
0.35,0.05,,2018-02-09,2018-03-02,21,120.0,120.5,0.5,0.3293,0.2895,0.86,0.76,0.05499999999999994,-0.26,0.10999999999999988,44.50000000000001,29.06,2018-02-21,0.015000000000000006,early,12,3.9999999999999933,-27.500000000000004,0.7272727272727268,0.08988764044943803,2.7340823970037405,True,False,False,False
0.35,0.05,,2018-02-23,2018-03-16,21,119.0,119.5,0.5,0.3702,0.3114,0.755,0.71,0.135,0.010000000000000009,0.27,36.5,16.49,2018-03-16,0.5,expiry,21,-36.5,-49.0,-2.7037037037037037,-1.0,-17.38095238095238,False,False,False,False
0.35,0.05,,2018-03-09,2018-03-29,20,119.0,119.5,0.5,0.3572,0.2882,0.605,0.58,0.135,0.05999999999999994,0.27,36.5,14.64,2018-03-29,0.5,expiry,20,-36.5,-44.00000000000001,-2.7037037037037037,-1.0,-18.25,False,False,False,False
0.35,0.05,,2018-03-16,2018-04-06,21,120.5,121.0,0.5,0.3762,0.3068,0.665,0.63,0.15000000000000002,0.07999999999999996,0.30000000000000004,35.0,15.8,2018-04-06,0.44,expiry,21,-28.999999999999996,-36.00000000000001,-1.933333333333333,-0.8285714285714285,-14.401360544217685,False,False,False,False
0.35,0.05,,2018-03-23,2018-04-13,21,121.0,121.5,0.5,0.3671,0.305,0.71,0.63,0.16499999999999992,-0.020000000000000018,0.32999999999999985,33.50000000000001,24.87,2018-04-13,0.004999999999999999,early,21,15.999999999999993,-2.5000000000000013,0.9696969696969697,0.4776119402985072,8.301350390902623,True,False,False,False
0.35,0.05,,2018-04-06,2018-04-27,21,122.0,122.5,0.5,0.3779,0.3128,0.7,0.65,0.15999999999999992,0.07000000000000006,0.31999999999999984,34.00000000000001,21.49,2018-04-19,0.020000000000000004,early,13,13.99999999999999,5.000000000000006,0.8749999999999997,0.41176470588235253,11.561085972850666,True,False,False,False
