delta_target,vix_threshold,entry_date,short_expiry,long_expiry,short_actual_dte,long_actual_dte,strike,short_entry_delta,short_entry_mid,short_entry_bid,long_entry_mid,long_entry_bid,net_debit,vix_on_entry,exit_date,short_exit_mid,long_exit_mid,short_expired_otm,exit_found,short_pnl,long_pnl,net_pnl,days_held,roc,annualized_roc,is_win,is_open,split_flag
0.4,,2018-01-12,2018-02-02,2018-02-09,21,28,8.5,-0.4289,0.755,0.72,0.995,0.95,0.24,10.16,2018-02-02,0.0,0.025,True,True,0.755,-0.97,-0.21499999999999997,21,-0.8958333333333333,-15.570436507936506,False,False,False
0.4,,2018-01-19,2018-02-09,2018-02-16,21,28,9.0,-0.4034,0.97,0.94,1.2,1.19,0.22999999999999998,11.27,2018-02-09,0.0,0.055,True,True,0.97,-1.145,-0.17500000000000004,21,-0.7608695652173916,-13.224637681159425,False,False,False
0.4,,2018-01-26,2018-02-16,2018-02-23,21,28,9.5,-0.3965,0.93,0.92,1.155,1.1,0.22499999999999998,11.08,2018-02-16,0.0,0.12,True,True,0.93,-1.0350000000000001,-0.1050000000000001,21,-0.4666666666666671,-8.111111111111118,False,False,False
0.4,,2018-02-02,2018-02-23,2018-03-02,21,28,13.5,-0.4035,2.31,2.1,2.705,2.48,0.395,17.31,2018-02-23,0.0,0.43,True,True,2.31,-2.275,0.03500000000000014,21,0.08860759493670922,1.5400843881856603,True,False,False
0.4,,2018-02-09,2018-03-02,2018-03-09,21,28,24.0,-0.3957,6.4,5.85,7.35,6.85,0.9499999999999993,29.06,2018-03-02,6.37,6.75,False,True,0.03000000000000025,-0.5999999999999996,-0.5699999999999994,21,-0.5999999999999999,-10.428571428571425,False,False,False
0.4,,2018-02-16,2018-03-09,2018-03-16,21,28,16.0,-0.4182,2.7,2.63,3.125,3.05,0.4249999999999998,19.46,2018-03-09,2.32,2.615,False,True,0.38000000000000034,-0.5099999999999998,-0.12999999999999945,21,-0.30588235294117533,-5.316526610644238,False,False,False
0.4,,2018-02-23,2018-03-16,2018-03-23,21,28,14.5,-0.4023,1.985,1.93,2.515,2.28,0.53,16.49,2018-03-16,0.33,0.99,False,True,1.655,-1.5250000000000001,0.1299999999999999,21,0.2452830188679243,4.263252470799637,True,False,False
0.4,,2018-03-02,2018-03-23,2018-03-29,21,27,17.0,-0.3861,2.035,1.93,2.315,2.19,0.2799999999999998,19.59,2018-03-23,0.0,0.475,True,True,2.035,-1.8399999999999999,0.19500000000000028,21,0.696428571428573,12.10459183673472,True,False,False
0.4,,2018-03-09,2018-03-29,2018-04-06,20,28,13.0,-0.3707,0.905,0.83,1.46,1.09,0.5549999999999999,14.64,2018-03-29,0.0,0.025,True,True,0.905,-1.435,-0.53,20,-0.9549549549549551,-17.427927927927932,False,False,False
0.4,,2018-03-16,2018-04-06,2018-04-13,21,28,13.5,-0.3875,1.045,0.98,1.315,1.25,0.27,15.8,2018-04-06,0.0,0.015,True,True,1.045,-1.3,-0.2550000000000001,21,-0.9444444444444449,-16.415343915343925,False,False,False
0.4,,2018-03-23,2018-04-13,2018-04-20,21,28,19.0,-0.4,2.39,2.16,2.66,2.61,0.27,24.87,2018-04-13,1.52,1.985,False,True,0.8700000000000001,-0.675,0.19500000000000006,21,0.7222222222222224,12.552910052910057,True,False,False
0.4,,2018-04-06,2018-04-27,2018-05-04,21,28,19.5,-0.4004,1.88,1.74,2.045,1.8,0.16500000000000004,21.49,2018-04-27,4.5,4.7,False,True,-2.62,2.6550000000000002,0.03500000000000014,21,0.21212121212121293,3.686868686868701,True,False,False
0.4,,2018-04-13,2018-05-04,2018-05-11,21,28,17.0,-0.4035,1.36,1.26,1.6,1.5,0.24,17.41,2018-05-04,2.64,2.84,False,True,-1.28,1.2399999999999998,-0.04000000000000026,21,-0.16666666666666774,-2.8968253968254154,False,False,False
0.4,,2018-04-20,2018-05-11,2018-05-18,21,28,15.0,-0.3963,1.235,1.13,1.485,1.44,0.25,16.88,2018-05-11,2.92,3.02,False,True,-1.6849999999999998,1.535,-0.1499999999999999,21,-0.5999999999999996,-10.428571428571422,False,False,False
0.4,,2018-04-27,2018-05-18,2018-05-25,21,28,14.5,-0.4041,1.105,1.07,1.36,1.31,0.2550000000000001,15.41,2018-05-18,2.72,2.86,False,True,-1.6150000000000002,1.4999999999999998,-0.11500000000000044,21,-0.45098039215686425,-7.838468720821688,False,False,False
0.4,,2018-05-11,2018-06-01,2018-06-08,21,28,11.5,-0.3669,0.61,0.56,0.83,0.78,0.21999999999999997,12.65,2018-06-01,0.0,0.515,True,True,0.61,-0.31499999999999995,0.29500000000000004,21,1.3409090909090913,23.30627705627706,True,False,False
0.4,,2018-05-25,2018-06-15,2018-06-22,21,28,11.0,-0.4251,0.9,0.89,1.08,1.01,0.18000000000000005,13.22,2018-06-15,1.14,1.39,False,True,-0.23999999999999988,0.30999999999999983,0.06999999999999995,21,0.3888888888888885,6.759259259259253,True,False,False
