delta_target,vix_threshold,entry_date,expiry,actual_dte,strike,put_entry_delta,put_entry_mid,put_entry_bid,vix_on_entry,exit_date,exit_price,exit_type,days_held,short_pnl,short_pnl_worst,pnl_pct,pnl_pct_worst,margin_reg_t,roc,annualized_roc,breakeven_pct,is_win,is_open,split_flag,missing_exit_data
0.1,,2018-01-12,2018-02-09,28,7.0,-0.1707,0.22,0.2,10.16,2018-01-22,0.105,early,10,11.5,9.500000000000002,0.5227272727272727,0.4750000000000001,162.0,0.07098765432098765,2.5910493827160495,0.03142857142857143,True,False,False,False
0.1,,2018-01-19,2018-02-16,28,7.0,-0.1444,0.24,0.23,11.27,2018-01-24,0.09,early,5,15.0,14.000000000000002,0.625,0.6086956521739131,164.0,0.09146341463414634,6.676829268292683,0.03428571428571429,True,False,False,False
0.1,,2018-01-26,2018-02-23,28,7.5,-0.1412,0.23,0.21,11.08,2018-01-29,0.11,early,3,12.000000000000002,10.0,0.5217391304347827,0.47619047619047616,173.0,0.06936416184971099,8.439306358381504,0.03066666666666667,True,False,False,False
0.1,,2018-02-02,2018-03-02,28,9.0,-0.126,0.465,0.44,17.31,2018-02-12,0.195,early,10,27.0,24.5,0.5806451612903226,0.5568181818181818,226.5,0.11920529801324503,4.3509933774834435,0.051666666666666666,True,False,False,False
0.1,,2018-02-09,2018-03-16,35,12.0,-0.1057,1.195,1.11,29.06,2018-02-21,0.53,early,12,66.5,58.00000000000001,0.5564853556485355,0.5225225225225225,359.5,0.18497913769123783,5.626448771441818,0.09958333333333334,True,False,False,False
0.1,,2018-02-16,2018-03-16,28,10.0,-0.091,0.33,0.29,19.46,2018-02-22,0.125,early,6,20.5,16.499999999999996,0.6212121212121212,0.5689655172413792,233.0,0.08798283261802575,5.352288984263233,0.033,True,False,False,False
0.1,,2018-02-23,2018-03-23,28,10.0,-0.1072,0.335,0.3,16.49,2018-02-27,0.055,early,4,28.000000000000004,24.5,0.8358208955223881,0.8166666666666667,233.5,0.11991434689507496,10.94218415417559,0.0335,True,False,False,False
0.1,,2018-03-09,2018-04-06,28,11.0,-0.1579,0.305,0.27,14.64,2018-03-14,0.11,early,5,19.5,16.000000000000004,0.639344262295082,0.5925925925925927,250.50000000000003,0.0778443113772455,5.682634730538921,0.027727272727272725,True,False,False,False
0.1,,2018-03-16,2018-04-13,28,11.0,-0.136,0.265,0.24,15.8,2018-03-19,0.095,early,3,17.0,14.499999999999998,0.6415094339622641,0.6041666666666666,246.50000000000003,0.0689655172413793,8.390804597701147,0.024090909090909093,True,False,False,False
0.1,,2018-03-23,2018-04-20,28,14.0,-0.1202,0.48,0.44,24.87,2018-03-28,0.2,early,5,27.999999999999996,24.0,0.5833333333333333,0.5454545454545454,328.0,0.08536585365853658,6.2317073170731705,0.03428571428571429,True,False,False,False
0.1,,2018-04-06,2018-05-11,35,15.0,-0.1371,0.49,0.43,21.49,2018-05-11,2.92,expiry,35,-242.99999999999997,-248.99999999999997,-4.959183673469387,-5.790697674418604,349.0,-0.6962750716332378,-7.261154318460908,0.03266666666666666,False,False,False,False
0.1,,2018-04-13,2018-05-11,28,14.0,-0.1466,0.35,0.31,17.41,2018-05-11,1.92,expiry,28,-156.99999999999997,-161.0,-4.485714285714285,-5.193548387096774,315.0,-0.4984126984126983,-6.4971655328798175,0.024999999999999998,False,False,False,False
0.1,,2018-04-20,2018-05-18,28,12.0,-0.1251,0.265,0.24,16.88,2018-04-25,0.125,early,5,14.000000000000002,11.5,0.5283018867924529,0.4791666666666667,266.5,0.0525328330206379,3.8348968105065664,0.022083333333333333,True,False,False,False
0.1,,2018-04-27,2018-05-25,28,12.0,-0.1481,0.295,0.27,15.41,2018-05-25,0.75,expiry,28,-45.5,-48.0,-1.5423728813559323,-1.7777777777777777,269.5,-0.16883116883116883,-2.2008348794063077,0.024583333333333332,False,False,False,False
0.1,,2018-05-04,2018-06-01,28,11.5,-0.1347,0.23,0.21,14.77,2018-05-31,0.04,early,27,19.0,17.0,0.8260869565217391,0.8095238095238095,253.00000000000003,0.07509881422924901,1.0152247108768846,0.02,True,False,False,False
0.1,,2018-05-11,2018-06-08,28,10.0,-0.1542,0.21,0.19,12.65,2018-05-29,0.065,early,18,14.499999999999998,12.5,0.6904761904761904,0.6578947368421053,221.0,0.06561085972850678,1.3304424333836096,0.020999999999999998,True,False,False,False
0.1,,2018-05-18,2018-06-15,28,9.0,-0.0868,0.105,0.1,13.42,2018-05-29,0.04,early,11,6.5,6.000000000000001,0.6190476190476191,0.6000000000000001,190.5,0.03412073490813648,1.1321880219518015,0.011666666666666665,True,False,False,False
